node1,node2
0,355
0,2262
0,4859
0,5517
1,1573
1,3263
1,3735
1,6296
2,55
2,205
2,212
2,343
2,751
2,1051
2,1329
2,1559
2,1940
2,2152
2,2235
2,2882
2,3189
2,3701
2,3743
2,3778
2,3818
2,4330
2,4340
2,4363
2,4725
2,4897
2,5165
2,5169
2,5220
2,5263
2,5271
2,5353
2,5379
2,5582
2,5699
2,6371
2,6510
2,6931
3,154
3,451
3,875
3,1180
3,1384
3,1869
3,1875
3,1896
3,2556
3,2561
3,2674
3,2718
3,2732
3,3271
3,3775
3,4542
3,5147
3,6150
3,6259
3,6646
3,6844
3,6984
4,3875
4,4481
4,4513
4,4791
4,6153
5,55
5,154
5,612
5,997
5,1225
5,1483
5,1572
5,1869
5,2293
5,3104
5,3349
5,3601
5,3906
5,4899
5,4914
5,5180
5,5357
5,6755
6,284
6,297
6,3741
6,5326
6,6047
6,6577
7,3765
7,5617
8,964
8,5016
8,5722
9,1045
9,1820
9,4469
10,823
10,929
10,1984
10,3433
10,4380
10,5042
10,5439
11,3366
11,4970
12,90
12,343
12,639
12,735
12,875
12,1087
12,1572
12,1674
12,1721
12,1793
12,2047
12,2307
12,2432
12,2480
12,2891
12,2898
12,2925
12,3271
12,3489
12,3510
12,3696
12,3743
12,3845
12,5180
12,6371
12,6729
12,7064
13,4247
14,5846
14,6479
15,82
15,1830
16,55
16,1223
16,1230
16,1277
16,1515
16,1616
16,1869
16,2442
16,2519
16,3222
16,3274
16,3348
16,3793
16,4499
16,4718
16,4789
16,4813
16,6120
16,6383
16,6557
16,6807
16,7086
17,1783
17,1936
17,5785
18,591
18,1696
18,3663
18,3867
18,4351
19,1038
19,5531
19,7179
20,5226
20,6625
21,3276
21,4173
21,6917
22,6718
23,1423
23,6747
24,1985
25,2040
25,3646
25,4434
26,2352
26,4920
27,1597
27,4858
28,816
28,3204
28,3214
28,3394
28,4880
28,5333
29,928
29,6540
30,430
31,895
31,4546
32,1012
32,1769
32,2033
32,3631
32,3955
32,3994
32,4064
32,6402
33,343
33,630
33,908
33,1070
33,1104
33,1150
33,1857
33,1928
33,2524
33,2725
33,5379
33,5470
33,5716
33,6294
33,6886
33,7064
34,506
35,3242
35,4553
36,901
36,4187
36,5837
37,2550
38,3030
39,767
39,4037
39,6893
40,6319
41,674
41,6676
42,2494
43,57
43,215
43,721
43,734
43,751
43,1271
43,1279
43,1408
43,1954
43,2144
43,2472
43,2557
43,2621
43,2943
43,3431
43,3504
43,4634
43,5044
43,5414
43,6294
43,6585
44,545
44,575
44,1088
44,2610
44,3703
45,1019
45,1819
46,2584
46,4116
46,4179
46,4494
46,6594
47,3634
47,5311
48,357
49,1792
49,3248
49,5982
49,6680
50,3733
50,4390
50,5478
51,6038
52,2291
52,4661
52,5827
53,321
53,4243
53,4763
54,1285
54,2067
54,3077
