node1,node2
0,977
0,2623
0,4489
0,5679
1,1329
1,2101
1,3263
1,3676
2,121
2,208
2,852
2,1159
2,1587
2,1727
2,1915
2,2239
2,2409
2,2624
2,2695
2,2997
2,3145
2,3685
2,3802
2,4096
2,4207
2,4229
2,4231
2,4467
2,4673
2,4815
2,4961
2,5006
2,5536
2,5722
2,5803
2,5914
2,5958
2,6045
2,6468
2,6526
2,6950
2,7107
3,356
3,494
3,1645
3,1927
3,1991
3,2354
3,2712
3,3352
3,3455
3,3571
3,4648
3,4728
3,5307
3,5556
3,6022
3,6356
3,6402
3,6475
3,6516
3,6658
3,7016
3,7174
4,775
4,1442
4,3754
4,5242
4,6489
5,243
5,1131
5,1274
5,1725
5,1959
5,1969
5,2836
5,3320
5,4103
5,4255
5,4576
5,4735
5,5065
5,5071
5,5162
5,6009
5,6149
5,6551
6,1071
6,2366
6,2432
6,2669
6,4524
6,4992
7,4433
7,5617
8,964
8,4488
8,4872
9,428
9,4469
9,5855
10,823
10,1929
10,2829
10,4488
10,4493
10,4726
10,6027
11,783
11,3366
12,1429
12,1549
12,1927
12,1942
12,2291
12,2783
12,2808
12,2918
12,3524
12,3771
12,3848
12,3885
12,4066
12,4267
12,4457
12,4661
12,4717
12,4971
12,4990
12,5249
12,5389
12,5704
12,6008
12,6082
12,6277
12,6348
12,6643
13,3324
14,1913
14,3236
15,1184
15,1857
16,360
16,1468
16,1542
16,1841
16,2023
16,2117
16,2360
16,2523
16,2985
16,3116
16,3224
16,3450
16,4087
16,5964
16,5978
16,6133
16,6216
16,6334
16,6347
16,6588
16,6835
16,7085
17,1803
17,5381
17,6528
18,2034
18,2165
18,3867
18,6150
18,6502
19,2290
19,4183
19,5531
20,295
20,2669
21,2633
21,3276
21,3641
22,4634
23,740
23,1273
24,1704
25,3646
25,4434
25,6585
26,1814
26,4520
27,4725
27,6035
28,816
28,1875
28,2321
28,2524
28,5072
28,5716
29,2194
29,5879
30,6926
31,4974
31,5533
32,630
32,1070
32,1739
32,2321
32,3955
32,4126
32,5157
32,5716
33,294
33,309
33,895
33,1661
33,2226
33,3426
33,3751
33,4027
33,4051
33,4364
33,4700
33,5087
33,6227
33,6387
33,6952
33,7017
34,473
35,3242
35,6488
36,901
36,4187
36,4589
37,3494
38,3510
39,767
39,6502
39,7026
40,1256
41,1857
41,5469
42,5933
43,1427
43,1497
43,1658
43,2300
43,2941
43,3027
43,3680
43,3835
43,3864
43,4016
43,4210
43,4254
43,4951
43,5107
43,5359
43,5572
43,5635
43,5921
43,5989
43,6375
43,7171
44,1519
44,1616
44,2718
44,6606
44,6755
45,1170
45,1515
46,55
46,2181
46,2314
46,4116
46,4179
47,716
47,4008
48,5055
49,734
49,810
49,3726
49,5823
50,1740
50,4390
50,6539
51,2152
52,1126
52,2951
52,4450
53,142
53,6116
53,6739
54,1225
54,2067
54,2293
54,3077
54,4418
54,7147
55,521
55,596
55,795
55,1147
55,1316
55,1424
55,1450
55,1651
55,1696
55,2046
55,2202
55,2747
55,2908
55,2969
55,3854
55,4246
55,4599
55,5411
55,5428
55,5445
55,5557
55,5943
55,6277
55,6363
55,7000
56,212
56,2676
56,5496
56,6092
56,6595
57,465
57,649
57,1056
57,1529
57,1735
57,1792
57,1953
57,2275
57,2308
57,2326
57,2347
57,2667
57,2935
57,2974
57,3261
57,3286
57,3388
57,3404
57,4099
57,4680
57,4772
57,4913
57,4947
57,4953
57,5176
57,5266
57,5383
57,5490
57,5675
57,5683
57,5832
57,5969
57,6162
57,6295
57,6693
57,6999
57,7011
57,7023
57,7098
58,5379
58,5746
59,4366
60,582
60,7026
61,740
61,4541
61,5910
61,6414
61,6756
61,6984
62,4404
63,5997
64,1683
64,2718
64,5157
64,6116
65,5247
66,311
66,459
66,468
66,1317
66,3823
66,3921
66,4078
66,4189
66,4232
66,4820
66,4842
66,4934
66,5074
66,6309
66,6565
67,6209
68,3510
68,3845
69,241
69,670
69,1901
69,5873
70,6288
71,3808
72,4097
72,6899
73,938
74,198
75,155
75,205
75,5243
76,2891
77,324
77,1847
77,3079
77,3297
77,5565
77,5587
77,5645
77,6931
78,838
78,1271
79,1364
79,1653
80,1406
81,114
81,671
81,760
81,909
81,1540
81,1676
81,1780
81,1870
81,1886
81,1911
81,1973
81,2326
81,2377
81,2914
81,3106
81,3375
81,4399
81,4406
81,4436
81,5867
81,6047
81,6334
81,6431
81,6463
81,6618
81,7061
82,2674
82,5997
82,6623
83,665
83,1329
83,4995
83,6464
83,6949
84,5366
84,6949
85,2325
85,6120
86,5381
87,5344
87,6120
88,1767
88,2294
88,2596
88,3207
88,4296
88,4513
88,4794
88,4864
88,5633
88,5726
88,5990
88,6002
88,6711
88,6770
88,7071
89,1721
89,2623
89,6259
90,502
90,620
90,1056
90,2013
90,2066
90,2086
90,2271
90,2504
90,2713
90,3080
90,3314
90,3322
90,3330
90,3759
90,3968
90,4453
90,4728
90,4779
90,5030
90,5151
90,5176
90,5354
90,5761
90,5883
90,5928
90,5992
90,6016
90,6325
90,6732
90,6979
90,7132
91,3222
92,3563
92,4649
93,1614
93,4618
94,615
95,238
95,4620
95,5658
96,3103
96,3283
97,751
97,1674
97,3818
97,4897
97,6073
97,6598
98,2442
98,4634
99,2293
99,2472
99,4762
99,5595
99,7147
100,5463
101,2020
101,3454
101,5165
102,4718
102,5588
102,6000
103,324
103,3400
103,3484
104,2218
104,3749
104,4835
104,4925
104,5434
104,6557
104,7037
104,7167
105,1184
105,1840
106,4718
107,2155
108,3193
108,5263
109,734
109,1730
110,3383
110,5927
111,1165
111,1730
111,2442
111,2718
111,5344
111,5486
111,5496
112,2428
112,3676
112,6159
