node1,node2
0,3180
0,3497
0,4435
0,4716
1,853
1,1512
1,3263
1,4267
2,189
2,1921
2,3783
2,4410
2,4510
2,6353
3,3174
3,6135
4,774
4,2583
4,5368
4,5973
4,6489
5,1537
5,6257
6,1581
6,2432
6,3341
6,4993
6,5067
6,6270
7,1260
7,5617
8,964
8,1899
8,1989
9,428
9,2469
9,4469
10,823
10,1398
10,1989
10,2931
10,3763
10,5298
10,5786
11,3045
11,3366
12,3310
13,1137
14,2088
14,2268
15,2106
15,3877
16,2469
16,4373
16,4387
16,6667
17,2901
17,5148
17,5532
18,1238
18,2017
18,2820
18,3867
18,6150
19,426
19,2870
19,5531
20,2606
20,4993
21,3047
21,3276
21,5516
22,3343
23,2340
23,6633
24,931
25,3646
25,4434
25,6585
26,3693
26,6108
27,3829
27,3838
28,364
28,832
28,2545
28,2788
28,2877
28,3702
28,4000
28,4647
28,5139
28,5814
28,5821
28,6086
29,415
29,6831
30,754
30,1647
30,1780
30,2065
30,3245
30,3413
30,3741
30,4171
30,4329
30,4980
30,6067
30,6615
30,6712
31,4157
31,4974
32,2185
32,2642
32,2911
32,3955
32,4944
32,5097
32,6524
32,6960
33,4939
34,4883
35,1703
35,3242
36,901
36,1525
36,4187
37,180
37,286
37,395
37,1181
37,1898
37,1947
37,2204
37,3913
37,4288
37,4707
37,4875
37,6055
37,6177
37,6499
37,6861
37,6935
38,3510
39,252
39,404
39,1009
39,1124
39,1239
39,1282
39,1379
39,2156
39,2568
39,2741
39,2770
39,4117
39,4190
39,4449
39,4523
39,4705
39,5034
39,5472
39,5507
39,5836
39,6402
40,5961
41,814
41,1151
41,1504
41,1887
41,2232
41,4262
41,4999
41,5189
41,5216
41,5229
41,5984
41,6279
41,6671
41,6741
41,6923
42,3265
43,1427
43,1497
43,1658
43,2300
43,2941
43,3027
43,3680
43,3835
43,3864
43,4016
43,4210
43,4254
43,4951
43,5107
43,5359
43,5572
43,5635
43,5921
43,5989
43,6375
43,7171
44,1779
44,1976
44,2717
44,4106
44,7003
45,4751
45,5771
46,189
46,411
46,938
46,4179
46,5460
47,4389
47,4539
48,2177
49,2261
49,4461
49,4781
49,5195
50,4390
50,6539
50,6746
51,4243
52,175
52,714
52,1291
52,2218
52,3103
52,3548
52,3883
52,4379
52,4997
52,5763
52,6087
52,6099
52,6125
52,6197
53,857
53,3894
53,5676
54,387
54,2067
54,2838
54,3077
54,4418
54,6135
55,3084
56,254
56,3746
56,4368
56,5496
56,5969
57,3782
57,5315
58,1016
58,5379
59,4366
60,172
60,6181
61,2257
61,4541
61,5880
61,5910
61,6633
61,6984
62,4404
63,2823
64,1779
64,1912
64,3894
64,6524
65,5247
66,311
66,459
66,468
66,1317
66,3823
66,3921
66,4078
66,4189
66,4232
66,4750
66,4820
66,4842
66,4934
66,5074
66,6309
67,6209
68,3510
68,6282
69,1975
69,3213
69,6139
69,6317
70,6288
71,5266
72,3250
72,4097
73,4116
74,198
75,1906
75,5749
75,6104
76,1319
77,899
77,1937
77,2277
77,2894
77,3166
77,3429
77,3514
77,5585
78,838
78,1271
79,1364
79,1653
80,1406
81,392
81,1899
81,3393
82,825
82,2674
82,2823
83,853
83,1229
83,5166
83,6136
83,6520
84,4068
84,5166
85,4127
85,5888
86,5148
87,5888
87,6070
88,6317
89,2719
89,4716
89,4841
90,3763
91,5048
92,272
92,5180
93,4618
93,5715
94,615
95,238
95,1695
95,4620
96,3135
96,3283
97,532
97,1498
97,3486
97,4337
97,4350
97,5016
98,2660
98,3343
99,202
99,387
99,4500
99,5906
99,6135
100,3783
101,2789
101,3712
101,5165
102,4516
102,6374
102,6855
103,3166
103,3400
103,3484
104,987
104,1810
104,4835
104,5071
104,5269
104,5315
104,5669
104,6761
105,1255
105,2106
106,6855
107,5877
108,575
108,6929
109,163
109,177
109,513
109,514
109,689
109,940
109,1084
109,1427
109,1478
109,2072
109,2090
109,3287
109,4023
109,4709
109,6309
110,298
110,479
111,1165
111,1730
111,1779
111,2660
111,4466
111,5496
111,6070
112,1512
112,3699
112,6159
113,1989
114,1521
114,3072
114,4914
114,5314
114,5467
115,2789
116,265
116,1062
116,1137
116,2143
116,3373
117,2133
117,2518
117,4764
117,5039
117,5689
118,1775
118,2096
118,2351
118,3563
118,5165
118,6150
118,6865
119,5770
120,1460
120,1505
120,2550
120,6687
120,7114
121,203
121,2392
121,2823
121,3843
121,5931
121,6094
121,6145
