node1,node2
0,949
0,2168
0,2623
0,4243
1,1366
1,2271
1,3263
1,3676
2,1960
2,2077
2,2929
2,5480
2,6157
2,6545
3,4124
3,7167
4,775
4,1059
4,2559
4,6326
4,6489
5,243
5,1131
5,1274
5,1725
5,1840
5,1959
5,1969
5,2836
5,3320
5,4103
5,4255
5,4735
5,5065
5,5156
5,5162
5,6009
5,6149
5,6551
6,491
6,1071
6,2432
6,3621
6,4992
6,5148
7,4433
7,5617
8,964
8,1839
8,5676
9,428
9,4469
9,5185
10,823
10,2829
10,4493
10,5592
10,5676
10,6027
10,6237
11,3366
11,6292
12,3313
13,1119
14,2521
14,4421
15,1184
15,1857
16,360
16,1468
16,1542
16,1841
16,2023
16,2117
16,2360
16,2523
16,2985
16,3116
16,3224
16,3450
16,4087
16,5964
16,5978
16,6133
16,6216
16,6334
16,6347
16,6588
16,6835
16,7085
17,904
17,1803
17,5306
18,1398
18,2165
18,3867
18,4466
18,6150
19,2290
19,5531
19,6394
20,491
20,3838
21,2633
21,3276
21,6353
22,4634
23,740
23,1273
24,1704
25,3646
25,4434
25,6585
26,3145
26,4520
27,2313
27,6035
28,274
28,406
28,566
28,701
28,817
28,1569
28,1816
28,3010
28,3210
28,3898
28,3920
28,3922
28,4228
28,4384
28,5204
28,5830
28,5993
28,6432
28,6491
28,6502
29,1976
29,7051
30,231
30,1564
30,2265
30,2541
30,2818
30,2837
30,2847
30,3338
30,3493
30,4000
30,5611
30,5755
30,6123
30,6214
31,4974
31,5533
32,344
32,1070
32,1529
32,1739
32,3955
32,4126
32,5157
32,5716
33,4493
34,411
35,3242
35,6488
36,901
36,1241
36,4187
37,175
37,1253
37,1266
37,1479
37,1913
37,2098
37,2177
37,2208
37,2598
37,3031
37,3977
37,4347
37,4429
37,4548
37,4605
37,4968
37,4986
37,5005
37,5329
37,5617
37,5705
38,3510
39,110
39,178
39,182
39,1099
39,2470
39,2541
39,2679
39,2780
39,2840
39,3093
39,3481
39,5173
39,5538
39,5827
39,6196
39,6923
39,7085
40,6831
41,1857
41,5469
42,5933
43,1427
43,1497
43,1658
43,2300
43,2941
43,3027
43,3680
43,3835
43,3864
43,4016
43,4210
43,4254
43,4951
43,5107
43,5359
43,5572
43,5635
43,5921
43,5989
43,6375
43,7171
44,1616
44,5016
44,6118
44,6606
44,7109
45,779
45,1170
46,55
46,1940
46,2181
46,2314
46,4179
47,172
47,426
48,3373
49,734
49,810
49,3869
49,5823
50,1740
50,4390
50,6539
51,2152
52,2951
52,4450
52,5412
53,142
53,1016
53,6739
54,1888
54,2067
54,2293
54,3077
54,4418
54,7147
55,521
55,795
55,1147
55,1316
55,1424
55,1450
55,1651
55,1696
55,2046
55,2202
55,2747
55,2908
55,2969
55,3854
55,4246
55,5411
55,5428
55,5445
55,5557
55,5943
55,6062
55,6277
55,6363
55,6832
55,7000
56,202
56,987
56,2676
56,5496
56,6092
57,465
57,630
57,649
57,1056
57,1735
57,1792
57,1953
57,2275
57,2308
57,2326
57,2347
57,2667
57,2935
57,2974
57,3261
57,3286
57,3388
57,3404
57,4099
57,4680
57,4772
57,4913
57,4953
57,5176
57,5199
57,5266
57,5383
57,5490
57,5675
57,5683
57,5832
57,5969
57,6162
57,6295
57,6693
57,6999
57,7011
57,7023
57,7098
58,5379
58,5746
59,4366
60,2469
60,6649
61,354
61,740
61,4541
61,5910
61,6414
61,6984
62,4404
63,5997
64,1016
64,1683
64,5016
64,5157
65,5247
66,311
66,459
66,468
66,1317
66,3823
66,3921
66,4078
66,4189
66,4232
66,4820
66,4842
66,4934
66,5074
66,6309
66,6565
67,6209
68,3510
68,3845
69,1901
69,2894
69,3135
69,5873
70,6288
71,6109
72,4097
72,6899
73,938
74,198
75,155
75,205
75,5243
76,2458
77,1847
77,3252
77,3297
77,4184
77,5565
77,5580
77,5645
77,5771
78,838
78,1271
79,1364
79,1653
80,1406
81,737
81,810
81,1683
81,5983
81,6324
82,2674
82,5997
82,6447
83,532
83,665
83,1366
83,6368
83,6949
84,5366
84,6949
85,1789
85,6120
86,904
87,5344
87,6120
88,734
88,1730
89,1721
89,2623
89,6259
90,2459
91,3222
92,1844
92,4649
93,4618
93,6324
94,615
95,238
95,4620
95,5658
96,3283
96,3313
97,751
97,1674
97,3818
97,5575
97,6073
97,6598
98,2442
98,4634
99,2293
99,3478
99,3648
99,6059
99,7147
100,5463
101,3454
101,4517
101,5165
102,4153
102,4718
102,6000
103,3400
103,3484
103,5580
104,2330
104,2551
104,3180
104,3749
104,4835
104,6878
104,7037
104,7167
105,1184
105,4576
106,4718
107,2155
108,3193
108,5263
109,1767
109,2294
109,2596
109,3207
109,4296
109,4513
109,4794
109,4864
109,5633
109,5726
109,5893
109,6002
109,6711
109,6770
109,7071
110,4889
111,862
111,1165
111,1730
111,2442
111,5016
111,5344
111,5496
112,2428
112,3676
112,6159
113,5676
114,1521
114,4582
114,4914
114,5314
114,7068
115,4517
116,1119
116,1667
116,2143
116,3247
116,3374
117,1412
117,1582
117,2518
117,5385
117,5689
118,1277
118,1937
118,4887
118,5165
118,5180
118,5603
118,6150
119,6745
120,650
120,1554
120,2550
120,5699
120,6687
121,470
121,2855
121,3371
121,3696
121,5997
121,6143
121,6145
121,6690
122,461
122,6512
123,4036
123,6120
124,5997
124,6414
125,233
126,4048
126,5580
127,252
127,1289
127,3845
127,5582
127,6192
127,6464
128,6315
129,700
129,714
129,1500
129,1682
129,2525
129,3886
129,3889
129,3990
129,4104
129,4201
129,4471
129,4489
129,4522
129,4696
129,5563
129,5577
129,6020
129,6297
129,6300
129,6656
130,2870
130,4153
130,5290
131,1556
131,1857
131,1974
131,2090
131,3508
131,3510
131,3547
131,3648
131,4787
131,5111
132,1403
132,4035
132,5111
133,2720
133,2863
133,4002
133,6150
133,6215
133,6745
134,734
134,3845
134,6878
135,151
135,545
135,837
135,952
135,1708
135,2101
135,2232
135,2325
135,2590
135,2726
135,2974
135,3285
135,3767
135,3780
135,4282
135,4719
135,5167
135,5465
135,5776
135,5880
135,5947
135,6023
135,6025
135,6278
135,6309
135,6868
135,6974
135,7080
136,189
136,411
136,2717
136,5183
136,5712
136,5906
137,6128
137,6813
137,7142
138,3544
139,1180
140,5180
140,6073
141,5709
142,364
142,867
142,1090
142,1245
142,1275
142,1744
142,2270
142,2954
142,3534
142,3825
142,3933
142,4879
142,5448
142,5888
142,5967
142,6315
142,6725
142,7032
143,532
143,1638
143,3977
143,4142
143,4455
143,5070
143,5466
143,5818
143,7008
143,7140
144,3794
145,1842
145,2857
145,6118
146,2040
146,5822
147,717
147,1972
147,2635
147,2850
147,5593
147,6611
148,3343
148,6241
149,1076
150,987
150,1616
150,1843
150,2863
150,2917
151,740
151,6046
152,809
152,1540
152,3194
152,4038
152,4949
152,5227
152,5325
152,5573
152,6079
152,6249
152,6442
152,6625
152,6828
152,6969
152,7107
153,6918
154,4552
155,185
155,500
155,524
155,870
155,963
155,1089
155,1926
155,2656
155,2739
155,3027
155,3051
155,3189
155,3392
155,3545
155,3674
155,3977
155,4683
155,4730
155,4967
155,5076
155,5174
155,5371
155,5787
155,6002
155,6198
155,6319
155,6554
155,7040
155,7049
155,7070
156,4750
157,388
157,775
157,1581
157,6370
158,2394
158,2597
158,5933
159,349
159,501
159,1062
160,5948
160,6853
161,4141
161,4564
161,5823
162,874
162,5580
163,1123
163,3737
164,1199
164,3661
164,6039
165,5003
165,6291
166,247
166,1400
166,1460
166,1609
166,1678
166,1691
166,1800
166,3271
166,4199
166,4971
166,5349
166,5881
166,5884
166,5921
166,6061
166,6219
166,6681
166,6811
167,4184
167,5933
168,467
168,1075
168,2689
168,4923
168,6414
169,461
169,1273
169,1582
169,1896
169,2783
169,4750
169,6068
169,6073
169,6447
170,298
170,2331
170,4764
170,5565
171,637
171,749
171,1369
171,1579
171,1755
171,1777
171,2886
171,3009
171,3376
171,5083
171,5340
171,5403
171,5849
171,6219
171,6546
172,249
172,545
172,1585
172,1846
172,1907
172,2756
172,2842
172,3756
172,4329
172,5369
172,5727
172,6202
172,6407
172,6562
172,6573
172,6577
172,6740
172,7013
173,2901
173,4737
173,4932
173,7167
174,419
174,520
174,971
174,1541
174,2667
174,2756
174,2783
174,2942
174,4607
174,4672
174,5156
174,7064
174,7161
175,540
175,1062
175,2157
175,2340
175,3614
175,4462
175,5326
175,5709
175,5770
176,1920
176,4582
177,1653
177,2062
177,2143
177,3737
177,4422
177,6353
178,2458
179,944
179,3562
179,6649
180,2725
180,4603
180,6895
181,2126
181,3601
181,4086
181,4388
181,5070
182,920
182,5359
183,5353
184,3333
184,6136
185,2597
185,5117
185,5796
185,6424
185,7111
186,2583
186,4157
186,6276
187,202
187,673
187,1581
187,2863
187,5103
188,734
188,1183
188,1974
188,4433
188,6997
189,243
189,814
189,1639
189,1788
189,2592
189,2709
189,3089
189,3121
189,3476
189,3607
189,4210
189,4504
189,4655
189,4815
189,4989
189,5018
189,5025
189,5125
189,5386
189,5432
189,5483
189,5646
189,6089
189,6809
190,1183
190,5190
191,6598
191,7042
192,4516
192,6071
192,6118
193,2313
193,3869
194,4648
195,601
196,203
196,1076
196,1873
196,3297
196,4268
196,6729
197,2500
198,1581
198,1899
198,2896
198,3812
198,5534
198,5731
199,3000
199,3519
200,4648
200,6053
201,4961
202,745
202,1130
202,1278
202,2162
202,2953
202,3451
202,3557
202,4253
202,5150
202,6587
202,6736
202,6821
203,235
203,338
203,722
203,778
203,880
203,964
203,1244
203,1379
203,1545
203,1743
203,2076
203,2310
203,2767
203,2956
203,3089
203,3201
203,3443
203,3512
203,3906
203,4029
203,4600
203,4866
203,4985
203,5231
203,5269
203,5289
203,5335
203,6535
203,6972
204,3504
205,208
205,769
205,1912
205,2161
205,2226
205,2316
205,2667
205,2900
205,3833
205,3920
205,3931
205,4156
205,4826
205,4841
205,5388
205,5561
205,5693
206,2313
206,4582
206,4597
207,5771
208,1856
208,3048
208,3348
208,4268
208,6143
209,6282
210,3763
210,4212
211,3696
211,4298
211,5379
211,6585
211,6609
212,2500
213,3839
213,4124
213,4764
213,5165
214,1062
214,5802
215,465
215,522
215,732
215,820
215,1108
215,1212
215,1285
215,1308
215,1791
215,2091
215,2146
215,2149
215,2323
215,2424
215,2645
215,2965
215,2983
215,3390
215,3422
215,3472
215,3533
215,3639
215,3739
215,4004
215,4253
215,4714
215,4729
215,4803
215,5562
215,5706
215,6000
215,6362
215,6686
215,6730
216,3449
217,1344
217,2882
217,3956
217,5771
217,6092
217,6269
218,690
218,904
218,3587
218,3731
218,4030
218,4667
218,5716
218,5796
219,3877
220,3145
220,5460
221,690
221,4634
221,5022
221,5463
222,1764
222,2392
222,6340
223,2911
223,4174
224,250
224,1260
225,1184
225,2831
226,770
226,2305
227,2293
228,3213
228,4464
228,6448
229,2144
229,5712
230,4887
230,6745
231,2583
231,4662
231,4907
231,6739
232,467
233,734
233,2551
233,3332
233,5124
233,6408
234,2133
234,6458
235,1238
235,1289
235,4268
235,4294
235,5093
235,6046
236,3067
236,4648
236,5190
236,6259
237,2621
237,3231
238,4128
239,2873
239,4421
239,4528
239,6380
240,5846
240,6064
241,2340
242,933
242,953
242,1681
242,1966
242,2251
242,2729
242,3352
242,3936
242,4988
242,4991
242,5200
242,5572
243,1019
243,1896
243,2032
243,4750
243,6424
244,388
244,1635
244,2345
244,2774
244,3696
244,4450
244,4571
244,5469
244,5565
244,6322
245,1374
245,3783
246,735
246,2144
246,2168
247,1272
247,1862
247,2534
247,3731
247,4520
247,4586
247,4887
247,6424
248,1769
248,1921
248,2134
248,2697
248,2723
248,3059
248,3076
248,3083
248,4121
248,4529
248,4631
248,4781
248,4786
248,4857
248,5141
248,5356
248,5841
248,5891
248,6097
248,6304
248,6543
248,6568
248,6578
248,6971
248,7080
249,770
249,1026
249,1348
249,1366
249,2314
249,3583
249,5157
249,6597
249,6775
250,1385
250,2178
250,2270
250,2417
250,2752
250,3219
250,3264
250,3493
250,3659
250,3798
250,5815
250,6737
251,3590
251,3818
251,4036
251,4603
252,2394
252,3504
252,3562
252,3781
252,3877
252,4369
252,5344
252,6187
252,6609
253,3504
254,371
254,472
254,590
254,2040
254,2766
254,2855
254,3038
254,3354
254,4190
254,4734
254,5043
254,5875
254,6100
255,5155
255,5823
256,1839
257,5582
257,6148
258,1026
258,2478
258,3012
258,4853
258,5860
259,2051
259,2240
259,4389
259,5699
260,1974
260,2006
260,4704
261,949
261,3297
261,3418
261,4018
261,5946
262,735
262,1740
263,1273
263,4106
264,1300
264,2556
