node1,node2
0,355
0,2262
0,4859
0,5517
1,1573
1,3263
1,3735
1,6296
2,3527
2,5923
3,154
3,451
3,875
3,1869
3,1973
3,2040
3,2104
3,2330
3,2561
3,2674
3,3174
3,3247
3,3265
3,3648
3,4202
3,5293
3,5368
3,6150
3,6259
3,6269
3,6844
3,6984
4,3875
4,4128
4,4481
4,4513
4,4791
5,154
5,612
5,997
5,1226
5,1483
5,1572
5,1869
5,2293
5,3349
5,3906
5,4751
5,4899
5,4914
5,5180
5,5357
5,5758
5,5851
5,6798
6,284
6,297
6,3741
6,5326
6,6047
6,6577
7,3765
7,5617
8,964
8,5722
8,5855
9,1820
9,3744
9,4469
10,823
10,929
10,1984
10,3433
10,4380
10,5042
10,5439
11,3366
11,4970
12,1850
12,3160
12,4050
12,4256
12,5099
12,5258
13,4247
14,5846
14,6479
15,82
15,1830
16,587
16,1223
16,1515
16,1619
16,1703
16,1869
16,2458
16,2863
16,3180
16,3274
16,3348
16,4226
16,4389
16,4751
16,4789
16,4813
16,5190
16,6341
16,6383
16,6557
16,6649
16,7086
17,1783
17,1936
17,5785
18,591
18,1696
18,3663
18,3867
18,4351
19,1038
19,5531
19,7179
20,5226
20,6625
21,3276
21,4173
21,6917
22,6718
23,1423
23,6747
24,1985
25,3646
25,3775
25,4434
26,2352
26,4920
27,1597
27,4858
28,816
28,3204
28,3214
28,3394
28,4880
28,5333
29,928
29,6540
30,43
30,931
30,1087
30,1271
30,1600
30,1674
30,2206
30,3072
30,3425
30,4108
30,5150
30,5220
30,5495
30,5595
30,5676
30,5974
30,6991
31,895
31,4546
32,1012
32,1769
32,2033
32,2047
32,3631
32,3994
32,4064
32,6402
33,2076
33,2175
33,5178
33,5424
33,6564
34,506
35,2807
35,3242
36,901
36,4187
36,5837
37,911
37,1408
37,1619
37,1810
37,2173
37,2218
37,2508
37,2911
37,3092
37,3662
37,3906
37,5416
37,5463
37,5645
37,6192
37,6761
37,6878
38,3030
39,767
39,4037
39,6893
40,6319
41,250
41,596
41,1558
41,1954
41,2069
41,2623
41,2829
41,3072
41,3877
41,4124
41,4367
41,6284
41,6370
42,2494
43,190
43,215
43,705
43,721
43,734
43,1059
43,1163
43,1271
43,1279
43,1408
43,1954
43,2106
43,2144
43,2621
43,3166
43,3504
43,4268
43,4528
43,5044
43,6585
44,545
44,1088
44,2610
44,3703
44,6926
45,1019
45,1819
46,2584
46,4116
46,4179
46,4494
46,6594
47,3634
47,5311
48,357
49,1792
49,3248
49,5982
49,6680
50,3733
50,4390
50,5478
51,6038
52,2291
52,4661
52,5827
53,321
53,4763
53,6702
54,1285
54,2067
54,3077
54,4418
54,5938
54,6295
55,4706
55,5459
55,7026
56,1794
56,1821
56,3920
56,4372
56,4995
57,458
57,971
57,5879
58,224
58,6837
59,4366
60,309
60,4722
61,1575
