node1,node2
0,355
0,2262
0,4859
0,5517
1,1573
1,3263
1,3735
1,6296
2,108
2,121
2,241
2,518
2,550
2,632
2,1091
2,1417
2,1445
2,1916
2,2290
2,2478
2,2731
2,3364
2,3511
2,3696
2,3745
2,3791
2,3802
2,4589
2,4827
2,4872
2,5085
2,5103
2,5140
2,5533
2,5658
2,5914
2,6062
2,6076
2,6926
2,6931
2,6950
2,7107
3,356
3,456
3,494
3,495
3,843
3,1093
3,1122
3,1311
3,1686
3,1875
3,2179
3,2524
3,3845
3,3864
3,4369
3,5093
3,5556
3,6046
3,6402
3,6475
3,6646
3,6962
4,3875
4,4481
4,4513
4,4791
4,6153
5,243
5,1450
5,1725
5,1896
5,2400
5,3320
5,4102
5,4269
5,4340
5,4735
5,5065
5,5664
5,6027
5,6028
5,6131
5,6136
5,6424
5,6797
6,284
6,398
6,1071
6,2366
6,4524
6,6047
7,3765
7,5617
8,327
8,572
8,870
8,939
8,1273
8,1279
8,1614
8,2047
8,2194
8,3093
8,3298
8,3726
8,3826
8,4070
8,4363
8,4995
8,5862
8,6407
9,1045
9,1820
9,4469
10,823
10,929
10,1929
10,2829
10,4488
10,4493
10,6027
11,515
11,1674
11,1780
11,1794
11,1913
11,2705
11,2765
11,3245
11,3808
11,3849
11,4061
11,4086
11,4207
11,4695
11,4697
11,7033
11,7065
12,148
12,960
12,1126
12,1549
12,1942
12,2783
12,2811
12,2828
12,2951
12,3349
12,3494
12,3535
12,3848
12,4066
12,4491
12,4782
12,4971
12,5249
12,5389
12,5463
12,6008
12,6474
12,6510
12,6643
12,6706
12,6982
12,7010
13,4247
14,5846
14,6479
15,82
15,1830
16,314
16,527
16,1141
16,1150
16,1550
16,1798
16,1869
16,2331
16,2360
16,2480
16,3032
16,3093
16,3775
16,3911
16,4087
16,4787
16,5070
16,5727
16,6133
16,6411
16,6621
16,6943
17,1803
17,1936
17,5785
18,66
18,591
18,1696
18,3867
18,4351
19,1038
19,5531
19,7179
20,5226
20,6625
21,3276
21,4173
21,6917
22,6718
23,1423
23,6747
24,1985
25,3116
25,3646
25,4434
26,2352
26,4920
27,1597
27,4858
28,816
28,3204
28,3214
28,3394
28,4880
28,5333
29,928
29,6540
30,430
31,895
31,4546
32,1012
32,1739
32,1769
32,2033
32,3631
32,3955
32,3994
32,4064
33,108
33,241
33,582
33,1122
33,1916
33,2392
33,4552
33,4904
33,5169
33,5679
33,6062
33,6174
33,6187
33,6598
33,6739
33,7017
34,473
35,3242
35,4553
36,901
36,4187
36,5837
37,2550
38,3030
39,767
39,4037
39,6893
40,6319
41,674
41,6676
42,2494
43,261
43,5019
43,5199
44,575
44,1088
44,1616
44,2610
44,3703
45,1019
45,1819
46,2584
46,4116
46,4179
46,4494
46,6594
47,716
47,4008
48,5055
49,1792
49,3248
49,5982
49,6680
