node1,node2
0,355
0,2262
0,4859
0,5517
1,1573
1,3263
1,3735
1,6895
2,251
3,2632
3,3975
3,5003
4,2765
4,3875
4,4481
4,4513
4,4791
5,437
5,3973
6,284
6,1581
6,2432
6,6047
6,6521
6,6566
7,3765
7,5617
8,964
8,1218
8,5722
9,1820
9,3489
9,4469
10,823
10,1075
10,1260
10,4068
10,5269
10,6175
10,6609
11,1200
11,3366
12,1259
12,1853
12,4329
12,4445
12,4604
13,4247
14,5846
14,6479
15,82
15,1830
16,4566
16,5668
17,1779
17,1936
17,5785
18,591
18,1696
18,3663
18,3867
18,4351
19,1038
19,5531
19,7179
20,5226
20,6625
21,3276
21,4173
21,6917
22,6718
23,1423
23,6747
24,1985
25,3646
25,4434
25,6585
26,2352
26,4920
27,1597
27,4858
28,41
28,411
28,1289
28,1768
28,1937
28,2838
28,3180
28,3478
28,3869
28,4184
28,4437
28,5018
28,5754
28,6104
28,6374
28,6423
28,7012
29,928
29,6540
30,631
30,770
30,800
30,1087
30,1460
30,2443
30,3192
30,3662
30,5298
30,5460
30,5912
30,5913
30,6110
31,895
31,4546
32,1012
32,1489
32,1769
32,2033
32,3631
32,3994
32,4064
32,6464
33,693
33,2030
33,5598
33,5977
33,6853
34,987
35,3242
35,4553
36,901
36,4187
36,5837
37,273
37,337
37,888
37,1163
37,1736
37,2133
37,2237
37,2257
37,2933
37,3557
37,3832
37,4088
37,4466
37,4576
37,4807
37,4825
37,5150
37,5496
37,5566
37,5841
37,6038
37,6533
37,6683
37,7091
38,3030
39,215
39,345
39,1254
39,1368
39,1393
39,1775
39,1981
39,2068
39,2168
39,2434
39,2541
39,2555
39,2632
39,2857
39,2900
39,3843
39,4341
39,4539
39,4883
39,5003
39,5176
39,5495
39,5577
39,5927
39,5961
39,6193
39,6362
39,6489
39,6633
39,7114
40,6319
41,196
41,208
41,235
41,265
41,1016
41,1289
41,1976
41,2094
41,2271
41,2299
41,2351
41,2486
41,3089
41,3180
41,3478
41,4037
41,4184
41,4437
41,4947
41,5364
41,5757
41,6104
41,6254
41,6374
41,6423
41,6729
41,6850
42,2494
43,606
43,1059
43,1309
43,1427
43,1497
43,1908
43,1954
43,2439
43,3027
43,3179
43,3441
43,3693
43,3746
43,3835
43,3838
43,4016
43,4510
43,4685
43,5188
43,5379
43,5921
44,1088
44,1671
44,2610
44,3703
44,6108
45,1019
45,1819
46,2584
46,3363
46,4179
46,4494
46,6594
47,2622
47,4916
48,4528
49,1792
49,3248
49,5982
49,6680
50,3733
50,4390
50,5478
51,6038
52,344
52,606
52,851
52,1059
52,1700
52,1954
52,2439
52,3179
52,3287
52,3838
52,3955
52,4510
52,5188
52,7046
53,321
53,4542
53,4763
54,1285
54,2067
54,3077
54,4418
54,5938
54,6295
55,3305
55,4426
55,6086
56,3166
56,4372
56,4576
