node1,node2
0,355
0,2262
0,4859
0,5517
1,1573
1,3263
1,3735
1,6296
2,750
2,1187
3,3690
4,3875
4,4481
4,4513
4,4791
4,6153
5,4863
5,6772
6,284
6,719
6,1071
6,2366
6,2432
6,6047
7,3765
7,5617
8,964
8,3547
8,5722
9,1045
9,1820
9,4469
10,272
10,823
10,2829
10,4488
10,4493
10,4695
10,6027
11,783
11,3366
12,420
12,1377
12,3707
12,4620
12,5483
12,5711
12,7124
13,4247
14,5846
14,6479
15,82
15,1830
16,4822
16,5215
17,1936
17,4205
17,5785
18,591
18,1696
18,3663
18,3867
18,4351
19,1038
19,5531
19,7179
20,5226
20,6625
21,3276
21,4173
21,6917
22,6718
23,1423
23,6747
24,1985
25,3646
25,4434
25,6585
26,2352
26,4920
27,1597
27,4858
28,816
28,3204
28,3214
28,3394
28,4880
28,5333
29,928
29,6540
30,430
31,895
31,4546
32,1012
32,1769
32,2033
32,3631
32,3994
32,4064
32,5676
32,5709
33,1289
33,1512
33,2081
33,2392
33,2884
33,4243
33,4552
33,4974
33,5042
33,5169
33,5592
33,5679
33,6174
33,6187
33,6739
33,7017
34,5669
35,3242
35,4553
36,901
36,4187
36,5837
37,527
37,1114
37,1280
37,1304
37,1566
37,3178
37,3425
37,3783
37,3832
37,4935
37,4957
37,5594
37,6060
37,6483
37,6609
38,3030
39,481
39,483
39,1049
39,1794
39,1913
39,2645
39,2705
39,2765
39,2893
39,3245
39,3731
39,4694
39,4787
39,5512
39,6978
40,6319
41,308
41,575
41,1525
41,1871
41,1947
41,2055
41,2128
41,2572
41,2745
41,3801
41,4033
41,4120
41,5156
41,5195
41,5804
41,6345
41,6528
42,2494
43,601
43,1228
43,1427
43,1497
43,1954
43,2069
43,2557
43,2645
43,3027
43,3333
43,3730
43,3835
43,4016
43,4200
43,4274
43,5243
43,5278
43,5379
43,5461
43,5921
43,6943
44,1058
44,1088
44,1616
44,2610
44,3703
45,1019
45,1819
46,2584
46,4116
46,4179
46,4494
46,6594
47,716
47,2789
48,5055
49,1792
49,3248
49,5982
49,6680
50,3733
50,4390
50,5478
51,6038
52,615
52,1087
52,1442
52,1871
52,2807
52,3049
52,3716
52,3839
52,4165
52,4603
52,4950
52,5009
52,5156
52,6099
52,6110
52,6294
52,6422
53,321
53,4763
53,6062
54,1285
54,2067
54,3077
54,4418
54,5938
54,6295
55,518
55,550
55,690
55,1305
55,1810
55,1982
55,2034
55,2731
55,2747
55,2884
55,2911
55,2927
55,3746
55,3938
55,4841
55,5003
55,5363
55,5411
55,5468
55,5587
55,5592
55,5943
55,6187
55,6238
55,6408
55,7140
56,4372
56,5150
56,5496
56,6092
56,6595
57,90
57,215
57,248
57,307
57,372
57,465
57,997
57,1056
57,1361
57,1368
57,1384
57,1530
57,1735
57,2032
57,2325
57,2330
57,2414
57,2838
