node1,node2
0,3
0,4
0,5
0,271
0,7
0,9
0,12
0,287
0,15
0,396
0,17
0,18
0,315
0,23
0,24
0,27
0,47
0,57
0,92
0,93
0,94
0,139
0,156
0,356
0,416
0,166
0,318
0,322
0,327
0,337
0,340
0,354
0,365
0,372
0,374
0,375
0,443
0,487
0,493
3,1
3,366
3,4
3,5
3,271
3,7
3,8
3,12
3,287
3,206
3,15
3,18
3,20
3,25
3,32
3,33
3,35
3,39
3,42
3,44
3,48
3,62
3,63
3,65
3,66
3,71
3,72
3,417
3,91
3,109
3,410
3,329
3,144
3,154
3,43
3,118
3,187
3,273
3,13
3,78
3,205
3,207
3,209
3,217
3,224
3,240
3,248
3,257
3,278
3,285
3,300
3,320
3,321
3,323
3,326
3,327
3,332
3,346
3,353
3,355
3,360
3,361
3,365
3,325
3,387
3,394
3,403
3,46
3,377
3,425
3,328
3,465
3,469
3,59
3,499
4,366
4,18
4,83
4,150
4,181
4,272
5,366
5,151
5,26
5,31
5,32
5,86
5,176
5,194
5,210
5,233
5,363
5,398
5,456
271,366
271,8
271,9
271,22
271,23
271,27
271,28
271,36
271,37
271,44
271,60
271,65
271,99
271,164
271,105
271,114
271,115
271,117
271,280
271,121
271,122
271,123
271,350
271,162
271,179
271,219
271,356
271,297
271,298
271,284
271,317
271,336
271,364
271,371
271,373
271,375
271,398
271,439
271,393
271,450
271,95
271,474
7,366
7,10
7,22
7,206
7,315
7,26
7,34
7,39
7,50
7,53
7,69
7,74
7,430
7,82
7,88
7,89
7,399
7,115
7,280
7,129
7,410
7,144
7,145
7,148
7,158
7,159
7,161
7,170
7,187
7,211
7,226
7,247
7,259
7,6
7,316
7,339
7,341
7,344
7,360
7,392
7,441
7,445
7,470
7,498
9,8
9,10
9,31
9,76
9,102
9,274
9,126
9,155
9,158
9,243
9,254
9,265
9,460
12,366
12,26
12,27
12,33
12,68
12,70
12,93
12,116
12,484
12,153
12,161
12,195
12,197
12,213
12,244
12,6
12,370
12,384
287,10
287,124
15,366
15,396
15,21
15,34
15,2
15,52
15,89
15,399
15,139
15,149
15,163
15,207
15,266
15,334
15,455
15,468
15,349
396,22
396,315
396,29
396,30
396,57
396,84
396,135
396,202
396,215
396,224
396,362
396,387
396,389
396,438
396,490
17,366
17,206
17,84
17,177
17,250
17,16
18,49
18,63
18,75
18,164
18,274
18,133
18,189
18,400
315,37
315,100
315,50
315,359
315,61
315,68
315,115
315,123
315,131
315,137
315,13
315,202
315,259
315,260
315,305
315,451
315,218
315,419
23,10
23,24
23,29
23,39
23,47
23,52
23,295
23,359
23,76
23,98
23,134
23,187
23,227
23,242
23,250
23,260
23,344
23,437
23,459
24,10
24,42
24,54
24,63
24,73
24,79
24,107
24,111
24,129
24,149
24,193
24,230
24,259
24,277
24,288
24,322
24,433
24,192
