node1,node2
95,193
95,399
95,145
95,436
95,384
95,409
95,319
95,218
95,181
95,290
95,70
95,342
95,260
95,395
95,97
95,237
95,126
95,473
95,389
95,79
95,35
95,494
95,87
95,382
95,278
95,424
95,425
95,185
95,243
95,479
95,426
95,15
95,110
95,250
95,463
95,343
95,147
95,377
95,391
193,271
193,276
193,399
193,145
193,436
193,384
193,263
193,319
193,218
193,349
193,181
193,342
193,229
193,111
193,422
193,64
193,223
193,54
193,480
193,10
193,86
193,45
193,358
193,160
193,124
193,121
193,115
193,100
193,386
193,210
193,264
193,317
193,324
193,265
193,340
193,299
193,321
193,316
193,18
193,373
193,283
193,420
193,122
193,102
193,274
193,477
193,208
193,428
193,17
193,125
193,291
193,77
193,279
193,443
193,447
193,243
193,120
193,251
193,24
193,238
193,196
193,407
193,110
193,446
193,175
193,379
193,481
193,230
193,345
193,363
193,228
193,248
193,268
193,371
193,338
399,276
399,342
399,254
399,20
399,33
399,432
145,276
145,249
145,123
145,302
145,422
145,9
145,19
145,492
145,259
145,108
145,104
145,47
145,341
436,276
436,263
436,409
436,32
436,395
436,237
436,457
436,413
436,106
436,10
436,204
436,160
436,247
436,239
436,273
436,211
436,169
436,444
436,57
436,450
436,0
436,380
436,166
436,307
436,182
436,51
436,382
436,252
436,226
436,31
436,205
436,490
436,134
436,119
436,206
436,343
436,47
436,62
436,186
436,346
436,421
436,318
384,276
384,439
384,32
384,349
384,260
384,123
384,116
384,54
384,170
384,493
384,44
384,445
384,221
384,284
384,408
384,285
384,3
384,169
384,57
384,49
384,264
384,324
384,202
384,487
384,245
384,314
384,73
384,456
384,321
384,90
384,46
384,417
384,326
384,59
384,82
384,433
384,306
384,297
384,196
384,162
384,89
384,156
384,180
384,300
409,263
409,439
409,302
409,309
409,22
409,255
409,414
409,310
409,245
409,458
409,61
409,361
409,311
319,276
319,123
319,237
319,64
319,257
319,430
319,79
319,232
319,352
319,262
319,73
319,434
319,295
319,188
319,146
319,59
319,53
319,362
218,439
218,129
181,276
181,290
181,34
181,116
181,499
181,452
181,285
181,3
181,494
181,71
181,140
181,420
181,165
181,58
181,118
181,313
181,171
290,32
290,260
290,56
290,50
290,473
290,29
290,105
290,96
290,301
290,274
290,375
290,175
290,296
290,144
290,312
70,276
70,349
70,29
70,236
70,133
70,387
342,174
342,358
342,356
342,239
342,255
342,369
342,388
342,1
260,106
260,478
260,170
260,2
260,213
260,257
260,169
260,380
260,334
260,497
260,18
260,96
260,326
260,378
260,323
260,466
260,153
260,292
395,439
395,97
395,56
395,54
395,126
395,452
395,84
395,2
395,309
395,475
395,454
395,321
395,488
395,372
395,133
395,378
395,297
395,199
395,224
97,439
97,480
97,23
97,358
97,117
97,167
97,92
97,138
97,49
97,71
97,269
97,383
97,326
97,410
97,177
97,185
97,280
97,355
237,483
237,0
237,277
237,259
237,495
237,63
126,32
126,452
126,374
126,130
126,440
126,46
126,303
126,155
126,28
126,367
473,111
473,164
473,475
473,22
473,438
473,348
473,369
473,37
473,5
473,8
473,405
473,441
473,161
473,472
473,350
473,15
473,142
473,216
473,75
473,320
473,484
473,168
473,404
473,128
389,457
389,2
389,305
389,262
389,429
389,65
389,39
389,250
389,16
389,52
389,329
79,34
79,274
79,150
35,106
35,474
35,202
35,372
35,467
35,376
35,191
494,23
494,479
494,151
87,84
87,169
87,152
87,55
382,287
382,91
278,482
278,344
278,120
278,484
278,112
424,90
424,133
425,302
425,315
185,169
243,123
243,403
479,480
426,263
426,474
15,33
15,142
15,381
110,249
250,252
250,36
463,201
463,252
463,491
463,168
343,439
147,263
147,438
377,64
377,311
377,485
391,32
391,11
271,249
271,483
271,419
271,213
271,210
271,287
271,468
271,364
271,59
249,276
249,34
249,111
249,315
249,474
249,178
249,493
249,121
249,117
249,380
249,317
249,487
249,442
249,235
249,19
249,122
249,396
249,252
249,82
249,490
249,206
249,137
249,281
483,302
483,86
483,286
483,305
483,38
483,340
483,65
483,195
419,263
419,315
419,20
419,236
419,179
419,394
419,367
419,469
213,116
213,138
213,140
210,356
210,370
210,17
210,99
210,322
210,238
287,413
287,239
287,337
468,257
