node1,node2
0,3
0,466
0,354
0,6
0,201
0,9
0,12
0,13
0,15
0,16
0,17
0,400
0,22
0,23
0,24
0,27
0,47
0,483
0,4
0,93
0,94
0,139
0,156
0,273
0,281
0,303
0,64
0,458
0,327
0,447
0,340
0,374
0,365
0,372
0,143
0,375
0,443
0,487
0,493
3,1
3,2
3,466
3,354
3,6
3,201
3,283
3,12
3,13
3,14
3,15
3,400
3,20
3,25
3,32
3,33
3,35
3,39
3,42
3,44
3,48
3,62
3,63
3,65
3,66
3,71
3,72
3,77
3,49
3,109
3,130
3,141
3,371
3,154
3,164
3,186
3,187
3,190
3,197
3,203
3,205
3,207
3,209
3,217
3,224
3,240
3,248
3,257
3,278
3,285
3,300
3,320
3,321
3,323
3,148
3,327
3,91
3,346
3,353
3,355
3,360
3,361
3,365
3,368
3,387
3,337
3,403
3,416
3,424
3,326
3,452
3,8
3,469
3,484
3,499
466,2
466,400
466,83
466,7
466,181
466,272
354,2
354,19
354,26
354,31
354,32
354,86
354,176
354,194
354,210
354,311
354,455
354,398
354,410
6,2
6,283
6,9
6,11
6,23
6,27
6,28
6,36
6,37
6,44
6,60
6,65
6,76
6,100
6,105
6,114
6,115
6,117
6,118
6,121
6,122
6,57
6,125
6,162
6,179
6,219
6,273
6,297
6,298
6,304
6,317
6,336
6,364
6,185
6,373
6,375
6,398
6,439
6,448
6,450
6,456
6,296
201,2
201,10
201,11
201,14
201,22
201,26
201,237
201,39
201,236
201,53
201,69
201,74
201,78
201,82
201,88
201,89
201,95
201,115
201,118
201,425
201,130
201,371
201,145
201,308
201,158
201,159
201,85
201,170
201,187
201,211
201,226
201,247
201,259
201,295
201,316
201,339
201,341
201,344
201,360
201,392
201,441
201,342
201,338
201,498
9,283
9,10
9,31
9,124
9,102
9,108
9,126
9,155
9,158
9,243
9,254
9,265
9,460
12,2
12,26
12,27
12,33
12,70
12,314
12,93
12,116
12,151
12,153
12,85
12,195
12,206
12,213
12,244
12,295
12,370
12,415
13,10
13,5
15,2
15,16
15,21
15,237
15,43
15,52
15,89
15,95
15,139
15,150
15,163
15,207
15,266
15,334
15,414
15,468
15,478
16,11
16,22
16,29
16,30
16,483
16,84
16,135
16,202
16,215
16,224
16,325
16,387
16,389
16,131
16,490
17,2
17,14
17,84
17,177
17,397
17,313
400,438
400,63
400,75
400,100
400,108
400,133
400,189
400,50
22,37
22,41
22,236
22,59
22,61
22,70
22,115
22,57
22,144
22,18
22,197
22,202
22,259
22,260
22,305
22,329
22,412
22,419
23,10
23,24
23,29
23,39
23,47
23,52
23,55
23,59
23,124
23,98
23,134
23,187
23,227
23,421
23,397
23,260
23,344
23,437
23,459
24,10
24,42
24,54
24,63
24,73
24,79
24,369
24,111
24,425
24,150
24,193
24,230
24,259
24,277
24,288
24,458
24,433
24,491
27,149
27,122
27,157
27,210
27,431
27,481
47,11
47,52
47,96
47,140
47,192
47,226
47,262
47,291
47,68
47,386
483,25
483,90
483,98
483,102
483,495
483,120
483,133
483,173
483,220
483,239
483,34
483,293
483,183
483,319
483,349
483,374
483,357
483,388
483,395
483,435
483,318
483,464
483,471
483,480
4,28
4,59
4,394
4,153
4,216
4,241
4,251
4,372
4,123
4,405
4,476
93,21
93,224
93,290
94,37
94,40
94,145
94,421
94,356
94,473
94,488
139,54
139,447
139,378
156,55
156,115
156,238
156,461
273,171
273,418
281,106
281,128
281,91
281,318
281,485
303,211
303,397
64,31
64,38
458,115
327,26
327,382
447,42
340,283
340,40
374,181
374,357
374,430
365,19
372,297
372,472
143,172
143,297
143,462
143,464
375,10
443,283
443,495
487,33
487,460
487,494
493,11
493,463
1,19
1,149
1,56
1,61
1,109
1,171
1,322
1,229
1,295
19,2
19,21
19,25
19,38
19,40
19,46
19,53
19,71
19,73
19,57
19,141
19,308
19,165
19,167
19,176
19,209
19,212
19,297
19,316
19,336
19,373
19,428
19,449
149,31
149,48
149,51
149,394
149,160
149,164
149,241
149,292
56,283
56,38
56,7
56,177
56,279
56,286
56,386
56,442
61,237
61,111
61,163
109,75
109,168
109,278
109,294
109,343
109,355
171,36
171,100
171,434
322,70
322,112
322,341
229,283
229,65
229,415
2,283
2,10
2,14
2,20
2,25
2,28
2,31
2,37
2,38
2,438
2,51
2,81
2,101
2,125
2,132
2,92
2,191
2,196
2,221
2,223
2,231
2,311
2,367
2,129
2,180
2,328
2,378
2,388
2,412
2,208
2,439
2,448
2,480
2,270
283,11
283,20
283,29
283,30
283,33
283,41
283,48
283,438
283,60
283,69
283,75
283,104
283,169
283,217
283,221
283,235
283,252
283,280
283,183
283,333
283,348
283,362
283,185
283,409
283,418
283,449
283,464
10,32
10,35
10,66
10,71
10,95
10,96
10,104
10,111
10,137
10,127
10,138
10,140
10,141
10,151
10,152
10,181
10,191
10,147
10,213
10,253
10,264
10,275
10,292
10,302
10,334
10,352
10,359
10,455
10,380
10,409
10,450
10,250
10,478
14,237
14,46
14,53
14,58
14,66
14,77
14,82
14,83
14,88
14,90
14,100
14,102
14,130
14,155
14,166
14,174
14,192
14,222
14,223
14,238
14,243
14,293
14,294
14,304
14,306
14,183
14,185
14,431
14,457
14,338
14,479
14,497
20,38
20,40
20,304
20,321
25,232
28,26
28,203
28,261
28,469
31,84
31,396
37,46
37,54
37,80
37,119
37,97
37,135
37,151
37,172
37,179
37,161
37,204
37,230
37,276
37,131
37,448
38,43
38,58
38,62
38,72
38,83
38,112
38,116
38,193
38,203
38,453
438,81
438,82
438,105
438,495
438,121
438,169
438,240
438,341
438,286
438,389
438,338
438,471
438,489
51,41
51,74
51,81
51,90
51,120
51,126
51,158
51,288
51,386
51,399
51,432
51,270
81,347
81,255
101,236
101,76
101,335
101,411
101,208
101,439
125,63
132,53
132,118
132,282
132,463
92,75
92,118
92,251
191,128
196,32
196,71
196,244
221,95
221,227
221,293
221,402
221,467
221,482
223,102
223,243
223,378
223,444
231,237
231,106
231,352
231,68
231,391
311,158
367,104
367,105
129,71
129,301
180,182
180,306
180,342
328,155
328,182
378,50
378,405
388,26
412,40
412,473
412,491
208,29
480,307
270,289
32,36
32,44
32,470
32,70
32,127
32,157
32,160
32,189
32,190
32,258
32,299
32,302
32,307
32,347
32,351
32,370
32,373
32,436
32,499
33,67
33,331
33,416
33,437
33,255
35,237
39,41
39,42
39,423
39,485
42,74
42,112
42,176
42,189
42,242
42,215
42,218
42,219
42,350
42,385
42,391
42,420
42,424
42,432
42,484
44,163
44,166
44,167
44,222
44,302
44,319
44,351
44,359
44,407
44,435
44,490
48,75
48,87
48,308
48,175
48,197
48,242
62,36
62,65
62,78
62,184
62,211
62,232
62,454
63,106
63,114
63,117
63,440
63,269
63,234
65,69
65,72
65,79
65,86
65,110
65,495
65,140
65,170
65,173
65,205
65,210
65,211
65,142
65,276
65,299
65,300
65,347
65,351
65,326
65,452
65,485
66,110
66,113
66,393
66,430
71,87
71,7
71,199
71,218
71,261
71,309
71,430
77,36
77,103
77,184
77,315
49,41
49,80
49,228
49,269
49,370
130,225
130,263
130,288
130,384
130,431
130,472
141,45
371,110
154,236
154,55
154,349
154,50
154,107
164,103
164,325
186,30
186,169
186,245
186,301
186,490
190,80
190,289
190,402
190,428
197,213
197,262
205,76
205,419
207,111
207,225
207,353
207,402
207,454
207,476
207,492
209,425
209,222
209,451
217,99
217,305
217,426
224,356
224,361
224,368
224,409
224,457
240,239
240,309
248,237
248,89
257,53
257,158
257,307
257,345
257,492
278,111
285,172
285,277
285,389
285,433
300,168
300,310
320,11
320,474
320,357
321,90
323,198
323,297
148,133
148,168
91,192
91,356
346,73
346,161
353,53
355,29
355,408
360,74
360,481
361,305
368,495
387,236
337,102
337,85
337,410
403,58
403,244
416,74
424,95
326,155
452,237
452,461
8,87
8,89
469,381
484,227
499,314
181,97
181,244
181,317
272,74
272,121
26,234
86,84
194,100
194,122
194,267
194,376
194,496
455,82
398,21
410,409
410,250
11,21
11,236
11,470
11,137
11,363
11,159
11,316
11,413
36,30
36,54
36,55
36,78
36,269
60,46
60,314
60,99
60,246
60,263
60,474
76,21
76,87
100,138
100,394
100,162
100,440
100,238
100,474
100,310
100,379
100,381
100,486
105,89
105,232
105,276
105,331
105,454
105,459
114,73
114,45
114,174
114,161
114,298
115,136
115,153
115,268
115,290
115,362
115,404
117,97
117,150
118,112
118,177
118,254
118,350
118,396
118,486
121,95
121,134
121,264
121,34
121,475
122,40
122,421
162,150
179,54
179,460
219,73
219,313
219,379
219,423
297,53
298,5
298,286
317,145
336,147
364,312
364,344
185,426
450,235
456,279
456,282
296,40
296,306
237,40
237,73
237,97
237,116
237,204
237,216
237,252
237,329
237,417
237,491
236,99
236,312
236,408
53,314
53,119
53,407
69,258
69,268
69,399
69,494
69,497
74,80
74,134
74,332
74,251
74,265
74,291
74,435
78,110
78,363
78,235
78,415
78,498
82,119
82,106
82,178
82,220
82,324
88,52
88,112
88,206
88,325
89,87
89,108
89,146
89,247
89,233
89,399
89,408
89,422
89,460
89,476
95,96
95,401
95,436
95,414
425,46
425,198
425,271
145,59
145,405
145,467
145,468
308,152
308,167
308,339
158,99
158,289
158,234
159,97
159,332
85,138
85,290
170,169
170,247
170,330
226,120
226,228
226,427
259,391
339,474
339,395
341,419
341,496
344,182
392,150
392,440
392,467
441,291
441,301
441,459
342,134
342,107
342,471
498,136
29,30
29,124
29,242
29,274
29,200
29,496
30,43
30,103
30,138
30,198
30,249
30,265
41,58
41,333
41,384
75,87
75,233
104,102
104,445
104,204
104,206
104,267
169,97
235,111
235,345
235,366
252,58
280,21
280,258
280,324
183,188
333,84
348,268
348,290
362,421
418,314
449,97
124,172
124,312
102,166
102,350
102,366
102,417
102,428
108,136
108,379
126,103
155,112
155,113
155,34
155,305
243,299
254,150
265,306
96,98
137,112
127,52
127,128
127,462
138,301
138,383
140,256
151,366
151,411
152,97
152,182
152,440
147,166
147,189
147,212
147,214
147,315
147,358
147,376
147,377
147,413
147,482
213,268
253,161
253,204
253,406
264,133
