node1,node2
0,13
0,17
0,93
0,139
0,156
0,273
0,281
0,303
0,318
0,322
0,327
0,337
0,340
0,354
0,365
0,372
0,374
0,375
0,443
0,487
0,493
0,218
0,446
0,289
0,80
0,347
0,246
0,180
0,423
0,286
0,167
0,321
0,462
0,84
0,261
0,136
0,358
0,379
0,419
3,13
3,20
3,25
3,35
3,39
3,66
3,72
3,77
3,91
3,141
3,144
3,154
3,164
3,186
3,187
3,190
3,197
3,203
3,205
3,209
3,217
3,240
3,248
3,257
3,278
3,285
3,300
3,320
3,321
3,323
3,326
3,327
3,332
3,346
3,353
3,355
3,360
3,361
3,365
3,368
3,387
3,394
3,403
3,416
3,424
3,425
3,452
3,465
3,469
3,484
3,499
3,414
3,345
3,393
3,142
3,475
3,163
3,247
3,282
3,26
3,477
3,110
3,198
3,169
3,490
3,234
3,390
3,466
3,471
3,122
3,404
3,304
3,268
3,335
3,451
3,341
4,83
4,150
4,181
4,272
4,317
4,110
4,81
4,236
5,26
5,31
5,86
5,176
5,194
5,210
5,233
5,363
5,398
5,410
5,357
5,170
5,218
5,234
5,279
6,28
6,99
6,114
6,117
6,122
6,123
6,125
6,162
6,179
6,219
6,273
6,297
6,298
6,304
6,317
6,336
6,364
6,371
6,373
6,375
6,398
6,439
6,448
6,450
6,456
6,474
6,250
6,242
6,378
6,381
6,133
6,110
6,20
6,349
6,271
6,393
6,256
6,485
6,459
6,370
6,129
6,200
6,310
6,315
7,26
7,39
7,88
7,129
7,144
7,145
7,148
7,159
7,161
7,170
7,187
7,211
7,226
7,247
7,259
7,295
7,316
7,339
7,341
7,344
7,360
7,392
7,441
7,445
7,470
7,498
7,171
7,190
7,494
7,485
7,239
7,462
7,400
7,376
7,427
7,58
7,106
7,369
7,266
7,461
7,271
7,225
7,313
7,324
7,405
7,68
9,31
9,76
9,108
9,126
9,243
9,254
9,265
9,460
9,496
9,192
9,307
9,444
9,90
9,267
9,281
12,26
12,68
12,93
12,116
12,151
12,153
12,161
12,195
12,206
12,213
12,244
12,295
12,370
12,415
12,132
12,120
12,468
12,333
12,261
12,325
13,10
13,124
15,43
15,139
15,163
15,266
15,334
15,455
15,468
15,478
15,385
15,407
15,287
15,445
15,401
15,482
15,301
15,220
15,307
15,236
15,395
16,84
16,135
16,202
16,215
16,325
16,387
16,389
16,438
16,490
16,486
16,43
16,296
16,442
16,422
16,401
16,495
16,492
17,2
17,14
17,84
17,313
17,27
17,89
18,75
18,108
18,133
18,189
18,400
18,137
18,181
18,477
18,414
18,238
18,229
22,61
22,68
22,123
22,131
22,137
22,197
22,202
22,259
22,260
22,305
22,329
22,412
22,419
22,75
22,434
22,148
22,330
22,214
22,309
22,452
22,241
23,39
23,76
23,134
23,187
23,227
23,242
23,250
23,260
23,344
23,437
23,459
23,362
23,460
23,26
23,481
23,312
23,411
23,337
23,473
23,291
23,405
24,79
24,107
24,111
24,129
24,193
24,230
24,259
24,277
24,288
24,322
24,433
24,491
24,228
24,219
24,305
24,119
24,331
24,377
24,349
24,430
27,122
27,157
27,210
27,431
27,481
27,241
27,91
27,226
47,96
47,140
47,192
47,226
47,262
47,291
47,369
47,386
47,299
47,253
47,352
47,297
57,25
57,90
57,119
57,120
57,133
57,173
57,220
57,239
57,286
57,293
57,314
57,319
57,349
57,354
57,357
57,388
57,395
57,435
57,440
57,464
57,471
57,480
57,386
57,289
57,402
57,108
92,28
92,143
92,153
92,216
92,241
92,251
92,372
92,397
92,405
92,476
92,282
92,370
93,21
93,224
93,290
94,145
94,242
94,356
94,473
94,488
94,68
94,290
94,222
139,54
139,378
139,55
156,55
156,115
156,238
156,46
273,418
273,74
281,128
281,332
281,112
281,158
303,250
303,38
318,38
318,8
322,115
327,382
327,63
337,42
340,8
340,40
354,181
354,357
354,63
365,19
372,155
372,14
374,172
374,297
374,462
374,51
375,10
443,8
443,119
487,33
487,460
487,115
493,11
493,463
1,61
1,171
1,188
1,208
1,295
1,84
1,270
1,129
1,366
1,444
19,25
19,123
19,141
19,148
19,165
19,167
19,176
19,209
19,212
19,297
19,316
19,336
19,373
19,428
19,449
19,211
19,352
19,423
19,220
19,320
19,319
19,256
19,466
19,343
19,232
45,31
45,143
45,160
45,164
45,241
45,292
45,384
45,99
45,389
45,151
56,150
56,177
56,279
56,342
56,386
56,442
56,366
56,31
56,157
61,34
61,111
61,2
109,75
109,278
109,294
109,343
109,355
109,31
109,186
109,111
171,36
171,100
171,102
188,112
188,341
188,50
208,8
208,65
208,103
2,20
2,25
2,28
2,31
2,81
2,101
2,125
2,132
2,183
2,191
2,196
2,223
2,231
2,233
2,283
2,308
2,311
2,328
2,378
2,388
2,412
2,429
2,439
2,448
2,480
2,483
2,464
2,320
2,203
2,161
2,146
2,39
2,145
2,255
2,467
2,200
2,77
