node1,node2
0,1
0,2
1,12
2,17
2,100
11,31
11,74
11,36
11,79
4,36
4,93
4,91
4,16
6,5
6,77
10,3
10,12
10,62
10,67
13,102
13,38
15,60
15,59
116,54
3,46
5,92
7,8
7,29
7,54
8,9
29,25
29,37
29,107
16,31
16,53
16,104
16,68
16,58
25,24
37,64
37,98
14,48
14,74
14,76
14,68
14,79
32,36
32,113
18,17
18,33
18,19
18,87
36,48
36,68
36,99
112,96
112,88
30,28
30,105
30,73
33,35
33,42
33,97
19,20
31,53
31,99
31,58
28,27
35,34
42,43
20,21
21,22
22,24
22,23
22,103
24,26
23,71
23,94
26,114
26,27
26,105
113,114
69,48
69,79
69,104
69,81
71,70
68,95
68,104
68,55
73,83
74,58
74,48
74,79
70,72
70,49
64,63
64,65
64,67
34,65
38,39
39,40
39,41
39,85
43,44
40,41
41,48
63,60
63,62
65,61
65,66
67,80
67,115
48,44
48,76
48,93
48,55
44,45
46,45
46,98
47,45
47,81
49,56
50,57
50,51
50,88
53,99
53,76
53,84
76,91
61,59
61,60
61,66
56,101
57,94
51,52
52,75
58,99
58,95
58,79
54,102
55,95
55,93
55,84
59,60
80,106
79,95
79,99
117,75
117,103
77,78
81,82
78,90
96,82
97,91
95,93
82,83
99,84
93,84
84,104
88,87
88,89
85,86
89,90
91,92
91,104
101,100
102,109
102,103
105,106
109,108
109,110
109,111
107,108
