node1,node2
57,35
57,37
35,92
37,92
37,105
92,81
92,96
92,22
92,84
92,88
105,77
105,96
105,76
105,82
81,76
96,77
96,49
22,7
84,93
82,31
82,61
49,7
7,93
7,75
7,69
93,61
93,46
93,109
93,39
31,52
61,106
61,4
106,87
4,25
4,51
46,95
109,69
39,11
39,95
87,28
87,13
25,75
25,27
25,97
25,44
25,117
51,114
51,102
51,56
69,27
69,85
27,1
27,66
85,54
97,1
44,117
117,60
117,19
95,28
95,13
95,98
11,110
66,3
54,42
28,42
28,113
13,101
13,110
98,101
3,116
113,108
113,67
108,20
108,14
108,59
108,9
67,9
20,78
20,64
20,56
20,59
20,21
14,59
59,21
59,104
9,58
78,19
78,102
78,116
78,64
78,41
78,0
78,45
78,17
64,38
56,10
56,65
21,86
21,24
21,115
21,12
104,86
114,99
114,90
102,18
102,23
60,19
116,38
99,18
99,74
99,34
90,74
18,34
18,23
10,115
41,38
0,62
45,91
45,30
17,50
17,74
17,111
17,80
62,80
91,80
30,50
74,111
74,80
74,34
111,80
24,29
115,29
115,2
115,79
115,100
115,32
12,83
12,32
2,32
79,107
100,107
32,55
32,71
83,16
83,5
107,33
107,55
107,63
107,8
107,68
107,70
55,33
55,53
55,71
16,5
5,47
5,89
5,36
33,47
33,103
33,94
33,53
63,94
8,43
8,48
8,68
68,43
70,43
70,40
47,36
47,26
89,73
26,103
43,40
43,6
48,15
48,72
48,112
6,15
