node1,node2
1110,77742
1110,486543
1110,899070
1110,158297
486543,146720
486543,462497
486543,718805
486543,903306
899070,275698
899070,158297
899070,101132
158297,108609
158297,150993
146720,462497
718805,903306
903306,10635
903306,483473
903306,962173
903306,1116760
903306,1129981
275698,140950
275698,707437
101132,288866
150993,1488336
150993,77949
150993,545234
150993,1579360
150993,135017
150993,746708
150993,1174129
150993,1551756
150993,1114475
150993,126402
1197,330558
1197,709062
1197,803811
1197,1398597
330558,782221
330558,932145
330558,1511928
709062,340815
709062,375910
709062,516288
709062,707456
709062,735348
709062,765885
709062,793756
709062,803811
709062,1272766
709062,1398597
803811,150032
1398597,913703
1398597,1504057
782221,95102
782221,464784
782221,1129419
782221,443209
782221,585749
782221,983102
782221,1299770
932145,1586327
932145,51347
932145,723653
932145,1106081
932145,120709
932145,124492
932145,266696
932145,1077703
932145,1518285
932145,785664
1511928,150032
340815,349794
340815,735348
375910,572548
375910,761895
375910,1213324
516288,79905
516288,119019
516288,999136
516288,1330719
516288,908063
735348,1272766
735348,695097
735348,1008634
735348,1059966
765885,694620
765885,341686
765885,793756
765885,1531248
765885,1254800
793756,1297647
793756,223925
1272766,130421
1272766,1012970
150032,338895
913703,850579
1504057,109817
1504057,307566
1504057,1438766
1504057,1559748
1335,1132391
1335,75936
1335,883311
1335,1213450
1335,1445323
1335,1154230
1335,804991
1335,481251
1335,459610
1335,166919
1335,1156662
1335,1093800
1335,223282
1335,808752
1335,1417043
1335,812127
1335,1413579
1335,414417
1335,1146144
1335,500779
1335,693740
1335,1232791
1335,1131934
1335,11577
1335,374025
1335,44319
1335,1176898
1335,1539280
1335,1420488
1335,277913
1335,327514
1335,45245
1335,621969
1335,820906
1132391,1131934
1132391,1236499
1132391,1301974
1132391,406832
1132391,1413209
1132391,29239
1132391,1209831
1132391,388315
1132391,488402
1132391,1133462
1132391,77968
1132391,1413579
1132391,1365748
1132391,267767
75936,175513
75936,565129
75936,300943
75936,3504
75936,8055
75936,1301974
75936,804991
75936,820906
75936,1376926
75936,277913
75936,137540
75936,248505
75936,470379
75936,264593
75936,257551
75936,1365748
75936,126389
75936,1579568
75936,264496
75936,693740
75936,1440786
75936,54554
75936,1009157
75936,1569935
75936,77968
75936,1459583
75936,580906
75936,1258429
75936,303542
75936,1396273
883311,554000
883311,973079
883311,67497
883311,1193048
883311,1482802
883311,330434
883311,1554289
883311,1511370
883311,776634
883311,1354731
883311,71442
883311,393399
883311,1355780
883311,1551084
883311,1191339
883311,1567862
883311,267767
883311,189685
883311,1017970
1213450,297872
1213450,269784
1213450,752221
1213450,725106
1213450,792951
1213450,1156662
1213450,651434
1213450,1262495
1213450,720388
1213450,584505
1213450,408054
1213450,1376926
1213450,457527
1213450,672474
1213450,845849
1213450,693740
1213450,422057
1445323,1131934
1445323,1040099
1445323,1141728
1445323,945424
1445323,228289
1445323,694526
1445323,623579
1445323,72705
1445323,468232
1445323,1052335
1445323,498028
1445323,1283320
1445323,483084
1445323,1338486
1445323,998190
1445323,442427
1154230,1058999
1154230,948796
1154230,1328043
1154230,879060
1154230,52286
1154230,111222
1154230,368184
1154230,434010
1154230,403253
1154230,284135
1154230,77968
1154230,900046
1154230,615569
1154230,256578
1154230,625243
1154230,917204
1154230,189685
1154230,1094088
1154230,588861
1154230,1191476
1154230,388433
1154230,374336
1154230,1191201
1154230,1257035
804991,492364
804991,1058999
804991,98626
804991,231190
804991,1315512
804991,226854
804991,512015
804991,3504
804991,989005
804991,1490414
804991,1350904
804991,288204
804991,1107024
804991,1499403
804991,625243
804991,844241
804991,1156662
804991,1396273
804991,1459583
804991,1379246
804991,71442
804991,1053503
804991,1518962
804991,1007004
804991,248505
804991,1387406
804991,768325
804991,833605
804991,962111
804991,436502
804991,1041796
804991,410266
804991,726480
804991,474656
804991,1420317
804991,265970
804991,210692
804991,54554
804991,623579
804991,395567
804991,929014
804991,1146144
804991,580906
804991,820906
804991,959604
804991,1356292
804991,1265595
804991,611695
481251,996197
481251,1346236
481251,98626
481251,1264895
481251,1537917
481251,1436707
481251,381315
481251,1496225
481251,379342
481251,592526
481251,1379246
481251,693740
