node1,node2,network
1110,569831,0
1110,206637,0
1110,974042,0
1110,1257035,0
569831,500514,0
569831,17290,0
569831,443209,0
569831,1533760,0
569831,1560836,0
569831,400872,0
569831,118515,0
569831,768561,0
569831,271604,0
569831,237500,0
569831,556970,0
569831,842292,0
569831,1105522,0
569831,1430205,0
206637,1061290,0
206637,54487,0
206637,597538,0
206637,212719,0
206637,1248676,0
206637,554817,0
206637,1107479,0
206637,388005,0
206637,1394813,0
206637,1130118,0
206637,1387473,0
206637,228511,0
206637,187118,0
206637,1152740,0
206637,982908,0
974042,1517978,0
974042,770705,0
974042,57166,0
974042,948796,0
974042,515994,0
974042,904522,0
974042,288611,0
974042,411730,0
974042,223058,0
974042,755272,0
974042,170479,0
1257035,1520430,0
1257035,825785,0
1257035,61169,0
1257035,403322,0
1257035,645906,0
1257035,756399,0
1257035,1123511,0
1257035,1520793,0
1257035,576402,0
1257035,1106081,0
1257035,1361101,0
1257035,901708,0
1257035,507675,0
1257035,263661,0
1257035,257926,0
1257035,506908,0
1257035,708128,0
1257035,628294,0
1257035,265993,0
1257035,701596,0
1257035,1024849,0
77742,329296,0
329296,24108,0
329296,1182426,0
329296,1415077,0
329296,1518687,0
329296,1359119,0
329296,1261660,0
329296,799520,0
329296,37913,0
329296,379446,0
329296,307501,0
329296,855712,0
329296,1578829,0
329296,305077,0
329296,720388,0
329296,1058169,0
329296,247329,0
329296,1426512,0
329296,1018108,0
329296,1256461,0
329296,808486,0
329296,1078045,0
329296,1342732,0
329296,1473912,0
329296,118390,0
329296,513318,0
329296,882374,0
486543,277913,0
486543,1466107,0
486543,1191201,0
486543,1207294,0
486543,1239782,0
277913,1197,0
277913,204906,0
277913,561611,0
277913,15878,0
277913,1149851,0
277913,390846,0
277913,142897,0
277913,829446,0
277913,1278079,0
277913,512097,0
277913,1227000,0
277913,54714,0
277913,65082,0
277913,206143,0
277913,353808,0
277913,359170,0
277913,479778,0
277913,591707,0
277913,1154212,0
277913,1318400,0
277913,1465435,0
277913,1272676,0
277913,1443470,0
277913,98346,0
277913,443212,0
277913,877172,0
277913,400682,0
277913,516164,0
277913,340878,0
277913,1527679,0
277913,1114915,0
277913,596779,0
277913,1378497,0
277913,1231448,0
277913,1419382,0
277913,811390,0
277913,816248,0
277913,1552731,0
277913,366345,0
277913,634332,0
277913,320914,0
277913,1011512,0
277913,1174591,0
277913,1247867,0
277913,285241,0
277913,1293271,0
277913,1170504,0
277913,460860,0
277913,1050473,0
277913,778008,0
277913,633566,0
277913,158261,0
277913,1417584,0
277913,1582171,0
277913,255444,0
277913,1355637,0
277913,1157542,0
277913,1258813,0
277913,707437,0
277913,477964,0
1466107,10332,0
1466107,680278,0
1466107,1042805,0
1466107,263574,0
1466107,90326,0
1466107,538591,0
1466107,783398,0
1466107,136776,0
1466107,183242,0
1466107,368862,0
1466107,682944,0
1466107,1560345,0
1466107,1056802,0
1466107,727837,0
1466107,1132227,0
1466107,758849,0
1466107,1094647,0
1466107,364729,0
1466107,893808,0
1191201,1029248,0
1191201,907132,0
1191201,156834,0
1191201,16954,0
1191201,469213,0
1191201,297054,0
1191201,1082316,0
1191201,1331475,0
1191201,1346863,0
1191201,1038645,0
1191201,217969,0
1191201,1146742,0
1191201,253976,0
1191201,532080,0
1191201,1542396,0
1191201,127532,0
1191201,1521237,0
1191201,513439,0
1191201,1042385,0
1191201,1376027,0
1191201,1475234,0
1191201,1564802,0
1191201,750647,0
1207294,22980,0
1207294,645906,0
1207294,825785,0
1207294,1373782,0
1207294,1505015,0
1207294,1316177,0
1207294,129485,0
1207294,509623,0
1207294,410087,0
1207294,170520,0
1207294,1406774,0
1207294,465812,0
1207294,838458,0
1239782,24553,0
1239782,427685,0
1239782,733228,0
1239782,923136,0
1239782,277489,0
1239782,1242597,0
1239782,332002,0
1239782,496919,0
1239782,1326170,0
1239782,1016326,0
1239782,792527,0
1239782,587575,0
1239782,1099068,0
798991,1122008,0
798991,96051,0
798991,435598,0
798991,798202,0
1122008,1235926,0
1122008,1317743,0
1122008,293149,0
1122008,584739,0
1122008,58051,0
1122008,81656,0
1122008,1141127,0
1122008,297054,0
1122008,183368,0
1122008,833605,0
1122008,515743,0
1122008,1418337,0
1122008,965671,0
1122008,160434,0
1122008,329853,0
1122008,410789,0
1122008,1428034,0
96051,1568049,0
96051,123962,0
96051,443209,0
96051,673753,0
96051,300943,0
96051,1251380,0
