node1,node2
275,214708
275,338137
275,471254
275,1349605
275,891601
275,619315
275,1401557
58341,801601
58341,719200
58341,211367
194846,592755
194846,1180571
194846,1369169
194846,651660
194846,1102889
194846,1464605
194846,859848
194846,424017
194846,152073
214708,261506
214708,925819
214708,1118503
214708,1349605
214708,1547708
214708,623910
214708,695864
214708,1047493
338137,214630
338137,625378
338137,925819
338137,1547708
338137,933638
338137,131417
338137,1554963
471254,467895
675137,50677
675137,382699
675137,545413
675137,835726
675137,801735
675137,1292886
675137,387647
675137,23665
1349605,189920
1349605,623910
1349605,668773
1349605,780364
1349605,957292
1349605,325154
1349605,511319
1349605,677152
1349605,1239206
1349605,1533665
1349605,1416410
1349605,647633
728,341626
728,550951
728,876522
728,991291
728,1019001
728,1505796
728,229569
728,291094
728,808664
341626,320803
341626,476514
341626,1505796
341626,1293387
341626,1465706
341626,143724
341626,1435652
550951,233590
550951,273838
550951,302030
550951,393459
550951,470130
550951,709237
550951,892881
550951,1019001
550951,1105225
550951,1117006
550951,1118724
550951,1544022
550951,1385087
550951,441727
550951,966368
550951,1352412
550951,902620
550951,632391
550951,1037435
550951,1216546
550951,1398219
550951,328376
744577,555264
744577,290580
876522,517622
876522,947573
876522,991291
876522,1343960
876522,1191514
876522,167183
876522,1089785
964328,874323
964328,54987
991291,71281
991291,407949
991291,481488
991291,554747
991291,759743
991291,806406
991291,883948
991291,1363155
991291,1247964
991291,1429633
991291,876624
991291,550695
991291,1104256
991291,172161
991291,358044
991291,692422
991291,34086
991291,1508102
991291,963541
991291,1309596
991291,835089
1019001,476514
1019001,943074
1019001,684060
1019001,1117006
1019001,1118724
1019001,1333513
1117006,1191514
1117006,450691
1117006,71456
1505796,1365434
958,481969
958,960955
958,1411697
958,392503
481969,243588
481969,350380
481969,425405
481969,59210
481969,114120
481969,668773
481969,834191
481969,960955
481969,978681
481969,1184341
481969,1226956
481969,1411697
481969,1463983
481969,1119206
834191,306555
834191,521837
834191,448169
960955,478414
960955,1025998
1411697,802252
1534,1064485
1534,1351032
1534,1043625
62893,393020
62893,132519
62893,47880
62893,1334538
62893,291094
916102,692290
916102,725508
916102,865299
916102,1123723
916102,1191343
916102,1264088
916102,1078351
1051536,695864
1589,1372958
801369,8692
801369,851299
801369,933024
801369,1587230
801369,154709
801369,1336126
801369,625487
1677,242356
1677,376723
242356,509888
242356,1063816
242356,1291845
242356,1329145
242356,1409945
242356,1485906
242356,1524655
242356,677152
242356,829046
242356,154780
242356,241567
1695,742089
1695,401818
1695,1191514
219505,108956
219505,428212
219505,742089
219505,856853
219505,1386523
219505,1063520
219505,858930
1419615,742089
1419615,1293357
1419615,770864
1720,505627
1720,1137982
1720,1276154
1720,1235071
1720,1334389
1720,1252174
1720,1313736
1720,290580
29270,951547
189019,905498
189019,1305752
505627,28236
505627,60832
505627,114310
505627,123550
505627,167891
505627,293920
505627,471404
505627,483997
505627,179604
505627,569291
505627,590246
505627,625171
505627,808377
505627,905498
505627,932801
505627,970910
505627,1266974
505627,1274934
505627,1276154
505627,1523287
505627,1560613
505627,1566441
505627,1536676
505627,378074
505627,744400
505627,1072681
505627,619727
505627,1279803
505627,1420317
505627,1546300
905498,471404
905498,628814
905498,950224
905498,1385815
905498,171462
905498,768054
905498,514789
1137982,60832
1137982,617865
1137982,838593
1137982,970910
1137982,1266974
1137982,1274934
1137982,1276154
1137982,1560613
1137982,1100731
1137982,672406
1137982,1264374
1137982,1050633
1137982,1218983
1137982,956798
1276154,179604
1276154,579655
1276154,970910
1276154,1106633
1276154,1259990
1276154,1255170
1276154,337896
1930,152643
1930,320803
152643,320803
320803,141805
320803,273838
320803,393459
320803,545246
320803,801810
320803,892881
320803,1159934
320803,1490757
320803,167964
320803,469141
320803,591656
320803,1078669
320803,513964
320803,817659
320803,1246126
1985,255175
1020342,1556640
1020342,1042645
2237,569305
2237,720388
2237,937070
2237,1422026
2237,1182858
2237,1390792
2237,1097960
569305,612565
569305,1313736
720388,434348
720388,612565
720388,1292886
720388,1431269
937070,246654
937070,614891
937070,974891
937070,1055302
937070,1431269
937070,451032
937070,1246028
1254924,182381
1254924,1346514
1254924,8718
1254924,1126771
1422026,54554
1422026,388433
1422026,671641
1422026,754333
1422026,1029248
1422026,1328043
1422026,434348
1422026,572409
1422026,1183094
1422026,770625
1422026,1060319
1422026,140986
1422026,957288
2848,319468
2848,467895
2848,1406780
2848,365231
319468,111329
319468,198894
319468,150264
319468,332379
319468,382724
319468,385167
319468,456375
319468,474929
319468,681715
319468,885053
319468,1110072
319468,1366219
319468,1513439
319468,1581237
319468,1582716
319468,243588
319468,854884
319468,693533
319468,959254
319468,1329322
319468,181525
467895,238877
467895,835019
467895,1018390
467895,1110891
467895,1364549
467895,56388
467895,922729
467895,986668
467895,1518936
467895,273193
467895,862700
467895,858189
467895,75835
1406780,939395
1406780,1095208
1406780,1205191
1406780,958331
3223,1031707
3223,1108453
1031707,9218
1031707,372102
1031707,1043625
1031707,1443358
1031707,1445521
1031707,1528338
1031707,1032465
1031707,1029510
1031707,1562106
1108453,194736
1108453,39564
1108453,1332366
3539,530386
3539,1095393
1346486,89809
1346486,1050182
1346486,170605
1346486,793786
1346486,152073
1346486,1153376
1346486,742709
3896,1504565
988613,1325055
988613,310874
4112,1031219
4112,1119201
4112,171462
655586,568641
1031219,144170
1031219,726069
1031219,851248
1031219,1088009
1031219,1358829
1031219,1128897
1031219,1431615
4776,680467
4776,310874
680467,32124
680467,89380
680467,899103
680467,995385
680467,1089984
680467,1179862
680467,1410249
680467,1342039
1244175,90453
1244175,272966
1244175,568772
1244175,1179862
1244175,1255170
1244175,979939
1244175,628814
1244175,952991
1244175,905220
5090,162353
5090,1058144
5090,1087389
5090,97665
5090,937844
5090,1508488
5090,1557703
162353,25284
563685,1058144
563685,298271
563685,12345
1058144,848139
1058144,1094947
1058144,1327347
1087389,81670
1087389,238877
1087389,817269
1087389,825565
1087389,66968
1087389,214629
1087389,492740
1087389,1199521
1087389,1144352
1087389,123550
1087389,791756
1087389,529724
1087389,498016
1087389,816716
1087389,970605
1087389,1123035
1087389,576486
5129,1227391
5129,561594
1227391,529724
1227391,1123723
1227391,1385434
1227391,562725
5241,100492
5241,828225
5241,988453
5241,1457353
5241,487653
5241,742709
5241,1279035
100492,8692
100492,988453
100492,828225
100492,1119201
100492,1468744
297078,26273
297078,806184
297078,1285825
297078,1075137
297078,1582719
1154208,6565
1154208,695864
1154208,1538827
1154208,1480567
1154208,631213
1154208,1085071
1154208,243296
1154208,954363
1154208,71555
5285,1053558
1053558,81659
1053558,854349
1053558,896752
1053558,1304515
1053558,1418479
1053558,1464921
1053558,1492016
