node1,node2
1110,77742
1110,486543
1110,1056717
1110,1216765
486543,146720
486543,462497
486543,718805
486543,903306
1056717,275698
1056717,1216765
1056717,101132
1216765,108609
1216765,150993
1197,330558
1197,709062
1197,803811
1197,1398597
330558,782221
330558,932145
330558,1511928
709062,340815
709062,375910
709062,516288
709062,707456
709062,735348
709062,765885
709062,793756
709062,803811
709062,1272766
709062,1398597
803811,150032
1398597,913703
1398597,1504057
1335,1132391
1335,75936
1335,942836
1335,937070
1335,1445323
1335,1154230
1335,804991
1335,479047
1335,459610
1335,934838
1335,1156662
1335,1025998
1335,223282
1335,1261231
1335,1182355
1335,812127
1335,1413579
1335,414417
1335,1146144
1335,798991
1335,693740
1335,1232791
1335,1131934
1335,11577
1335,1067247
1335,44319
1335,1176898
1335,1539280
1335,158297
1335,277913
1335,327514
1335,45245
1335,621969
1335,820906
111490,710986
111490,1009157
111490,443390
111490,1007004
111490,1129772
111490,1128462
111490,329731
111490,382836
111490,933901
111490,974891
111490,269784
111490,1388111
111490,402555
111490,604045
111490,675367
111490,274798
111490,1262495
111490,503051
111490,1131934
111490,974037
111490,902245
111490,1497061
111490,200352
111490,1254299
111490,883275
111490,736671
111490,596189
111490,923066
111490,1264013
111490,612565
111490,798202
111490,1376926
111490,1183717
111490,71442
111490,985600
111490,1451178
111490,612386
111490,1571053
117223,1176898
117223,1175615
117223,410619
117223,147066
117223,320116
117223,1105713
117223,1467392
117223,977278
117223,267335
117223,96051
117223,89941
117223,80724
117223,790701
117223,814762
117223,1306181
117223,1191476
117223,756614
117223,266195
117223,1341525
117223,612386
117223,1001931
117223,498159
117223,1123862
134231,998190
134231,1529281
134231,248616
134231,1107024
134231,1069393
134231,1264013
134231,1025998
134231,396554
134231,1234820
134231,1469991
134231,255925
134231,1193048
134231,1420987
134231,1129772
134231,494068
134231,1262495
134231,29239
134231,1345936
134231,732094
134231,1423895
134231,611695
134231,248505
134231,203903
134231,31656
134231,436502
134231,1580675
134231,91614
134231,700530
134231,1001133
134231,466123
134231,498028
134231,246654
134231,554000
134231,388315
134231,393000
134231,217709
134231,1397788
134231,1496225
134231,1177720
134231,1387977
134231,498159
134231,1041716
134231,467052
134231,1344369
134231,240621
134231,1487754
297872,826959
297872,470379
297872,1006458
297872,1550569
297872,115566
297872,1464968
297872,1092844
297872,937070
297872,199766
297872,1464746
297872,421088
297872,761246
297872,214559
297872,256671
297872,1497061
297872,223982
297872,140424
297872,1174918
297872,1209831
297872,11577
297872,303837
304303,516803
304303,156665
304303,1032096
304303,744364
304303,1449660
304303,1110503
304303,459610
304303,140424
304303,1254299
304303,118645
304303,675035
304303,269784
304303,612565
304303,791937
304303,216405
304303,246654
304303,1191090
304303,240621
304303,1543276
304303,256671
364689,965375
364689,1041716
364689,951149
364689,1236499
364689,649512
364689,1585441
364689,175513
364689,460372
364689,98626
364689,588611
364689,1486568
364689,1339474
364689,1376926
364689,945424
364689,500779
364689,729107
364689,1353435
443390,277913
443390,732094
443390,781666
443390,1551084
443390,1423895
443390,592095
443390,1074729
443390,1007050
443390,89941
443390,1069293
443390,471134
443390,989434
443390,135239
443390,437666
443390,1041716
443390,625619
443390,1543276
443390,1486568
443390,1067579
443390,274798
443390,1436707
443390,223982
443390,113517
443390,892560
443390,1269219
443390,616428
443390,420908
443390,1499403
443390,289128
443390,744364
443390,467052
443390,147066
492364,1558275
492364,161830
492364,30544
492364,396554
492364,787210
492364,804991
492364,934838
492364,1309629
492364,1396273
492364,310888
492364,13475
492364,880423
492364,1569935
492364,274798
492364,974037
492364,601057
492364,729107
492364,1133462
492364,290801
492364,1359217
492364,233012
492364,1344369
492364,812127
492364,495689
492364,1379246
492364,807451
492364,863340
492364,1203522
492364,457527
492364,1497061
492364,1127027
492364,337779
498159,1331361
498159,255925
498159,18384
498159,535428
498159,1227617
498159,1234820
498159,3504
498159,895302
498159,77185
498159,243249
498159,1135279
498159,592095
498159,288204
498159,396554
498159,1564334
498159,869232
498159,887150
498159,715923
498159,573034
498159,264593
498159,592526
498159,1001133
498159,200352
498159,437666
536082,181697
536082,1531685
536082,151470
536082,256596
536082,175513
