node1,node2
0,212
0,17
0,93
0,139
0,156
0,196
0,130
0,448
0,318
0,322
0,327
0,337
0,340
0,354
0,365
0,372
0,374
0,375
0,443
0,487
0,493
0,329
0,446
0,289
0,80
0,347
0,246
0,180
0,423
0,286
0,167
0,321
0,491
0,84
0,261
0,136
0,358
0,432
0,419
212,3
212,10
212,124
17,412
17,151
17,84
17,313
17,27
17,89
93,335
93,21
93,224
93,290
139,15
139,54
139,378
139,125
156,125
156,115
156,238
156,396
196,112
196,418
196,74
130,9
130,128
130,332
130,292
130,158
448,250
448,38
318,38
318,8
322,24
322,115
327,3
327,442
327,63
337,23
337,42
340,8
340,40
354,57
354,181
354,357
354,63
365,3
365,164
372,92
372,155
372,151
374,172
374,297
374,491
374,51
375,112
375,10
443,8
443,119
487,33
487,460
487,115
493,359
493,463
329,5
329,42
329,71
329,334
446,8
446,414
289,57
289,483
289,158
80,37
80,377
80,74
80,52
80,107
347,32
347,65
246,60
246,396
180,37
180,346
180,114
180,77
180,73
423,164
423,396
423,185
286,57
286,121
286,155
167,164
167,44
321,3
321,292
491,7
84,306
84,1
84,86
84,141
84,303
261,335
261,71
136,8
136,218
136,115
136,396
358,201
358,2
432,103
432,219
419,315
419,205
3,20
3,25
3,35
3,39
3,66
3,72
3,390
3,91
3,417
3,144
3,154
3,252
3,324
3,187
3,377
3,118
3,331
3,205
3,209
3,217
3,240
3,248
3,257
3,278
3,285
3,300
3,320
3,323
3,326
3,332
3,346
3,353
3,355
3,360
3,361
3,186
3,387
3,394
3,403
3,46
3,379
3,425
3,173
3,465
3,469
3,304
3,499
3,414
3,345
3,349
3,142
3,475
3,163
3,247
3,282
3,26
3,382
3,110
3,198
3,169
3,490
3,234
3,284
3,466
3,471
3,122
3,404
3,11
3,268
3,444
3,16
3,341
20,112
20,412
20,8
20,38
20,40
20,48
25,57
25,164
25,412
25,53
35,10
35,34
39,7
39,23
39,412
39,477
39,42
39,40
66,10
66,151
66,110
66,237
66,349
66,485
72,38
72,65
390,412
390,151
390,36
390,411
390,168
91,27
91,477
91,228
91,269
91,359
417,164
417,10
417,64
144,7
144,151
154,50
154,125
154,447
154,82
154,103
252,45
252,411
252,452
324,109
324,30
324,245
324,451
324,52
187,7
187,23
377,7
377,32
377,44
377,102
118,315
118,48
118,60
118,34
331,412
331,38
205,48
205,65
209,164
209,16
209,36
209,30
217,8
217,185
217,426
217,384
240,49
240,239
240,484
248,34
248,89
257,53
257,158
257,87
257,102
257,168
278,109
278,111
285,51
285,172
285,433
285,121
300,65
300,168
300,60
320,164
320,412
320,359
323,198
323,359
326,32
326,168
332,10
332,6
346,73
353,207
353,53
355,109
355,29
355,408
360,7
360,10
360,74
361,10
361,224
186,224
186,149
387,306
387,50
394,10
394,102
394,97
403,58
403,82
46,33
46,74
379,42
379,328
425,65
425,155
173,315
173,65
173,34
465,87
465,89
469,28
469,65
304,8
304,42
499,32
499,70
414,18
414,8
414,53
345,48
345,71
345,235
345,97
345,420
349,112
142,359
142,52
475,60
475,121
475,481
163,15
163,44
163,451
163,328
163,367
247,7
247,89
282,92
282,65
282,64
26,5
26,7
26,335
26,23
26,124
26,185
382,18
382,30
110,4
110,112
110,65
110,451
110,245
198,30
198,73
198,267
198,274
169,8
169,49
169,36
169,97
490,306
490,44
234,5
234,63
234,103
234,250
284,124
284,168
466,164
466,87
471,57
471,49
122,112
122,27
122,40
122,185
404,115
404,135
11,112
11,151
268,115
268,69
268,348
444,62
444,255
16,135
341,7
341,188
341,49
341,496
4,83
4,150
4,181
4,272
4,317
4,81
4,236
83,151
83,38
150,56
150,71
181,18
181,10
181,97
181,244
272,74
272,121
317,112
317,64
81,412
81,49
81,51
81,495
236,15
236,89
236,98
5,31
5,86
5,176
5,194
5,210
5,233
5,363
5,398
5,356
5,357
5,170
5,279
31,9
31,45
31,56
31,109
31,412
31,430
86,65
176,164
176,42
194,44
194,103
194,105
194,155
194,69
210,27
210,65
233,412
233,158
363,10
363,82
398,112
398,21
356,37
356,292
356,74
357,57
170,7
170,32
170,65
170,330
279,56
279,287
279,97
279,292
112,28
112,99
112,114
112,117
112,123
112,59
112,162
112,179
112,219
112,297
112,298
112,336
112,364
112,371
112,373
112,439
112,271
112,450
112,287
112,474
112,250
112,242
112,378
112,381
112,133
112,295
112,2
112,256
112,427
112,459
112,370
112,129
112,200
112,310
112,22
28,92
28,412
28,38
28,29
28,33
99,45
99,101
99,21
99,87
114,63
114,73
114,174
114,298
114,125
117,63
117,97
117,149
123,315
123,164
59,412
59,63
162,103
162,149
179,37
179,54
179,52
219,24
219,42
219,141
219,73
297,47
297,164
297,412
297,53
298,124
298,342
336,164
336,201
364,312
364,344
371,8
371,151
371,87
373,164
373,32
439,412
439,38
271,412
271,37
450,10
450,235
287,484
474,40
474,30
250,23
242,23
242,94
242,158
242,108
242,434
378,412
378,400
378,98
381,36
381,103
381,185
133,18
133,57
133,10
133,477
133,264
295,24
295,57
295,151
295,37
2,7
2,151
2,359
2,119
256,164
256,64
427,7
427,65
459,23
459,105
370,335
370,92
370,32
129,7
129,24
129,1
129,10
129,396
200,412
200,37
200,42
200,48
200,29
310,103
310,98
22,158
22,201
22,422
7,88
7,145
7,148
7,159
7,161
7,211
7,226
7,259
7,478
7,316
7,339
7,344
7,392
7,441
7,445
7,470
7,498
7,171
7,494
7,239
7,400
7,376
7,415
7,58
7,106
7,369
7,266
7,461
7,225
7,313
7,456
7,405
7,68
88,151
88,52
88,292
88,128
88,70
145,94
145,412
145,37
145,32
145,218
145,484
148,315
148,164
148,48
148,69
148,152
159,359
159,97
159,229
161,335
161,412
161,221
161,158
211,164
211,62
211,65
226,27
226,47
226,415
226,73
259,315
259,24
259,391
478,335
478,1
316,164
316,359
339,8
339,34
339,270
344,23
344,182
392,218
392,207
392,149
441,121
441,301
441,396
445,15
445,311
445,71
445,447
470,151
470,49
498,451
498,484
171,1
171,36
171,103
171,102
494,69
494,229
239,57
239,185
400,18
376,201
376,41
415,10
58,151
58,38
58,328
58,477
58,399
106,231
106,63
106,82
106,396
106,184
369,47
369,231
266,15
266,185
461,60
461,193
225,218
225,207
225,124
225,396
313,54
456,82
456,384
456,413
405,23
405,92
68,335
68,315
68,94
68,32
9,76
9,407
9,126
9,243
9,254
9,265
9,460
9,496
9,273
9,307
9,104
9,90
9,267
76,23
76,65
76,29
76,172
407,18
407,57
407,49
407,89
126,51
126,411
243,151
243,223
243,52
254,141
254,149
265,49
265,74
265,30
460,23
460,89
496,29
273,47
273,151
273,396
273,416
273,54
307,15
307,32
307,73
104,1
104,124
90,57
90,151
90,51
90,42
267,49
267,42
267,384
267,410
335,116
335,190
335,153
335,195
335,100
335,213
335,244
335,366
335,132
335,19
335,468
335,333
335,452
116,38
116,34
190,45
190,10
190,37
190,43
153,92
153,221
153,48
153,115
195,36
195,50
195,21
195,54
195,79
100,384
100,292
213,8
213,10
213,65
244,151
244,280
366,451
366,455
366,40
132,412
132,53
132,141
132,62
19,57
19,51
19,396
468,15
468,70
333,8
333,477
452,306
10,96
10,111
10,113
10,350
10,138
10,140
10,152
10,191
10,253
10,264
10,275
10,165
10,302
10,334
10,352
10,77
10,380
10,409
10,458
10,203
10,463
10,134
10,301
124,416
124,237
124,442
124,395
15,14
15,334
15,455
15,203
15,385
15,197
15,274
15,401
15,12
15,301
15,220
15,395
14,306
14,8
14,38
14,30
14,147
455,328
203,40
385,8
385,42
385,30
197,44
197,53
197,21
274,291
274,87
401,306
401,328
12,221
12,201
301,138
301,292
220,57
220,164
220,82
220,472
395,57
306,135
306,202
306,215
306,389
306,438
306,486
306,296
306,362
306,422
306,495
306,492
135,37
135,396
135,149
202,315
202,70
215,42
215,125
389,45
389,49
389,62
389,479
438,37
438,97
486,103
486,141
296,89
296,52
296,383
296,125
362,56
362,64
362,411
422,89
495,33
492,207
492,149
412,61
412,101
412,183
412,191
412,280
412,223
412,231
412,283
412,308
412,311
412,55
412,388
412,343
412,429
412,480
412,483
412,464
412,146
412,255
412,467
412,41
412,227
412,138
151,462
151,174
151,222
151,223
151,238
151,293
151,294
151,41
151,314
151,431
151,457
151,479
151,497
151,182
151,245
151,434
151,262
151,472
151,467
27,157
27,431
27,481
27,241
89,480
89,281
89,408
89,476
89,238
89,426
18,75
18,189
18,137
18,238
18,229
75,315
75,109
75,8
75,183
75,48
75,87
189,32
189,42
189,201
137,315
137,40
137,98
238,8
238,103
238,29
229,74
229,52
229,488
315,61
315,131
315,260
315,305
315,482
315,343
315,434
315,330
315,214
315,309
315,241
61,1
61,34
61,111
131,64
131,396
260,23
260,40
305,24
305,8
305,155
482,44
482,34
343,40
343,473
343,192
330,40
214,201
214,79
309,49
309,71
241,92
241,45
23,134
23,227
23,437
23,13
23,481
23,312
23,43
23,473
23,291
134,115
134,121
134,53
134,74
227,221
227,97
437,33
437,128
13,8
13,115
312,62
312,50
312,477
43,52
473,94
291,47
291,74
291,64
24,79
24,107
24,111
24,193
24,230
24,277
24,288
24,433
24,192
24,228
24,119
24,95
24,393
24,485
79,65
79,50
79,21
79,120
107,411
111,109
111,207
193,38
193,328
193,168
230,37
230,87
277,49
277,74
277,52
288,51
288,218
433,359
192,34
228,484
119,57
119,49
119,65
95,33
95,105
393,201
393,128
485,71
485,34
485,328
157,56
157,32
157,71
157,328
157,411
157,421
431,218
47,96
47,140
47,262
47,386
47,299
47,253
47,352
96,328
96,98
140,65
140,73
262,54
386,57
386,56
386,37
386,51
299,32
299,65
253,204
253,406
352,164
57,416
57,293
57,314
57,319
57,388
57,435
57,440
57,464
57,480
57,402
416,65
293,221
314,8
314,70
319,164
319,44
319,463
388,125
435,44
435,74
440,155
440,201
440,54
464,8
402,221
402,207
92,143
92,216
92,251
92,397
92,476
143,45
143,42
143,103
143,249
143,436
216,34
216,52
251,34
251,74
397,103
397,52
397,411
476,207
476,359
21,231
21,78
21,160
21,182
21,249
21,383
21,426
21,41
224,6
224,409
224,457
224,77
224,178
290,94
290,51
290,115
94,6
94,488
94,222
488,36
222,8
222,44
222,97
54,138
54,67
125,147
115,457
396,311
418,8
418,70
128,191
128,350
128,453
128,206
292,188
292,101
292,113
292,497
292,184
158,338
38,453
38,463
38,235
8,208
8,235
8,399
8,78
8,348
8,409
8,449
8,325
8,223
8,430
8,420
442,87
63,269
63,338
63,165
42,166
42,391
42,420
42,206
42,302
40,348
40,406
164,303
