node1,node2
26,306
26,263
26,189
26,153
26,124
26,351
26,127
26,143
26,89
26,309
26,409
26,179
26,318
26,474
26,273
26,447
26,291
26,39
26,215
26,238
26,168
26,0
26,257
26,298
26,371
26,232
26,162
26,20
26,438
26,260
26,486
26,173
26,199
26,460
26,216
26,287
26,35
306,309
306,492
306,278
306,394
306,405
306,416
306,273
306,143
306,260
306,409
306,257
306,173
306,232
306,28
306,315
306,109
306,447
306,296
306,168
306,65
306,89
306,179
306,408
306,388
306,265
306,169
306,103
306,134
306,387
306,271
306,436
306,164
306,3
306,417
306,39
306,444
306,443
306,291
306,486
306,371
306,433
263,373
263,369
263,396
263,404
189,451
189,395
189,29
189,441
153,379
153,266
124,309
124,332
124,252
351,91
351,405
351,422
351,397
127,321
127,253
143,309
143,409
143,318
143,65
143,296
143,28
143,260
143,168
143,293
143,79
143,297
143,315
143,134
143,417
143,328
143,460
143,282
143,35
143,371
143,164
89,309
89,409
89,271
89,131
89,169
89,438
89,199
89,287
89,296
89,414
89,411
89,443
89,20
89,273
89,444
89,168
309,260
309,121
309,168
309,463
309,162
309,449
309,348
309,238
309,169
309,115
309,334
309,287
309,108
309,489
309,49
309,16
309,230
309,96
309,19
309,347
309,258
309,495
309,424
309,458
309,229
309,112
309,322
309,400
309,46
309,257
309,164
309,34
309,328
309,39
309,318
309,27
309,296
309,65
309,109
309,438
309,387
309,310
309,215
309,232
309,486
309,212
309,483
309,0
309,128
309,199
309,291
309,297
309,172
309,298
309,436
309,179
309,14
309,282
309,371
309,433
309,473
309,176
309,271
309,216
309,411
309,487
309,18
309,315
309,399
409,42
409,212
409,168
409,332
409,183
409,171
409,62
409,104
409,324
409,36
409,77
409,296
409,119
409,271
409,169
409,273
409,474
409,328
409,22
409,486
409,173
409,172
409,128
409,14
409,276
409,199
409,245
409,238
409,226
409,47
409,39
409,234
409,473
409,44
409,186
409,438
409,387
409,260
409,388
179,212
179,438
179,211
179,169
179,17
179,109
179,418
318,103
318,39
318,273
318,276
318,213
318,168
318,254
318,388
318,291
318,79
318,260
318,421
474,65
474,438
474,487
474,20
474,47
474,169
273,212
273,271
273,199
273,298
273,213
273,257
273,0
273,245
273,28
273,169
273,260
273,296
273,483
273,39
273,238
273,164
273,215
273,35
273,186
447,387
447,234
447,296
447,257
447,109
447,460
291,271
291,387
291,232
291,119
291,298
291,328
291,18
39,42
39,212
39,271
39,199
39,65
39,438
39,296
39,176
39,152
39,232
39,260
39,151
39,401
39,218
39,464
39,452
39,168
39,169
39,293
39,408
39,257
39,449
39,173
39,0
39,444
39,119
39,282
39,134
39,487
39,388
39,109
39,418
215,271
215,387
215,226
215,65
215,186
215,232
215,169
215,483
215,276
215,459
238,443
238,28
238,176
238,168
238,103
238,22
238,213
238,254
238,119
238,207
238,44
238,371
238,211
238,460
238,459
168,271
168,387
168,438
168,172
168,296
168,186
168,176
168,232
168,52
168,187
168,119
168,27
168,0
168,418
168,414
168,328
168,467
168,257
168,169
168,449
168,433
168,265
168,371
168,103
168,20
0,387
0,186
0,232
0,371
0,29
0,169
0,128
0,388
0,414
0,35
257,387
257,65
257,35
257,436
257,282
257,79
257,287
298,438
298,296
298,232
298,211
298,35
298,207
298,282
298,27
298,164
298,213
371,65
371,172
371,28
371,173
371,35
371,27
371,239
371,444
232,387
232,199
232,438
232,473
232,443
232,234
232,103
232,206
232,494
232,101
232,69
232,64
232,128
232,408
232,173
232,315
232,169
232,444
232,297
232,20
232,483
232,260
232,487
232,245
232,211
232,213
232,47
232,467
232,109
232,3
232,293
232,328
162,193
162,90
162,82
20,212
