node1,node2
0,6
0,93
0,139
0,303
0,327
0,374
0,375
0,32
0,15
0,3
0,4
0,36
0,9
0,94
0,185
0,168
0,29
0,10
0,40
0,42
0,14
0,38
0,51
0,52
0,89
0,2
0,25
0,74
0,24
0,242
0,87
0,37
0,22
0,421
0,54
0,130
0,71
6,3
6,122
6,179
6,273
6,297
6,364
6,185
6,32
6,242
6,4
6,51
6,37
6,2
6,208
6,103
6,147
6,168
6,19
6,14
6,23
6,15
6,36
6,48
6,400
6,62
6,65
6,129
6,78
6,16
6,12
6,30
6,21
6,98
6,100
6,10
6,234
6,47
6,29
6,87
6,89
6,118
93,290
93,202
93,266
93,188
139,149
139,378
139,83
139,389
303,211
303,45
327,3
327,26
327,382
374,172
374,297
374,462
374,464
375,471
375,314
32,3
32,4
32,9
32,23
32,19
32,208
32,242
32,14
32,115
32,69
32,53
32,103
32,78
32,100
32,102
32,421
32,11
32,71
32,89
32,21
15,3
15,4
15,12
15,450
15,65
15,24
15,22
15,130
15,19
15,250
15,95
15,47
15,74
15,185
15,234
15,14
3,242
3,13
3,14
3,20
3,25
3,33
3,39
3,42
3,65
3,72
3,229
3,130
3,154
3,164
3,203
3,248
3,278
3,300
3,321
3,470
3,355
3,361
3,365
3,368
3,424
3,311
3,255
3,484
3,499
3,51
3,21
3,79
3,102
3,10
3,9
3,107
3,19
3,23
3,147
3,24
3,16
3,121
3,40
3,2
3,87
3,5
3,207
3,38
3,97
3,22
3,29
3,53
3,371
3,52
3,30
3,36
3,113
3,11
3,89
3,118
3,27
3,109
3,12
3,54
3,95
3,105
3,161
3,103
3,82
4,367
4,5
4,14
4,26
4,88
4,145
4,159
4,187
4,339
4,344
4,445
4,19
4,44
4,12
4,65
4,185
4,94
4,102
4,221
4,87
4,37
4,371
4,97
4,113
4,60
4,22
4,7
4,42
4,142
4,64
4,10
4,1
4,27
4,73
4,56
4,24
4,16
4,242
4,400
36,5
36,24
36,63
36,65
36,158
36,147
36,104
9,129
9,10
9,185
9,60
9,46
9,14
9,155
9,400
9,29
9,69
9,242
9,55
94,23
94,24
94,105
94,74
94,64
94,65
185,5
185,12
185,22
185,52
185,46
185,51
185,38
185,7
185,208
185,65
185,242
185,19
185,207
185,10
185,42
185,21
185,40
185,71
185,56
168,16
168,1
168,19
168,51
168,147
168,421
29,12
29,16
29,2
29,44
29,52
29,102
29,161
10,367
10,5
10,12
10,22
10,23
10,24
10,19
10,109
10,295
10,2
10,242
10,35
10,119
10,141
10,275
10,292
10,14
10,65
10,115
10,48
10,51
10,33
10,37
10,38
10,234
10,44
10,11
10,78
10,105
10,400
10,147
10,104
40,12
40,16
40,142
40,23
40,56
40,2
40,65
40,207
40,60
40,59
42,47
42,208
42,109
42,14
42,129
42,221
42,46
42,155
42,44
42,224
42,73
42,89
42,63
42,421
42,59
14,12
14,16
14,24
14,371
14,19
14,56
14,109
14,2
14,243
14,304
14,44
14,107
14,38
14,104
14,250
14,102
14,128
14,51
14,65
14,33
14,118
14,62
14,89
14,129
14,74
38,16
38,56
38,2
38,89
38,83
38,65
38,97
38,400
38,250
38,71
51,16
51,23
51,71
51,30
51,11
51,69
51,130
52,24
52,19
52,2
52,63
52,71
52,224
52,11
52,107
52,21
52,46
89,23
89,371
89,208
89,37
89,71
89,107
89,497
89,234
2,16
2,22
2,24
2,27
2,47
2,1
2,129
2,132
