node1,node2
0,112
0,128
0,218
0,220
0,441
1,70
1,85
1,304
1,367
1,421
1,425
1,438
2,18
2,51
2,52
2,62
2,65
2,77
2,90
2,99
2,106
2,142
2,174
2,216
2,233
2,236
2,293
2,319
2,345
2,373
2,391
2,395
2,435
2,452
2,471
2,480
2,492
2,498
3,38
3,104
3,143
4,342
4,385
4,389
5,131
5,367
5,465
6,77
6,188
6,285
6,327
6,396
6,470
6,474
7,12
7,22
7,233
8,59
8,115
8,421
9,31
9,85
9,221
9,251
10,21
10,40
10,85
10,182
11,16
11,20
11,29
11,48
11,68
11,99
11,134
11,143
11,144
11,180
11,187
11,207
11,227
11,236
11,260
11,273
11,297
11,414
11,431
11,459
11,466
12,22
12,117
12,152
12,154
12,175
12,181
12,199
12,227
12,232
12,237
12,274
12,279
12,281
12,369
12,455
13,85
13,180
13,318
14,22
14,207
14,236
14,286
14,356
14,438
14,473
14,488
15,255
15,323
15,340
15,372
15,400
15,414
16,19
16,42
16,102
16,122
16,127
16,148
16,168
16,180
16,193
16,200
16,230
16,236
16,259
16,272
16,288
16,433
16,440
16,447
16,491
17,52
17,59
17,85
17,90
17,123
17,126
17,146
17,219
17,288
17,314
17,344
17,386
17,399
17,432
18,320
18,345
19,28
19,79
19,87
19,97
19,112
19,151
19,189
19,215
19,271
19,314
19,350
19,367
19,385
19,420
19,424
19,431
19,432
19,484
20,25
20,33
20,80
20,88
20,121
20,122
20,143
20,144
20,186
20,257
20,330
20,411
20,445
21,184
21,239
21,265
21,342
21,376
22,36
22,76
22,80
22,85
22,176
22,204
22,230
22,267
22,276
22,277
22,283
22,359
22,414
22,447
22,448
22,449
23,131
23,287
23,296
23,367
24,31
24,85
24,400
24,426
24,463
25,113
25,234
25,477
26,282
26,343
26,363
26,487
27,110
27,118
27,136
27,332
27,379
28,212
28,329
28,401
28,466
28,483
29,36
29,110
29,312
29,466
30,36
30,122
30,367
30,389
30,433
31,112
31,177
31,254
31,350
31,414
31,474
31,486
31,487
32,338
32,369
32,385
32,465
33,180
33,308
33,318
33,462
34,289
34,342
34,429
35,180
35,367
35,455
36,99
36,340
36,481
37,75
37,103
37,113
37,285
37,481
38,41
38,65
38,79
38,425
38,445
39,128
39,285
39,290
39,388
39,474
40,134
40,355
40,471
40,474
41,128
41,198
41,220
41,233
41,234
41,249
41,265
41,371
41,421
41,466
42,198
42,248
42,283
42,289
42,474
43,106
43,208
43,326
44,82
44,124
44,146
44,307
44,367
44,400
45,78
45,118
45,235
46,180
46,189
46,197
46,309
46,330
46,336
46,358
46,376
46,377
46,413
46,453
46,482
47,73
47,321
47,395
47,474
48,54
48,303
48,476
49,268
49,290
49,421
50,255
50,308
50,414
51,179
51,245
51,463
52,226
52,283
53,59
53,80
53,228
53,269
53,367
53,370
54,85
54,115
54,173
54,177
54,236
54,342
55,62
55,85
55,94
55,153
55,219
55,232
55,240
55,311
55,326
55,332
55,341
55,363
55,389
55,421
55,471
55,489
56,148
56,179
56,184
56,231
56,283
56,311
57,129
57,130
57,342
58,179
58,356
58,365
58,367
59,76
59,107
59,384
59,421
59,431
60,78
60,143
60,174
60,190
60,355
60,367
61,76
61,224
61,250
61,272
61,455
62,131
62,289
62,368
62,443
63,236
63,322
63,460
63,494
64,236
64,421
64,438
65,264
65,332
65,339
65,442
66,237
66,414
66,470
67,68
67,322
67,420
67,447
68,76
68,113
68,165
68,228
68,283
68,286
69,131
69,144
69,180
69,256
70,90
70,367
71,85
71,110
71,115
71,123
71,253
71,470
71,487
72,131
72,367
72,425
73,152
73,255
73,415
73,474
73,483
74,135
74,219
74,322
75,136
75,446
75,477
75,492
76,78
76,92
76,103
76,145
76,158
76,214
76,233
76,236
76,259
76,260
76,305
76,324
76,329
76,380
76,410
76,419
76,474
77,85
78,105
78,161
78,164
78,312
78,394
78,474
79,246
79,334
79,458
80,102
80,109
80,314
81,180
81,311
81,470
82,209
82,382
82,398
82,420
82,444
83,147
83,342
83,425
84,354
84,367
84,474
85,105
85,106
85,119
85,125
85,133
85,147
85,180
85,188
85,218
85,219
85,231
85,238
85,255
85,285
85,316
85,328
85,342
85,344
85,349
85,367
85,378
85,380
85,414
85,421
85,425
85,439
85,445
85,448
85,470
85,474
85,475
85,480
86,115
86,131
86,470
87,173
87,379
87,414
87,423
87,440
88,112
88,206
88,325
88,342
88,474
89,93
89,388
89,470
89,479
90,136
90,342
91,221
91,235
91,250
91,278
91,294
91,296
91,367
91,481
92,255
92,414
93,180
93,487
94,101
94,298
95,96
95,119
95,180
95,363
95,401
95,407
95,424
95,436
95,445
95,474
96,99
96,144
96,180
97,139
97,236
98,129
98,194
98,207
98,414
98,438
99,145
99,223
99,287
99,321
100,128
100,137
100,194
100,280
100,287
100,321
100,332
100,342
100,348
100,379
100,381
100,398
100,414
100,476
100,486
101,132
101,177
101,250
101,279
101,301
101,386
101,421
101,425
102,234
103,127
103,136
103,156
103,268
103,290
103,362
103,404
103,414
103,474
104,133
104,142
104,157
104,180
104,204
104,206
104,421
105,138
105,335
105,349
105,411
105,439
106,255
106,367
107,140
107,252
107,266
107,342
107,403
107,425
108,217
108,237
108,291
109,141
109,308
109,333
109,367
109,402
110,126
110,142
110,146
110,180
110,236
110,243
110,254
110,265
110,414
110,421
110,460
110,465
111,112
111,158
111,250
111,341
112,120
112,279
112,296
112,318
112,425
112,465
112,497
113,186
113,188
113,236
113,241
113,251
113,372
113,398
113,405
113,457
114,148
114,169
114,172
114,277
114,298
114,414
114,440
115,165
115,233
115,256
116,285
116,425
116,455
117,148
117,200
117,414
118,201
118,223
118,229
118,257
118,300
118,306
118,326
118,399
118,422
118,445
118,457
118,460
118,474
119,227
119,293
119,402
119,421
119,467
119,482
120,180
120,394
121,154
121,314
121,315
121,488
121,494
122,157
123,129
123,160
123,241
123,250
123,292
123,387
123,398
123,483
124,178
124,374
125,148
125,414
126,234
127,236
128,180
128,383
129,183
129,210
129,236
129,285
129,343
129,414
130,263
130,288
130,342
130,357
130,367
130,384
130,472
130,474
131,163
131,168
131,170
131,171
131,205
131,208
131,210
131,211
131,276
131,299
131,347
131,351
131,354
131,367
131,397
131,414
131,464
131,485
131,498
132,249
132,337
132,477
133,326
134,241
134,245
134,314
134,363
135,222
135,242
135,400
136,313
137,156
137,202
137,261
137,342
137,404
137,487
138,205
138,229
138,237
138,414
139,236
139,378
139,445
139,447
140,229
140,423
141,142
141,255
142,238
142,309
142,342
142,350
142,366
142,388
142,417
143,156
143,215
143,369
143,371
144,185
144,226
144,236
144,262
144,365
144,386
144,394
144,409
145,292
145,438
146,161
146,333
146,396
146,474
146,475
147,149
147,181
147,236
147,301
147,332
147,367
148,269
148,332
148,367
148,396
148,476
149,314
149,363
150,167
150,208
150,209
150,225
150,313
150,354
150,371
150,474
151,255
151,470
152,180
152,182
152,476
153,342
153,474
154,394
154,474
155,184
155,234
155,342
155,367
155,371
155,453
156,236
156,461
157,194
157,198
157,284
157,453
158,285
158,308
158,446
159,183
159,224
159,466
160,237
160,308
161,217
161,266
161,275
161,284
161,381
161,391
161,423
161,495
162,202
162,237
162,258
162,421
163,167
163,250
163,421
164,233
164,367
165,255
166,204
166,240
166,458
167,285
167,407
168,195
168,197
168,237
168,274
168,289
169,234
169,342
169,422
170,212
170,232
170,306
170,474
171,195
171,223
171,335
172,354
172,428
173,447
174,365
174,473
174,489
175,229
175,333
175,483
176,180
176,285
176,366
176,411
178,296
178,311
178,337
179,236
179,318
179,485
180,181
180,191
180,213
180,264
180,272
180,275
180,282
180,292
180,302
180,308
180,334
180,338
180,352
180,375
180,408
180,412
180,428
180,450
180,458
180,474
180,478
180,479
181,244
181,317
181,345
182,234
182,237
182,297
182,328
183,234
183,308
183,310
183,444
183,451
184,208
184,275
185,231
185,294
186,455
187,367
187,474
188,203
188,261
188,414
188,430
189,308
189,332
190,332
190,378
191,236
191,367
191,369
192,236
192,255
192,367
193,296
193,425
193,427
193,461
194,376
194,470
194,496
195,197
195,223
195,285
195,447
196,255
196,394
196,474
198,310
198,323
198,440
199,440
199,458
200,254
200,280
200,284
200,296
200,392
200,445
201,367
201,455
202,311
202,413
203,367
203,425
204,335
204,408
204,455
205,367
205,419
206,285
207,362
207,417
207,434
208,211
208,367
208,371
208,425
208,454
209,272
209,366
209,421
209,450
210,470
211,303
211,474
212,438
213,214
213,268
213,285
214,262
214,367
214,483
215,233
216,225
216,311
216,358
216,472
217,305
217,367
217,421
218,458
219,347
220,232
220,245
220,367
220,490
221,229
221,257
221,332
221,421
221,483
222,242
222,248
222,342
222,412
224,242
224,339
224,391
224,445
225,229
225,394
226,228
226,427
226,474
227,484
229,230
229,263
229,300
229,310
229,458
229,483
231,271
231,352
231,455
232,421
233,236
233,267
233,324
233,325
233,389
233,394
233,429
233,445
233,466
233,490
234,387
234,438
235,367
235,466
236,247
236,253
236,285
236,303
236,327
236,332
236,340
236,345
236,367
236,372
236,375
236,414
236,437
236,443
236,445
236,470
236,474
236,493
237,247
237,249
237,255
237,383
237,394
237,445
238,243
238,342
238,378
238,444
239,414
239,438
240,367
240,391
241,384
242,282
242,302
242,308
242,309
242,319
242,351
242,367
242,414
242,415
242,435
242,490
243,299
243,342
244,285
244,316
244,403
245,354
246,283
246,495
247,285
247,290
247,429
248,255
248,367
248,451
249,398
250,255
250,295
250,348
250,367
251,314
252,421
252,455
253,425
255,281
255,283
255,330
255,336
255,400
255,415
255,425
255,428
255,438
255,440
255,458
255,470
256,337
257,381
257,383
258,270
258,308
258,397
258,489
259,271
259,474
260,438
261,458
262,447
263,495
264,363
265,314
266,445
267,283
267,385
267,404
267,451
268,397
269,371
270,285
270,324
270,400
270,406
270,418
270,468
270,495
270,499
272,278
272,374
273,318
273,322
274,466
276,326
277,282
277,346
277,408
277,440
278,367
279,319
279,456
280,414
281,421
283,337
283,342
283,357
283,410
283,495
285,295
285,322
285,367
285,370
286,317
286,405
286,467
286,468
286,474
289,358
289,427
291,342
291,414
291,421
293,342
294,330
294,342
295,474
296,390
296,442
297,364
297,474
298,369
298,414
299,308
300,367
301,458
302,308
302,377
304,342
304,414
305,361
305,465
306,474
307,308
307,440
307,480
308,316
308,337
308,347
308,351
308,367
308,370
308,371
308,436
308,470
308,499
309,342
310,409
311,342
311,359
311,474
312,364
312,373
312,446
313,474
314,360
314,409
314,416
314,435
314,474
315,357
315,425
316,458
317,414
318,369
318,377
318,432
319,463
320,321
320,367
320,394
321,426
321,495
322,331
322,367
322,416
322,421
323,367
325,387
326,331
326,414
326,454
326,459
327,367
327,382
328,465
329,455
331,365
332,367
333,344
334,445
336,414
337,394
337,410
337,412
337,426
338,342
338,354
338,367
338,393
338,469
339,481
340,452
340,462
341,419
341,474
341,496
342,365
342,367
342,400
342,455
342,465
342,474
342,492
342,497
343,360
345,469
346,367
346,440
348,371
348,434
348,437
349,466
351,434
352,409
353,367
353,374
353,400
354,390
355,469
356,429
357,374
357,433
359,400
360,367
360,474
361,367
361,429
362,421
363,373
363,414
364,414
365,498
367,368
367,374
367,387
367,388
367,403
367,414
367,416
367,421
367,424
367,428
367,429
367,430
367,431
367,442
367,445
367,458
367,464
367,470
367,474
367,483
367,484
367,499
368,429
369,382
369,390
369,395
369,498
370,462
371,414
371,447
372,472
373,465
374,402
374,445
374,454
374,457
375,414
378,405
380,438
380,473
380,491
381,430
386,393
386,401
389,393
392,467
392,474
392,476
394,413
394,414
394,421
394,474
394,493
397,399
397,421
397,474
397,494
397,497
398,436
400,474
406,408
406,438
407,445
409,441
414,421
414,437
414,439
414,448
414,449
414,450
414,456
414,495
417,455
418,421
418,437
421,443
421,452
421,466
421,479
421,483
421,492
421,495
422,453
423,431
426,456
429,479
431,474
431,485
438,455
440,455
441,459
441,474
445,455
445,468
445,478
447,449
449,460
455,464
455,474
455,491
457,486
458,469
461,464
463,493
466,496
467,488
469,478
470,475
482,487
