node1,node2
227,40
227,4
227,196
227,170
227,107
227,78
227,47
227,68
227,238
227,24
227,154
227,144
227,254
227,317
227,226
227,62
227,472
227,98
227,232
227,186
227,157
227,334
227,88
227,287
227,436
227,303
227,267
227,38
227,269
227,230
227,33
227,333
227,386
227,486
227,481
227,339
227,162
227,274
227,77
40,409
40,2
40,4
40,196
40,170
40,107
40,290
40,47
40,68
40,171
40,238
40,144
40,266
40,245
40,346
40,54
40,376
40,405
40,191
40,332
40,253
40,387
40,190
40,272
40,402
40,222
40,128
40,494
40,330
40,447
40,492
40,276
40,320
40,316
40,240
40,363
40,167
40,377
40,438
40,241
40,185
40,189
40,116
40,460
40,80
40,130
40,275
40,17
40,294
40,126
40,46
40,50
40,164
40,263
40,231
40,269
40,418
40,277
40,202
40,193
40,297
40,94
40,386
40,419
40,31
40,233
40,220
40,416
40,424
40,403
40,421
40,102
40,306
40,215
40,123
4,2
4,144
4,490
4,207
4,104
4,302
196,2
196,473
196,256
196,10
196,346
196,117
196,74
196,468
196,1
196,48
196,198
196,148
196,309
170,2
170,290
170,78
170,52
170,317
170,62
170,11
170,235
170,273
170,332
170,146
170,272
170,111
170,452
170,225
170,83
170,305
170,375
170,479
170,72
170,414
170,90
170,73
170,92
170,182
170,483
170,287
170,453
170,425
170,246
170,299
170,16
170,470
170,75
170,383
170,339
170,148
170,360
170,404
170,142
170,456
170,391
107,2
107,458
107,52
107,171
107,254
107,256
107,445
107,405
107,158
107,406
107,401
107,194
107,119
107,497
107,475
107,112
107,34
107,305
107,479
107,84
107,492
107,320
107,58
107,286
107,163
107,69
107,457
107,326
107,167
107,66
107,242
107,265
107,35
107,295
107,318
107,136
107,5
107,259
107,297
107,328
107,36
107,354
107,236
107,282
78,290
78,458
78,10
78,365
78,435
78,87
78,389
78,71
78,163
78,221
78,49
78,323
78,279
47,2
47,256
47,62
47,54
47,378
47,82
47,186
47,288
47,415
47,373
47,457
47,135
47,368
47,166
47,388
47,295
47,348
47,214
68,458
68,204
238,2
238,24
238,390
238,445
238,168
238,337
238,112
238,34
238,334
238,338
238,352
238,189
238,175
238,292
238,322
238,7
238,181
24,52
24,254
24,169
24,97
24,98
24,289
24,442
24,208
24,308
24,80
24,325
24,31
24,141
24,100
24,394
154,2
154,171
154,289
154,327
154,3
154,313
144,178
144,190
144,336
144,452
144,87
144,489
144,105
144,205
254,273
254,498
254,158
254,347
254,291
254,378
254,305
254,90
254,93
254,455
254,438
254,208
254,35
254,488
254,216
254,329
254,64
254,370
317,458
317,226
317,169
317,405
317,472
317,337
317,59
317,347
317,365
317,57
317,353
317,167
317,484
317,372
317,3
317,488
317,259
317,312
317,211
226,458
226,191
226,199
226,190
226,439
226,143
226,121
226,446
226,84
226,338
226,23
226,463
226,35
226,131
226,300
226,38
226,134
226,491
62,19
62,414
62,380
62,1
62,366
62,357
472,52
472,337
472,342
472,79
472,224
472,242
472,429
472,398
472,96
472,110
98,245
98,206
98,57
98,435
98,120
98,268
98,489
98,155
98,43
98,176
98,450
98,448
98,30
98,480
98,420
98,333
98,478
98,248
98,260
98,212
98,467
98,283
98,150
98,464
232,11
232,347
232,307
232,373
232,28
232,180
232,281
232,486
232,32
232,20
232,41
186,390
186,80
186,431
157,273
157,385
157,58
157,372
157,461
157,139
157,42
334,199
334,230
334,147
88,59
88,305
88,213
88,392
287,218
287,247
436,6
436,14
436,418
436,467
436,115
303,66
303,3
267,10
267,296
38,305
269,256
269,382
230,191
33,290
33,385
333,104
333,478
333,349
386,473
486,453
