node1,node2
35,117
35,21
117,77
117,60
117,85
117,56
117,83
21,67
21,68
21,28
21,87
21,101
65,24
65,116
24,44
24,71
24,78
24,104
116,15
116,84
116,66
116,60
116,113
16,41
16,108
16,25
41,107
41,109
41,76
108,23
108,58
108,81
25,100
25,99
25,26
42,50
42,111
42,64
42,86
42,40
42,92
42,49
50,102
111,63
64,114
86,95
40,37
92,95
49,37
96,61
96,93
96,88
96,75
96,20
61,105
93,63
88,59
75,59
20,105
37,18
37,68
37,77
37,85
9,109
9,107
9,1
9,79
109,110
107,82
1,91
1,4
79,91
79,45
13,95
13,31
95,46
95,87
95,39
31,5
31,113
31,39
31,100
15,114
114,112
114,38
114,57
114,6
114,47
0,48
48,11
48,12
48,62
48,51
48,29
48,19
48,94
48,10
44,34
34,71
34,66
34,43
34,78
34,67
5,98
98,52
98,33
98,28
98,103
14,89
14,91
14,8
89,99
89,97
89,22
91,30
8,23
8,97
8,81
69,7
69,55
7,80
7,53
7,56
7,33
55,23
55,32
55,73
55,104
106,76
106,26
106,97
106,2
76,3
26,3
2,115
2,27
43,102
32,105
105,112
105,54
30,110
30,82
84,59
80,59
59,94
59,46
59,103
59,6
82,4
82,90
81,3
102,70
102,52
102,83
100,45
18,63
63,101
63,57
70,72
72,53
72,10
72,54
72,36
45,58
45,90
58,4
90,3
4,17
110,74
110,99
74,115
74,17
36,27
38,27
27,73
27,47
17,22
17,115
22,115
