node1,node2
35,117
35,21
117,77
117,60
117,85
117,56
117,83
21,67
21,68
21,28
21,87
21,101
65,24
65,116
24,44
24,71
24,78
24,104
116,15
116,84
116,66
116,60
116,113
16,41
16,108
16,25
41,107
41,109
41,76
108,23
108,58
108,81
25,100
25,99
25,26
42,50
42,111
42,64
42,86
42,40
42,92
42,49
50,102
111,63
64,114
86,95
40,37
92,95
49,37
96,61
96,93
96,88
96,75
96,20
61,105
93,63
88,59
75,59
20,105
37,18
37,68
37,77
37,85
9,109
9,107
9,1
9,79
109,110
107,82
1,91
1,4
79,91
79,45
13,95
13,31
95,46
95,87
95,39
31,5
31,113
31,39
31,100
15,114
114,112
114,38
114,57
114,6
114,47
0,48
48,11
48,12
48,62
48,51
48,29
48,19
48,94
48,10
44,34
34,71
34,66
34,43
34,78
34,67
5,98
98,52
98,33
98,28
98,103
14,89
14,91
14,8
89,99
89,97
89,22
91,30
8,23
8,97
8,81
69,7
69,55
7,80
7,53
7,56
7,33
55,23
55,32
55,73
55,104
106,76
106,26
106,97
106,2
76,3
26,3
2,115
2,27
43,102
32,105
105,112
105,54
30,110
30,82
84,59
80,59
59,94
59,46
59,103
59,6
82,4
82,90
81,3
102,70
102,52
102,83
100,45
18,63
63,101
63,57
70,72
72,53
72,10
72,54
72,36
45,58
45,90
58,4
90,3
4,17
110,74
110,99
74,115
74,17
36,27
38,27
27,73
27,47
17,22
17,115
22,115
0,60
0,113
0,77
0,73
0,56
0,65
0,49
0,112
0,68
0,66
0,85
0,15
0,6
0,88
0,28
0,83
0,61
0,70
0,47
0,39
0,20
0,103
0,32
0,86
0,18
0,52
0,94
0,84
0,87
0,67
0,53
0,46
0,10
0,50
0,79
0,69
0,44
0,30
0,26
0,14
0,97
0,76
0,90
60,11
60,19
60,29
60,33
60,35
60,101
60,43
60,78
113,11
113,19
113,29
113,51
77,19
77,29
77,35
77,51
73,11
73,19
73,29
73,51
56,11
56,29
56,33
56,35
56,38
56,93
56,101
56,43
56,36
56,78
65,11
65,29
65,33
65,35
65,51
65,43
65,101
49,11
49,19
49,29
49,35
49,51
49,101
112,19
112,29
112,35
112,51
68,11
68,13
68,29
68,33
68,35
68,38
68,43
68,101
68,36
68,78
66,11
66,19
66,29
66,33
66,35
66,101
66,43
85,11
85,19
85,29
85,33
85,35
85,51
85,101
85,43
15,11
15,35
15,43
15,101
15,33
15,29
15,78
15,38
15,51
6,11
6,29
6,101
6,43
6,35
6,78
6,33
6,19
6,51
88,11
88,19
88,29
88,33
88,35
88,38
88,43
88,101
88,78
28,11
28,19
28,29
28,51
83,11
83,19
83,29
83,35
83,51
83,101
61,11
61,19
61,29
61,33
61,35
61,51
61,43
61,101
70,11
70,29
70,33
70,35
70,38
70,43
70,101
70,78
70,36
70,93
47,11
47,19
47,29
47,51
39,11
39,19
39,29
39,35
39,51
39,101
20,11
20,29
20,33
20,35
20,38
20,51
20,101
20,43
20,78
103,11
103,19
103,29
103,35
103,51
103,101
32,11
32,19
32,29
32,35
32,51
86,11
86,19
86,29
86,35
86,51
18,11
18,101
18,33
18,43
18,38
18,35
18,78
18,36
18,93
18,29
52,11
52,29
52,35
52,51
52,101
94,11
94,19
94,29
94,51
84,11
84,13
84,33
84,35
84,38
84,101
84,43
84,78
84,36
84,93
87,11
87,19
87,29
87,35
87,101
67,11
67,29
67,33
67,35
67,38
67,101
67,36
67,78
67,43
67,54
53,11
53,19
53,29
53,33
53,35
53,43
53,101
53,78
46,11
46,29
46,33
46,35
46,38
46,78
46,101
46,36
46,43
46,93
10,11
10,19
10,29
10,51
50,11
50,19
50,29
50,51
79,12
79,51
79,62
69,11
69,13
69,33
69,35
69,38
69,43
69,101
69,54
69,92
69,78
69,93
44,11
44,13
44,35
44,38
44,101
44,92
44,43
44,54
44,40
44,93
44,36
30,12
30,19
30,62
26,19
26,51
26,62
14,19
14,29
14,62
97,29
97,51
97,62
76,19
76,51
76,62
90,29
90,51
90,62
1,12
1,51
1,29
1,62
12,2
12,17
12,31
12,96
12,102
12,115
12,114
12,7
12,8
12,117
12,3
12,81
12,91
12,34
12,23
12,116
12,55
12,45
12,82
12,25
12,27
12,110
12,63
12,95
12,72
12,105
12,98
12,106
12,108
12,37
12,9
12,42
12,4
12,24
12,48
12,100
12,41
12,59
12,21
12,89
12,80
12,75
12,71
12,22
12,99
12,16
12,74
12,109
51,2
51,71
51,22
51,74
51,75
51,25
51,104
51,58
51,31
51,3
51,106
51,107
51,4
51,100
51,99
51,17
51,111
51,82
51,108
51,110
29,111
29,109
29,104
29,80
29,107
29,71
29,99
29,58
29,75
29,16
62,2
62,3
62,7
62,17
62,63
62,98
62,8
62,72
62,55
62,89
62,45
62,96
62,106
62,81
62,102
62,31
62,23
62,27
62,9
62,105
62,100
62,24
62,91
62,41
62,4
62,82
62,110
62,25
62,115
62,108
62,107
62,75
62,58
62,99
62,22
62,104
62,109
62,74
62,80
62,16
62,111
11,57
11,64
11,40
101,13
101,64
101,92
101,93
101,54
101,5
101,40
101,57
43,64
43,92
43,57
43,40
43,5
35,13
35,54
35,64
35,57
35,5
35,40
35,92
78,64
78,57
78,5
78,40
33,57
33,40
33,64
33,5
19,22
19,74
19,109
19,104
19,55
19,81
19,63
19,111
19,107
19,58
19,71
19,8
19,91
19,115
19,9
19,23
19,16
19,41
19,80
19,89
19,45
57,13
57,38
57,92
57,93
57,36
57,54
64,13
64,38
64,92
64,54
64,93
64,5
40,13
40,38
40,92
40,36
40,54
13,54
13,5
13,92
13,93
13,36
54,92
54,93
54,36
54,5
5,38
5,92
5,93
5,36
92,93
92,36
93,36
36,38
