node1,node2
57,90
57,39
90,21
90,79
90,88
90,93
90,102
39,72
39,101
39,28
39,112
39,30
59,11
59,66
11,45
11,24
11,60
11,17
66,115
66,108
66,22
66,79
66,71
48,3
48,49
48,35
3,15
3,94
3,65
49,110
49,95
49,87
35,40
35,98
35,83
44,47
44,91
44,58
44,62
44,107
44,2
44,86
47,76
91,113
58,4
62,41
107,16
2,41
86,16
25,33
25,92
25,84
25,67
25,116
33,69
92,113
84,10
67,10
116,69
16,32
16,101
16,21
16,88
27,94
27,15
27,42
27,64
94,103
15,99
42,6
42,5
64,6
64,104
0,41
0,114
41,109
41,112
41,1
114,19
114,71
114,1
114,40
115,4
4,53
4,43
4,75
4,111
4,51
89,13
13,31
13,80
13,55
13,96
13,82
13,68
13,74
13,14
45,38
38,24
38,22
38,70
38,60
38,72
19,18
18,29
18,97
18,28
18,34
63,61
63,6
63,8
61,98
61,73
61,85
6,7
8,110
8,73
8,87
37,117
37,56
117,81
117,78
117,93
117,97
56,110
56,46
56,23
56,17
52,65
52,83
52,73
52,36
65,50
83,50
36,54
36,106
70,76
46,69
69,53
69,12
7,103
7,99
108,10
81,10
10,74
10,109
10,34
10,111
99,5
99,20
87,50
76,77
76,29
76,102
40,104
32,113
113,30
113,75
77,26
26,78
26,14
26,12
26,105
104,95
104,20
95,5
20,50
5,9
103,100
103,98
100,54
100,9
105,106
43,106
106,23
106,51
9,85
9,54
85,54
0,60
0,113
0,77
0,73
0,56
0,65
0,49
0,112
0,68
0,66
0,85
0,15
0,6
0,88
0,28
0,83
0,61
0,70
0,47
0,39
0,20
0,103
0,32
0,86
0,18
0,52
0,94
0,84
0,87
0,67
0,53
0,46
0,10
0,50
0,79
0,69
0,44
0,30
0,26
0,14
0,97
0,76
0,90
60,11
60,19
60,29
60,33
60,35
60,101
60,43
60,78
113,11
113,19
113,29
113,51
77,19
77,29
77,35
77,51
73,11
73,19
73,29
73,51
56,11
56,29
56,33
56,35
56,38
56,93
56,101
56,43
56,36
56,78
65,11
65,29
65,33
65,35
65,51
65,43
65,101
49,11
49,19
49,29
49,35
49,51
49,101
112,19
112,29
112,35
112,51
68,11
68,13
68,29
68,33
68,35
68,38
68,43
68,101
68,36
68,78
66,11
66,19
66,29
66,33
66,35
66,101
66,43
85,11
85,19
85,29
85,33
85,35
85,51
85,101
85,43
15,11
15,35
15,43
15,101
15,33
15,29
15,78
15,38
15,51
6,11
6,29
6,101
6,43
6,35
6,78
6,33
6,19
6,51
88,11
88,19
88,29
88,33
88,35
88,38
88,43
88,101
88,78
28,11
28,19
28,29
28,51
83,11
83,19
83,29
83,35
83,51
83,101
61,11
61,19
61,29
61,33
61,35
61,51
61,43
61,101
70,11
70,29
70,33
70,35
70,38
70,43
70,101
70,78
70,36
70,93
47,11
47,19
47,29
47,51
39,11
39,19
39,29
39,35
39,51
39,101
20,11
20,29
20,33
20,35
20,38
20,51
20,101
20,43
20,78
103,11
103,19
103,29
103,35
103,51
103,101
32,11
32,19
32,29
32,35
32,51
86,11
86,19
86,29
86,35
86,51
18,11
18,101
18,33
18,43
18,38
18,35
18,78
18,36
18,93
18,29
52,11
52,29
52,35
52,51
52,101
94,11
94,19
94,29
94,51
84,11
84,13
84,33
84,35
84,38
84,101
84,43
84,78
84,36
84,93
87,11
87,19
87,29
87,35
87,101
67,11
67,29
67,33
67,35
67,38
67,101
67,36
67,78
67,43
67,54
53,11
53,19
53,29
53,33
53,35
53,43
53,101
53,78
46,11
46,29
46,33
46,35
46,38
46,78
46,101
46,36
46,43
46,93
10,11
10,19
10,29
10,51
50,11
50,19
50,29
50,51
79,12
79,51
79,62
69,11
69,13
69,33
69,35
69,38
69,43
69,101
69,54
69,92
69,78
69,93
44,11
44,13
44,35
44,38
44,101
44,92
44,43
44,54
44,40
44,93
44,36
30,12
30,19
30,62
26,19
26,51
26,62
14,19
14,29
14,62
97,29
97,51
97,62
76,19
76,51
76,62
90,29
90,51
90,62
1,12
1,51
1,29
1,62
12,2
12,17
12,31
12,96
12,102
12,115
12,114
12,7
12,8
12,117
12,3
12,81
12,91
12,34
12,23
12,116
12,55
12,45
12,82
12,25
12,27
12,110
12,63
12,95
12,72
12,105
12,98
12,106
12,108
12,37
12,9
12,42
12,4
12,24
12,48
12,100
12,41
12,59
12,21
12,89
12,80
12,75
12,71
12,22
12,99
12,16
12,74
12,109
51,2
51,71
51,22
51,74
51,75
51,25
51,104
51,58
51,31
51,3
51,106
51,107
51,4
51,100
51,99
51,17
51,111
51,82
51,108
51,110
29,111
29,109
29,104
29,80
29,107
29,71
29,99
29,58
29,75
29,16
62,2
62,3
62,7
62,17
62,63
62,98
62,8
62,72
62,55
62,89
62,45
62,96
62,106
62,81
62,102
62,31
62,23
62,27
62,9
62,105
62,100
62,24
62,91
62,41
62,4
62,82
62,110
62,25
62,115
62,108
62,107
62,75
62,58
62,99
62,22
62,104
62,109
62,74
62,80
62,16
62,111
11,57
11,64
11,40
101,13
101,64
101,92
101,93
101,54
101,5
101,40
101,57
43,64
43,92
43,57
43,40
43,5
35,13
35,54
35,64
35,57
35,5
35,40
35,92
78,64
78,57
78,5
78,40
33,57
33,40
33,64
33,5
19,22
19,74
19,109
19,104
19,55
19,81
19,63
19,111
19,107
19,58
19,71
19,8
19,91
19,115
19,9
19,23
19,16
19,41
19,80
19,89
19,45
57,13
57,38
57,92
57,93
57,36
57,54
64,13
64,38
64,92
64,54
64,93
64,5
40,13
40,38
40,92
40,36
40,54
13,54
13,5
13,92
13,93
13,36
54,92
54,93
54,36
54,5
5,38
5,92
5,93
5,36
92,93
92,36
93,36
36,38
