node1,node2
34,103
34,9
103,108
9,79
49,70
49,85
70,54
85,11
46,47
46,77
46,87
47,39
47,104
77,84
77,109
87,16
87,61
106,35
106,12
106,76
106,42
106,75
106,13
106,10
35,10
35,75
35,76
35,13
35,12
35,67
12,42
12,10
12,75
12,76
12,5
12,67
76,42
76,10
76,75
76,13
76,5
76,67
42,67
42,75
42,10
75,5
13,10
13,5
13,67
110,86
110,94
110,37
110,99
110,88
86,18
86,99
86,94
86,107
94,88
94,15
94,22
37,88
37,56
37,15
37,5
99,55
99,107
99,56
88,56
88,55
14,60
14,30
60,41
30,52
95,80
95,61
95,8
95,45
80,23
80,61
80,58
61,23
8,18
8,27
8,2
45,23
45,92
45,27
111,24
111,83
24,53
83,91
48,26
48,51
26,115
51,93
6,65
6,105
65,72
105,39
105,25
59,93
59,73
73,112
16,0
16,82
0,78
0,62
82,89
82,91
44,98
44,20
98,101
115,81
23,32
58,29
58,50
58,96
63,62
67,5
11,17
89,100
89,39
56,15
56,22
55,50
55,22
55,107
92,32
92,90
92,18
27,29
27,96
69,72
69,33
33,97
101,1
101,78
1,104
1,25
104,21
25,19
32,90
32,29
90,50
90,96
18,96
53,113
15,107
15,22
64,113
64,36
36,66
54,68
68,52
74,57
74,4
57,109
31,116
31,7
116,71
7,38
29,50
78,21
84,100
84,21
100,2
108,71
107,22
97,102
17,117
117,114
19,3
38,40
40,28
3,114
2,28
112,43
66,43
0,6
0,11
0,12
0,13
0,15
0,18
0,19
0,29
0,33
0,35
0,38
0,44
0,46
0,51
0,53
0,61
0,62
0,64
0,68
0,69
0,70
0,84
0,85
0,88
0,92
0,93
0,101
0,54
0,40
0,43
0,65
0,36
0,57
0,78
0,5
0,66
0,20
0,56
0,60
0,67
0,49
0,83
0,103
6,12
6,51
6,19
6,62
6,35
6,29
6,11
6,88
6,56
11,12
11,19
11,29
11,33
11,35
11,36
11,38
11,43
11,44
11,51
11,54
11,56
11,57
11,62
11,67
11,68
11,70
11,88
11,78
11,101
11,93
11,13
11,5
11,84
11,92
11,46
11,69
11,64
11,40
11,18
11,20
11,15
11,61
11,53
11,60
12,5
12,13
12,15
12,18
12,19
12,29
12,33
12,35
12,38
12,43
12,46
12,51
12,53
12,56
12,60
12,61
12,62
12,64
12,65
12,68
12,69
12,70
12,88
12,92
12,93
12,101
12,78
12,36
12,57
12,40
12,84
12,54
12,83
12,67
12,103
12,39
12,20
12,44
12,66
12,87
12,32
12,85
12,49
12,52
12,86
12,77
12,113
12,50
13,33
13,35
13,19
13,101
13,29
13,62
13,51
13,78
13,36
13,43
13,38
15,29
15,62
15,19
15,51
15,35
15,101
15,20
18,29
18,62
18,19
18,101
18,51
18,35
18,84
18,67
19,20
19,29
19,33
19,35
19,36
19,39
19,43
19,44
19,46
19,51
19,53
19,54
19,61
19,62
19,64
19,66
19,67
19,70
19,83
19,84
19,92
19,93
19,101
19,78
19,68
19,85
19,38
19,5
19,40
19,57
19,56
19,69
19,88
19,49
19,60
19,103
19,65
19,86
19,52
19,87
19,32
29,33
29,35
29,38
29,43
29,51
29,56
29,60
29,62
29,64
29,66
29,67
29,68
29,69
29,70
29,84
29,85
29,88
29,92
29,93
29,101
29,78
29,5
29,20
29,57
29,49
29,36
29,44
29,40
29,54
29,53
29,46
29,65
29,39
29,83
29,61
29,103
29,52
29,32
29,87
33,35
33,51
33,62
33,93
33,78
33,101
33,43
33,92
33,54
33,38
33,36
33,69
33,44
33,40
33,5
33,64
35,38
35,43
35,44
35,51
35,62
35,64
35,68
35,69
35,93
35,101
35,78
35,40
35,36
35,54
35,92
35,88
35,57
35,60
35,5
35,46
35,67
35,70
35,20
35,84
35,56
35,85
38,43
38,62
38,101
38,51
38,78
38,93
38,36
38,54
38,92
44,43
44,51
44,62
44,101
44,57
46,51
46,62
46,101
46,68
46,84
51,39
51,43
51,53
51,56
51,60
51,61
51,62
51,64
51,65
51,66
51,67
51,68
51,69
51,70
51,88
51,92
51,101
51,36
51,78
51,40
51,54
