node1,node2
0,60
0,113
0,77
0,73
0,56
0,65
0,49
0,112
0,68
0,66
0,85
0,15
0,6
0,88
0,28
0,83
0,61
0,70
0,47
0,39
0,20
0,103
0,32
0,86
0,18
0,52
0,94
0,84
0,87
0,67
0,53
0,46
0,10
0,50
0,79
0,69
0,44
0,30
0,26
0,14
0,97
0,76
0,90
1,12
1,51
1,29
1,62
2,12
2,62
2,51
6,11
6,29
6,101
6,43
6,35
6,78
6,33
6,19
6,51
11,49
11,66
11,88
11,73
11,85
11,70
11,61
11,68
11,56
11,18
11,83
11,15
11,84
11,20
11,39
11,60
11,103
11,32
11,53
11,86
11,67
11,65
11,46
11,87
11,52
11,57
11,64
11,10
11,40
11,94
11,113
11,69
11,47
11,50
11,44
11,28
12,17
12,31
12,96
12,102
12,115
12,114
12,7
12,8
12,117
12,3
12,81
12,91
12,34
12,23
12,116
12,55
12,45
12,82
12,25
12,27
12,110
12,63
12,95
12,72
12,105
12,98
12,106
12,108
12,37
12,9
12,42
12,4
12,24
12,48
12,100
12,41
12,59
12,21
12,89
12,80
12,75
12,71
12,22
12,30
12,99
12,79
12,16
12,74
12,109
13,54
13,5
13,101
13,92
13,93
13,69
13,36
13,35
13,44
13,57
13,40
13,64
13,84
13,68
15,35
15,43
15,101
15,33
15,29
15,78
15,38
15,51
18,101
18,33
18,43
18,38
18,35
18,78
18,36
18,93
18,29
19,103
19,39
19,49
19,83
19,77
19,10
19,113
19,73
19,94
19,47
19,50
19,28
19,112
19,61
19,85
19,32
19,22
19,74
19,109
19,60
19,104
19,55
19,81
19,63
19,111
19,88
19,30
19,107
19,86
19,58
19,71
19,87
19,8
19,91
19,115
19,9
19,66
19,23
19,26
19,14
19,16
19,41
19,80
19,53
19,89
19,76
19,45
29,85
29,60
29,39
29,32
29,65
29,61
29,28
29,10
29,53
29,83
29,66
29,49
29,56
29,94
29,20
29,88
29,77
29,87
29,112
29,86
29,113
29,103
29,47
29,73
29,50
29,52
29,46
29,70
29,67
29,111
29,109
29,68
29,14
29,104
29,80
29,107
29,71
29,99
29,58
29,97
29,90
29,75
29,16
33,61
33,84
33,60
33,67
33,70
33,46
33,85
33,20
33,68
33,88
33,66
33,53
33,56
33,65
33,57
33,40
33,64
33,69
33,5
35,46
35,66
35,85
35,60
35,61
35,32
35,49
35,88
35,65
35,53
35,54
35,70
35,20
35,56
35,69
35,39
35,68
35,64
35,84
35,57
35,5
35,83
35,44
35,86
35,67
35,103
35,87
35,40
35,52
35,92
35,112
35,77
38,46
38,67
38,70
38,36
38,68
38,56
38,84
38,69
38,88
38,57
38,20
38,40
38,64
38,5
38,44
39,51
39,101
44,101
44,92
44,43
44,54
44,40
44,93
44,36
46,78
46,101
46,36
46,43
46,93
50,51
51,49
51,77
51,103
51,83
51,10
51,73
51,113
51,94
51,47
51,28
51,112
51,61
51,85
51,71
51,22
51,74
51,75
51,32
51,25
51,104
51,58
51,52
51,31
51,90
51,20
51,86
51,3
51,26
51,106
51,65
51,107
51,4
51,100
51,79
51,99
51,97
51,17
51,111
51,82
51,108
51,76
51,110
53,43
53,101
53,78
61,43
61,101
62,3
62,7
62,17
62,63
62,98
62,8
62,72
62,55
62,89
62,45
62,96
62,106
62,81
62,102
62,31
62,23
62,27
62,9
62,105
62,100
62,24
62,91
62,41
62,4
62,82
62,110
62,25
62,115
62,108
62,26
62,14
62,107
62,75
62,58
62,99
62,22
62,79
62,104
62,109
62,76
62,74
62,30
62,80
62,16
62,90
62,111
62,97
64,92
64,101
64,54
64,43
64,93
64,5
64,78
65,43
65,101
67,101
67,36
67,78
67,43
67,54
68,43
68,101
68,36
68,78
69,43
69,101
69,54
69,92
69,78
69,93
70,43
70,101
70,78
70,36
70,93
83,101
84,101
84,43
84,78
84,36
84,93
85,101
85,43
87,101
88,43
88,101
88,78
92,54
92,101
92,57
92,93
92,5
92,40
92,43
92,36
93,54
93,101
93,36
93,5
93,57
93,56
101,20
101,103
101,66
101,56
101,60
101,54
101,5
101,40
101,57
101,49
101,52
43,66
43,56
43,20
43,60
43,57
43,40
43,5
20,78
36,56
36,5
36,57
36,54
36,40
54,5
54,40
54,57
56,78
57,78
60,78
5,78
40,78
