node1,node2
0,113
0,98
1,108
1,25
2,44
2,105
2,41
11,79
11,99
11,48
11,16
11,68
11,58
11,36
4,84
4,53
4,31
4,74
4,14
6,71
6,90
10,29
10,67
10,60
10,18
13,19
13,66
15,35
15,85
116,71
3,101
3,70
5,32
5,117
7,46
7,37
7,41
12,17
12,86
8,115
8,35
29,61
29,67
29,88
9,96
16,48
16,91
16,99
16,68
16,36
25,38
37,45
37,34
14,53
14,55
14,93
14,31
32,85
18,61
18,33
18,64
36,48
36,99
36,79
36,58
112,27
112,73
17,24
30,50
30,63
30,24
33,22
33,102
33,26
19,75
31,55
31,69
31,76
28,62
28,97
42,51
42,108
20,87
20,111
21,89
21,100
22,102
22,61
22,39
24,82
23,105
23,81
23,103
26,109
26,60
26,84
113,106
69,53
69,55
69,104
69,95
68,48
68,99
68,79
68,76
73,40
74,93
74,104
74,84
74,55
70,59
70,63
114,87
114,105
27,101
64,39
64,109
64,60
34,66
38,43
39,65
39,88
43,52
40,72
41,67
63,57
65,102
65,88
65,93
67,61
48,99
48,58
48,79
48,76
48,91
44,59
44,50
46,82
46,96
47,100
47,83
49,89
49,106
50,103
53,95
53,84
45,81
45,59
76,99
76,58
76,91
56,57
56,80
51,77
52,80
58,91
58,79
54,81
54,78
54,60
55,95
62,75
79,99
79,91
117,107
77,90
78,83
97,92
98,110
95,104
95,93
82,103
99,91
93,104
94,107
94,92
84,104
88,109
102,109
