node1,node2
0,1
0,2
1,11
2,11
2,4
11,6
11,10
11,13
11,15
11,116
4,3
4,10
4,5
4,7
6,5
10,3
10,12
13,14
15,16
7,8
7,29
12,14
8,9
29,16
29,25
29,37
16,14
16,112
16,17
16,30
25,24
37,36
37,64
14,32
14,18
32,36
18,17
18,33
18,19
36,33
36,34
36,38
36,39
112,31
30,28
30,31
33,35
33,42
19,20
31,22
31,26
31,113
28,27
35,34
42,43
20,21
21,22
22,24
22,23
24,26
23,69
23,71
26,114
26,27
113,114
69,68
69,73
69,74
69,70
71,70
68,48
68,46
68,67
68,74
68,76
73,74
74,76
74,117
70,72
64,63
64,65
64,67
38,39
39,40
39,41
43,44
40,41
41,48
63,60
63,62
65,48
65,61
65,66
67,80
67,115
48,44
48,46
48,47
48,49
48,50
48,53
44,45
46,45
47,45
49,56
50,57
50,51
53,52
53,58
53,54
53,55
76,75
76,77
76,79
76,81
61,59
61,60
61,66
56,55
57,55
51,52
58,54
58,55
58,59
58,60
58,62
54,55
59,60
80,79
79,78
79,96
79,97
79,98
79,95
117,75
77,78
81,82
81,95
96,95
97,99
98,99
95,93
95,94
82,83
82,84
99,91
99,93
99,100
99,102
99,103
99,105
93,91
93,92
93,94
83,84
84,88
84,85
84,87
88,87
88,89
88,91
85,86
89,90
91,90
91,101
91,92
101,100
102,104
102,109
102,103
103,104
105,104
105,106
104,106
104,107
109,108
109,110
109,111
107,108
0,1
0,2
0,6
0,11
0,12
0,13
0,15
0,18
0,19
0,29
0,33
0,35
0,38
0,39
0,44
0,46
0,50
0,51
0,53
0,61
0,62
0,64
0,65
0,67
0,68
0,69
0,70
0,71
0,73
0,83
0,84
0,85
0,86
0,87
0,88
0,92
0,93
0,94
0,100
0,101
0,103
0,112
0,115
1,51
1,19
1,43
2,19
2,101
6,33
6,35
6,101
6,51
6,11
6,12
6,19
6,29
6,62
11,8
11,12
11,13
11,15
11,18
11,19
11,20
11,29
11,33
11,35
11,36
11,38
11,43
11,44
11,46
11,49
11,51
11,54
11,56
11,57
11,60
11,61
11,62
11,64
11,66
11,67
11,68
11,69
11,70
11,76
11,85
11,87
11,88
11,93
11,103
12,4
12,5
12,8
12,9
12,10
12,13
12,14
12,15
12,16
12,17
12,18
12,19
12,28
12,29
12,31
12,33
12,35
12,38
12,41
12,43
12,44
12,46
12,51
12,52
12,53
12,56
12,60
12,61
12,62
12,64
12,65
12,68
12,69
12,70
12,73
12,77
12,84
12,87
12,88
12,92
12,93
12,96
12,97
12,101
12,102
12,103
12,108
12,115
13,5
13,33
13,35
13,38
13,43
13,18
13,19
13,101
13,29
13,62
13,51
15,33
15,35
15,38
15,51
15,21
15,29
15,62
18,5
18,33
18,38
18,103
18,51
18,29
18,62
19,17
19,20
19,23
19,24
19,28
19,29
19,33
19,35
19,36
19,39
19,43
19,44
19,46
19,51
19,52
19,53
19,54
19,60
19,61
19,62
19,63
19,64
19,65
19,66
19,67
19,69
19,70
19,73
19,82
19,83
19,84
19,86
19,87
19,91
19,92
19,93
19,97
19,101
19,106
19,107
19,109
29,3
29,25
29,28
29,33
29,35
29,37
29,38
29,43
29,44
29,46
29,49
29,51
29,56
29,60
29,61
29,62
29,64
29,66
29,67
29,68
29,69
29,70
29,71
29,73
29,74
29,79
29,83
29,84
29,85
29,88
29,91
29,92
29,93
29,100
29,101
29,102
29,103
29,104
29,107
33,35
33,38
33,44
33,46
33,51
33,60
33,62
33,67
33,68
33,69
33,70
33,88
33,93
35,8
35,9
35,38
35,43
35,44
35,46
35,49
35,51
35,56
35,61
35,62
35,64
35,66
35,67
35,68
35,69
35,70
35,74
35,83
35,84
35,85
35,86
35,87
35,88
35,93
35,101
35,103
38,36
38,44
38,88
38,85
38,43
38,56
38,79
38,62
39,32
39,69
39,51
39,55
39,62
44,43
44,51
44,62
44,101
46,101
46,51
46,47
46,62
50,40
50,76
50,78
50,62
51,3
51,4
51,43
51,49
51,52
51,53
51,56
51,60
51,61
51,62
51,63
51,64
51,65
51,66
51,67
51,68
51,69
51,70
51,72
51,77
51,84
51,85
51,87
51,88
51,89
51,92
51,94
51,97
51,101
51,103
51,105
51,107
51,108
53,43
53,101
53,78
53,57
53,62
61,43
61,101
62,3
62,4
62,7
62,10
62,14
62,16
62,17
62,28
62,31
62,43
62,49
62,60
62,63
62,64
62,65
62,66
62,67
62,69
62,70
62,71
62,73
62,76
62,84
62,88
62,91
62,92
62,93
62,94
62,95
62,101
62,109
64,9
64,43
64,101
64,83
65,43
65,60
65,101
67,41
67,43
67,101
68,20
68,43
68,81
68,78
69,82
69,94
70,43
70,101
71,101
83,101
83,104
84,43
84,80
84,101
84,106
85,10
85,43
85,93
86,101
86,105
86,106
88,90
92,5
92,16
92,22
92,26
92,45
92,111
92,101
93,43
93,72
93,82
93,89
93,101
93,104
94,101
100,101
101,48
101,54
101,56
101,66
101,74
101,107
101,108
112,14
112,36
112,78
112,110
115,5
43,49
43,56
43,66
20,32
20,36
20,40
20,45
20,52
20,54
20,57
36,30
36,32
36,42
36,75
36,76
36,109
36,47
36,54
36,55
36,56
36,57
49,41
54,27
54,32
54,99
54,77
54,78
54,59
54,55
54,57
56,40
56,78
57,26
57,47
57,99
57,75
57,109
57,110
57,81
60,97
5,96
5,7
5,10
5,114
5,116
5,117
5,74
10,28
14,98
16,25
31,113
52,78
52,79
77,40
77,78
23,104
23,90
24,90
25,90
79,34
32,40
32,78
47,40
47,78
40,22
40,30
40,75
40,78
40,80
40,58
78,22
78,30
78,58
78,75
78,80
78,99
78,111
89,58
81,110
80,111
22,113
26,113
26,27
45,113
111,58
30,99
98,113
