node1,node2
0,1
0,2
1,11
2,11
2,4
11,6
11,10
11,13
11,15
11,116
4,3
4,10
4,5
4,7
6,5
10,3
10,12
13,14
15,16
7,8
7,29
12,14
8,9
29,16
29,25
29,37
16,14
16,112
16,17
16,30
25,24
37,36
37,64
14,32
14,18
32,36
18,17
18,33
18,19
36,33
36,34
36,38
36,39
112,31
30,28
30,31
33,35
33,42
19,20
31,22
31,26
31,113
28,27
35,34
42,43
20,21
21,22
22,24
22,23
24,26
23,69
23,71
26,114
26,27
113,114
69,68
69,73
69,74
69,70
71,70
68,48
68,46
68,67
68,74
68,76
73,74
74,76
74,117
70,72
64,63
64,65
64,67
38,39
39,40
39,41
43,44
40,41
41,48
63,60
63,62
65,48
65,61
65,66
67,80
67,115
48,44
48,46
48,47
48,49
48,50
48,53
44,45
46,45
47,45
49,56
50,57
50,51
53,52
53,58
53,54
53,55
76,75
76,77
76,79
76,81
61,59
61,60
61,66
56,55
57,55
51,52
58,54
58,55
58,59
58,60
58,62
54,55
59,60
80,79
79,78
79,96
79,97
79,98
79,95
117,75
77,78
81,82
81,95
96,95
97,99
98,99
95,93
95,94
82,83
82,84
99,91
99,93
99,100
99,102
99,103
99,105
93,91
93,92
93,94
83,84
84,88
84,85
84,87
88,87
88,89
88,91
85,86
89,90
91,90
91,101
91,92
101,100
102,104
102,109
102,103
103,104
105,104
105,106
104,106
104,107
109,108
109,110
109,111
107,108
0,6
0,11
0,12
0,13
0,15
0,18
0,19
0,29
0,33
0,35
0,38
0,44
0,46
0,51
0,53
0,61
0,62
0,64
0,68
0,69
0,70
0,84
0,85
0,88
0,92
0,93
0,101
0,54
0,40
0,43
0,65
0,36
0,57
0,78
0,5
0,66
0,20
0,56
0,60
0,67
0,49
0,83
0,103
1,99
1,74
1,71
1,77
2,3
2,104
2,75
6,12
6,51
6,19
6,62
6,35
6,29
6,11
6,88
6,56
11,12
11,19
11,29
11,33
11,35
11,36
11,38
11,43
11,44
11,51
11,54
11,56
11,57
11,62
11,67
11,68
11,70
11,88
11,78
11,101
11,93
11,13
11,5
11,84
11,92
11,46
11,69
11,64
11,40
11,18
11,20
11,15
11,61
11,53
11,60
12,5
12,13
12,15
12,18
12,19
12,29
12,33
12,35
12,38
12,43
12,46
12,51
12,53
12,56
12,60
12,61
12,62
12,64
12,65
12,68
12,69
12,70
12,88
12,92
12,93
12,101
12,78
12,36
12,57
12,40
12,84
12,54
12,83
12,67
12,103
12,39
12,20
12,44
12,66
12,87
12,32
12,85
12,49
12,52
12,86
12,77
12,113
12,50
13,33
13,35
13,19
13,101
13,29
13,62
13,51
13,78
13,36
13,43
13,38
15,29
15,62
15,19
15,51
15,35
15,101
15,20
18,29
18,62
18,19
18,101
18,51
18,35
18,84
18,67
19,20
19,29
19,33
19,35
19,36
19,39
19,43
19,44
19,46
19,51
19,53
19,54
19,61
19,62
19,64
19,66
19,67
19,70
19,83
19,84
19,92
19,93
19,101
19,78
19,68
19,85
19,38
19,5
19,40
19,57
19,56
19,69
19,88
19,49
19,60
19,103
19,65
19,86
19,52
19,87
19,32
29,33
29,35
29,38
29,43
29,51
29,56
29,60
29,62
29,64
29,66
29,67
29,68
29,69
29,70
29,84
29,85
29,88
29,92
29,93
29,101
29,78
29,5
29,20
29,57
29,49
29,36
29,44
29,40
29,54
29,53
29,46
29,65
29,39
29,83
29,61
29,103
29,52
29,32
29,87
33,35
33,51
33,62
33,93
33,78
33,101
33,43
33,92
33,54
33,38
33,36
33,69
33,44
33,40
33,5
33,64
35,38
35,43
35,44
35,51
35,62
35,64
35,68
35,69
35,93
35,101
35,78
35,40
35,36
35,54
35,92
35,88
35,57
35,60
35,5
35,46
35,67
35,70
35,20
35,84
35,56
35,85
38,43
38,62
38,101
38,51
38,78
38,93
38,36
38,54
38,92
39,51
39,62
39,103
39,83
44,43
44,51
44,62
44,101
44,57
46,51
46,62
46,101
46,68
46,84
50,77
50,10
50,112
50,94
51,43
51,53
51,56
51,60
51,61
51,62
51,64
51,65
51,66
51,67
51,68
51,69
51,70
51,88
51,92
51,101
51,36
51,78
51,40
51,54
51,93
51,57
51,84
51,20
51,5
51,49
51,103
51,85
51,83
51,87
51,52
51,112
51,86
53,62
53,65
53,61
61,62
61,85
62,43
62,60
62,64
62,66
62,67
62,84
62,92
62,93
62,101
62,5
62,54
62,36
62,20
62,57
62,78
62,85
62,68
62,40
62,69
62,70
62,83
62,49
62,52
62,86
62,65
62,56
62,88
62,87
62,103
62,32
62,28
64,101
64,43
64,57
65,66
67,101
67,70
68,101
68,43
69,101
69,43
69,78
70,101
70,56
71,107
71,16
71,75
73,28
73,77
73,10
73,113
73,47
84,101
85,60
86,32
86,52
87,32
88,101
92,101
92,43
92,36
93,43
93,101
93,78
93,36
93,40
94,112
94,10
94,113
94,47
100,115
100,17
100,72
101,54
101,78
101,40
101,43
101,36
101,5
101,56
101,57
101,20
112,113
112,47
115,81
115,8
43,36
43,78
43,54
43,40
43,57
43,5
8,82
8,114
36,78
49,66
54,78
76,109
76,97
76,99
76,30
4,45
4,81
4,96
5,78
9,82
9,110
9,63
10,47
10,28
14,90
14,26
14,58
14,22
16,74
16,90
16,79
17,25
17,108
28,77
28,30
31,82
31,23
31,116
41,110
41,45
41,25
96,21
97,109
97,74
97,26
102,95
102,23
108,55
108,106
23,91
24,91
24,34
63,106
63,89
91,27
106,81
107,79
107,58
107,111
109,75
109,79
3,55
3,89
25,105
37,7
74,104
79,111
104,30
104,58
55,98
47,113
72,59
89,7
105,42
80,75
80,58
80,22
80,99
90,99
90,26
22,111
22,30
26,111
45,110
48,98
117,27
