node1,node2
0,1
0,2
1,11
2,11
2,4
11,6
11,10
11,13
11,15
11,116
4,3
4,10
4,5
4,7
3,10
10,12
5,6
7,8
7,29
8,9
29,16
29,25
29,37
12,14
13,14
15,16
14,32
14,16
14,18
32,36
16,112
16,17
16,30
18,17
18,33
18,19
112,31
30,28
30,31
33,35
33,36
33,42
19,20
20,21
21,22
22,24
22,31
22,23
24,25
24,26
31,26
31,113
23,69
23,71
69,68
69,73
69,74
69,70
71,70
26,114
26,27
114,113
27,28
37,36
37,64
36,34
36,38
36,39
35,34
42,43
38,39
39,40
39,41
64,63
64,65
64,67
40,41
41,48
48,44
48,46
48,47
48,65
48,68
48,49
48,50
48,53
43,44
44,45
45,46
45,47
46,68
68,67
68,74
68,76
65,61
65,66
49,56
50,57
50,51
53,52
53,58
53,54
53,55
56,55
57,55
51,52
58,54
58,55
58,59
58,60
58,62
54,55
59,60
59,61
60,61
60,63
62,63
61,66
67,80
67,115
80,79
74,73
74,76
74,117
76,75
76,77
76,79
76,81
70,72
117,75
77,78
79,78
79,96
79,97
79,98
79,95
81,82
81,95
96,95
97,99
98,99
95,93
95,94
82,83
82,84
83,84
84,88
84,85
84,87
88,87
88,89
88,91
85,86
89,90
91,90
91,99
91,101
91,92
91,93
99,93
99,100
99,102
99,103
99,105
101,100
92,93
93,94
102,104
102,109
102,103
103,104
105,104
105,106
104,106
104,107
109,108
109,110
109,111
107,108
