node1,node2
101,15
101,22
15,21
22,21
22,24
21,6
21,31
21,60
21,18
21,29
24,113
24,31
24,5
24,26
6,5
31,113
31,54
60,102
18,116
26,99
26,82
54,102
99,0
82,116
82,84
82,111
116,102
116,67
116,46
116,30
84,1
111,59
111,4
102,32
102,55
32,59
55,46
55,110
55,36
59,110
59,73
59,13
59,115
67,96
30,28
30,96
110,38
110,88
36,20
96,106
96,9
96,93
28,70
38,73
88,43
20,86
86,106
106,1
106,16
1,9
16,105
16,71
9,65
9,70
93,65
105,114
105,39
105,7
105,3
71,3
114,48
114,104
114,25
114,7
114,117
39,7
7,117
7,44
3,19
4,109
4,17
4,25
13,115
115,40
115,45
43,14
40,45
45,48
109,89
109,33
17,48
17,41
17,66
25,80
25,51
48,14
48,104
48,47
48,49
48,90
48,72
14,75
104,75
47,75
49,56
90,57
90,35
72,52
72,34
72,74
72,91
117,64
117,77
117,42
117,81
41,76
41,89
41,66
56,91
57,91
35,52
34,74
34,91
34,76
34,89
34,33
74,91
76,89
80,42
42,78
42,85
42,97
42,10
42,98
44,64
77,78
81,58
81,98
85,98
97,37
10,37
98,23
98,103
58,83
58,8
37,95
37,23
37,112
37,100
37,108
37,107
23,95
23,92
23,103
83,8
8,63
8,68
8,87
63,87
63,69
63,95
68,12
69,50
95,50
95,79
95,92
79,112
100,27
100,2
100,108
108,27
107,27
107,61
27,61
27,94
2,53
2,62
2,11
94,53
