node1,node2
1110,1148869
1110,305959
1110,643444
1110,518683
1148869,747083
1148869,879850
1148869,470012
305959,1082927
305959,109570
305959,535750
643444,937070
643444,783661
643444,1006458
518683,721304
518683,1049864
518683,763575
77742,50329
50329,503523
486543,71147
486543,255571
486543,416126
486543,1099750
486543,134549
71147,1539249
71147,1177552
71147,1573885
71147,1426457
255571,114802
255571,565197
255571,665886
255571,1406682
416126,5065
416126,57166
416126,1450847
416126,159858
1099750,810837
1099750,800882
1099750,569509
1099750,536822
134549,739293
134549,1296060
134549,1016909
134549,775163
436502,1450897
436502,1319768
436502,1519498
436502,1207324
1450897,827609
1450897,515406
1450897,163653
1319768,1548892
1319768,1476386
1319768,326993
1519498,461118
1519498,1340752
1207324,162614
1207324,845633
33375,435965
33375,1538368
33375,450237
33375,1570634
435965,1184943
435965,1529238
435965,1234194
1538368,1182247
1538368,130421
1538368,758849
450237,1016611
450237,1177782
450237,942709
1570634,603547
1570634,723588
1197,1226348
1197,1148646
1197,1521623
1197,1001931
1226348,1508586
1226348,1410762
1226348,1575101
1148646,571176
1148646,1018764
1148646,232647
1521623,487924
1521623,1545708
1001931,1095542
1001931,1233619
330558,1368531
330558,1496246
330558,1042997
330558,1412656
1368531,879703
1368531,305390
1368531,291076
1496246,41833
1496246,123897
1042997,572763
1042997,1357719
1412656,649550
1412656,962571
709062,1351840
709062,512097
709062,733228
709062,816716
709062,77686
709062,1419451
709062,200352
709062,204906
709062,598288
709062,264496
709062,1200643
1351840,1114229
1351840,1419451
1351840,1061290
1351840,974891
1351840,606914
1351840,1174129
1351840,142897
1351840,1336876
1351840,1450792
1351840,1085972
512097,1069293
512097,723332
512097,974891
512097,578682
512097,116669
512097,1020009
512097,1026616
512097,585183
512097,124719
512097,205728
733228,744429
733228,1363869
733228,1085972
733228,161830
733228,88873
733228,201203
733228,1213450
733228,1008519
733228,1450792
733228,1078045
816716,288204
816716,465256
816716,1252123
816716,568723
816716,1294647
816716,135502
816716,159098
816716,320914
816716,1213450
816716,1213324
77686,1451863
77686,518400
77686,501804
77686,779194
77686,690938
77686,588611
77686,328069
77686,158850
77686,974042
77686,866781
77686,1561911
1419451,664552
1419451,116669
1419451,883275
1419451,150993
1419451,1368815
1419451,61169
1419451,1078045
1419451,310474
1419451,892441
200352,1114229
200352,484526
200352,744364
200352,1438224
200352,161830
200352,1367542
200352,606914
200352,471134
200352,71989
200352,289831
200352,866781
204906,613042
204906,368377
204906,332247
204906,978627
204906,137920
204906,705724
204906,645879
204906,720388
204906,1026616
598288,568723
598288,749341
598288,591707
598288,310191
598288,1429495
598288,260470
598288,1275839
598288,665369
598288,1326170
264496,163245
264496,501804
264496,853209
264496,536167
264496,891043
264496,1129606
264496,588611
264496,392739
264496,1387977
264496,899070
264496,866781
1200643,744429
1200643,1337126
1200643,1252123
1200643,1235926
1200643,88873
1200643,116669
1200643,201203
1200643,367269
1200643,1495218
1200643,99354
803811,490956
803811,1031404
803811,174520
490956,422140
1031404,93903
1031404,163279
1031404,812191
1398597,1010045
1398597,834825
1398597,736319
1398597,553053
1010045,1577781
1010045,238907
1010045,407385
834825,143970
834825,705839
834825,993481
834825,613914
736319,495137
736319,1141797
736319,277623
553053,1016377
553053,1400239
1335,1339474
1335,804991
1335,1499403
1335,580906
1335,1341525
1335,1033579
1335,499454
1335,443390
1335,781666
1335,567054
1335,284135
1335,976963
1335,1046888
1335,625243
1335,1348178
1335,1413579
1335,291095
1335,474656
1335,815213
1335,290801
1335,918409
1335,1481253
1335,46494
1335,395567
1335,535428
1335,175513
1335,996197
1335,75936
1335,1498726
1335,820906
1335,226854
1335,248505
1335,1192703
1335,588861
1339474,443390
1339474,798202
1339474,98626
1339474,269784
1339474,69099
1339474,226854
1339474,1203522
1339474,536808
1339474,368163
1339474,1579360
1339474,1234378
1339474,46494
1339474,733816
1339474,820906
1339474,1498726
1339474,75936
1339474,284135
1339474,1388111
1339474,693740
1339474,374025
1339474,781666
1339474,815213
1339474,670079
1339474,277913
1339474,499454
1339474,1129772
1339474,1156662
1339474,1551084
1339474,1053503
1339474,1348178
1339474,248505
1339474,588861
1339474,1558275
1339474,1192703
804991,111490
804991,134231
804991,98626
804991,269784
804991,1341525
804991,1499580
804991,69099
804991,395567
804991,329296
804991,291095
804991,1012885
804991,368163
804991,1481253
804991,1234820
804991,11854
804991,290801
804991,733816
804991,962111
804991,625243
804991,277913
804991,256671
804991,592526
804991,1482802
804991,670079
804991,623579
804991,1379246
804991,993232
804991,459610
804991,1388111
804991,1551084
804991,976963
804991,1396273
804991,535428
804991,820906
804991,801705
804991,1033579
804991,1498726
804991,732094
804991,1129772
804991,1558275
804991,1499403
804991,1192703
804991,588861
804991,1053503
804991,693740
804991,265970
804991,1413579
804991,1451178
804991,1236499
804991,248505
1499403,111490
1499403,134231
1499403,269784
1499403,1341525
1499403,1203522
1499403,329296
1499403,291095
1499403,368163
