network,node1,node2
1.0,1110,1148869
1.0,1110,305959
1.0,1110,643444
1.0,1110,518683
1.0,1148869,747083
1.0,1148869,879850
1.0,1148869,470012
1.0,305959,1082927
1.0,305959,109570
1.0,305959,535750
1.0,643444,937070
1.0,643444,783661
1.0,643444,1006458
1.0,518683,721304
1.0,518683,1049864
1.0,518683,763575
1.0,77742,50329
1.0,50329,503523
1.0,486543,71147
1.0,486543,255571
1.0,486543,416126
1.0,486543,1099750
1.0,486543,134549
1.0,71147,1539249
1.0,71147,1177552
1.0,71147,1573885
1.0,71147,1426457
1.0,255571,114802
1.0,255571,565197
1.0,255571,665886
1.0,255571,1406682
1.0,416126,5065
1.0,416126,57166
1.0,416126,1450847
1.0,416126,159858
1.0,1099750,810837
1.0,1099750,800882
1.0,1099750,569509
1.0,1099750,536822
1.0,134549,739293
1.0,134549,1296060
1.0,134549,1016909
1.0,134549,775163
1.0,436502,1450897
1.0,436502,1319768
1.0,436502,1519498
1.0,436502,1207324
1.0,1450897,827609
1.0,1450897,515406
1.0,1450897,163653
1.0,1319768,1548892
1.0,1319768,1476386
1.0,1319768,326993
1.0,1519498,461118
1.0,1519498,1340752
1.0,1207324,162614
1.0,1207324,845633
1.0,33375,435965
1.0,33375,1538368
1.0,33375,450237
1.0,33375,1570634
1.0,435965,1184943
1.0,435965,1529238
1.0,435965,1234194
1.0,1538368,1182247
1.0,1538368,130421
1.0,1538368,758849
1.0,450237,1016611
1.0,450237,1177782
1.0,450237,942709
1.0,1570634,603547
1.0,1570634,723588
1.0,1197,1226348
1.0,1197,1148646
1.0,1197,1521623
1.0,1197,1001931
1.0,1226348,1508586
1.0,1226348,1410762
1.0,1226348,1575101
1.0,1148646,571176
1.0,1148646,1018764
1.0,1148646,232647
1.0,1521623,487924
1.0,1521623,1545708
1.0,1001931,1095542
1.0,1001931,1233619
1.0,330558,1368531
1.0,330558,1496246
1.0,330558,1042997
1.0,330558,1412656
1.0,1368531,879703
1.0,1368531,305390
1.0,1368531,291076
1.0,1496246,41833
1.0,1496246,123897
1.0,1042997,572763
1.0,1042997,1357719
1.0,1412656,649550
1.0,1412656,962571
1.0,709062,1351840
1.0,709062,512097
1.0,709062,733228
1.0,709062,816716
1.0,709062,77686
1.0,709062,1419451
1.0,709062,200352
1.0,709062,204906
1.0,709062,598288
1.0,709062,264496
1.0,709062,1200643
1.0,1351840,1114229
1.0,1351840,1419451
1.0,1351840,1061290
1.0,1351840,974891
1.0,1351840,606914
1.0,1351840,1174129
1.0,1351840,142897
1.0,1351840,1336876
1.0,1351840,1450792
1.0,1351840,1085972
1.0,512097,1069293
1.0,512097,723332
1.0,512097,974891
1.0,512097,578682
1.0,512097,116669
1.0,512097,1020009
1.0,512097,1026616
1.0,512097,585183
1.0,512097,124719
1.0,512097,205728
1.0,733228,744429
1.0,733228,1363869
1.0,733228,1085972
1.0,733228,161830
1.0,733228,88873
1.0,733228,201203
1.0,733228,1213450
1.0,733228,1008519
1.0,733228,1450792
1.0,733228,1078045
1.0,816716,288204
1.0,816716,465256
1.0,816716,1252123
1.0,816716,568723
1.0,816716,1294647
1.0,816716,135502
1.0,816716,159098
1.0,816716,320914
1.0,816716,1213450
1.0,816716,1213324
1.0,77686,1451863
1.0,77686,518400
1.0,77686,501804
1.0,77686,779194
1.0,77686,690938
1.0,77686,588611
1.0,77686,328069
1.0,77686,158850
1.0,77686,974042
1.0,77686,866781
1.0,77686,1561911
1.0,1419451,664552
1.0,1419451,116669
1.0,1419451,883275
1.0,1419451,150993
1.0,1419451,1368815
1.0,1419451,61169
1.0,1419451,1078045
1.0,1419451,310474
1.0,1419451,892441
1.0,200352,1114229
1.0,200352,484526
1.0,200352,744364
1.0,200352,1438224
1.0,200352,161830
1.0,200352,1367542
1.0,200352,606914
1.0,200352,471134
1.0,200352,71989
1.0,200352,289831
1.0,200352,866781
1.0,204906,613042
1.0,204906,368377
1.0,204906,332247
1.0,204906,978627
1.0,204906,137920
1.0,204906,705724
1.0,204906,645879
1.0,204906,720388
1.0,204906,1026616
1.0,598288,568723
1.0,598288,749341
1.0,598288,591707
1.0,598288,310191
1.0,598288,1429495
1.0,598288,260470
1.0,598288,1275839
1.0,598288,665369
1.0,598288,1326170
1.0,264496,163245
1.0,264496,501804
1.0,264496,853209
1.0,264496,536167
1.0,264496,891043
1.0,264496,1129606
1.0,264496,588611
1.0,264496,392739
1.0,264496,1387977
1.0,264496,899070
1.0,264496,866781
1.0,1200643,744429
1.0,1200643,1337126
1.0,1200643,1252123
1.0,1200643,1235926
1.0,1200643,88873
1.0,1200643,116669
1.0,1200643,201203
1.0,1200643,367269
1.0,1200643,1495218
1.0,1200643,99354
1.0,803811,490956
1.0,803811,1031404
1.0,803811,174520
1.0,490956,422140
1.0,1031404,93903
1.0,1031404,163279
1.0,1031404,812191
1.0,1398597,1010045
1.0,1398597,834825
1.0,1398597,736319
1.0,1398597,553053
1.0,1010045,1577781
1.0,1010045,238907
1.0,1010045,407385
1.0,834825,143970
1.0,834825,705839
1.0,834825,993481
1.0,834825,613914
1.0,736319,495137
1.0,736319,1141797
1.0,736319,277623
1.0,553053,1016377
1.0,553053,1400239
1.0,1335,1339474
1.0,1335,804991
1.0,1335,1499403
1.0,1335,580906
1.0,1335,1341525
1.0,1335,1033579
1.0,1335,499454
1.0,1335,443390
1.0,1335,781666
1.0,1335,567054
1.0,1335,284135
1.0,1335,976963
1.0,1335,1046888
1.0,1335,625243
1.0,1335,1348178
1.0,1335,1413579
1.0,1335,291095
1.0,1335,474656
1.0,1335,815213
1.0,1335,290801
1.0,1335,918409
1.0,1335,1481253
1.0,1335,46494
1.0,1335,395567
1.0,1335,535428
1.0,1335,175513
1.0,1335,996197
1.0,1335,75936
1.0,1335,1498726
1.0,1335,820906
