node1,node2
1110,1476386
1110,1258429
1110,319557
1110,918573
1476386,330558
1476386,229624
1476386,1330050
1476386,965800
1476386,940608
1476386,1042805
1476386,305959
1476386,134739
1476386,37089
1476386,913054
1476386,841702
1476386,1478631
1476386,466036
1476386,1504366
1476386,936595
1476386,634422
1476386,677425
1476386,1449237
1476386,1131972
1476386,660588
1258429,1541654
1258429,54860
1258429,963066
1258429,1132234
1258429,435965
1258429,1182426
1258429,1193805
1258429,557540
1258429,298944
1258429,942709
1258429,1570749
1258429,696001
1258429,1571580
1258429,233865
1258429,1001907
1258429,1469297
1258429,519858
1258429,1552731
1258429,1066447
319557,1225712
319557,225421
319557,1487446
319557,80372
319557,1567821
319557,1153439
319557,694620
319557,744478
319557,1465435
319557,1148646
319557,249459
319557,1132234
319557,840198
319557,947031
319557,1319768
319557,1478631
319557,836524
918573,1461821
918573,1529238
918573,78091
918573,1577781
918573,927836
918573,1271737
918573,1515794
918573,842990
918573,1507159
918573,546241
918573,1432569
918573,1465435
918573,1232575
918573,513318
918573,1141172
918573,63076
918573,1478631
918573,469373
918573,225421
77742,535428
535428,483761
535428,1419202
535428,743516
535428,370902
535428,818393
535428,788252
535428,809800
535428,237625
535428,474835
535428,572860
535428,996718
535428,200711
535428,338103
535428,714683
535428,310610
535428,521060
535428,714626
535428,1293066
535428,577514
535428,184635
535428,458700
535428,503956
535428,1434810
535428,1122548
535428,1337340
535428,777812
535428,147841
535428,1526680
535428,454773
535428,735352
535428,1342506
535428,1337937
535428,1579235
535428,29886
535428,830083
535428,1488401
535428,1128594
535428,1015067
535428,1424779
535428,188087
535428,138105
535428,847744
535428,800513
535428,1572225
535428,1542089
535428,583188
535428,1155770
535428,333638
535428,465650
486543,1567862
486543,1503898
486543,919574
486543,615569
486543,159098
1567862,1464591
1567862,1023230
1567862,383187
1567862,1120208
1567862,1224377
1567862,1099750
1567862,1288670
1567862,311926
1567862,797790
1567862,933902
1567862,1330719
1567862,1504057
1567862,947843
1567862,557815
1567862,576085
1567862,1039544
1503898,820610
1503898,50409
1503898,236007
1503898,800882
1503898,130229
1503898,677364
1503898,998901
1503898,252537
1503898,504030
1503898,569509
1503898,135026
1503898,576085
1503898,1427471
1503898,45012
1503898,458104
919574,643444
919574,137778
919574,585744
919574,98346
919574,1541770
919574,1475125
919574,1366786
919574,542363
919574,793055
919574,125915
919574,1232575
919574,1082610
919574,1098400
919574,550861
919574,1052335
919574,1016326
919574,1567319
615569,1320086
615569,1002033
615569,706429
615569,1023230
615569,800882
615569,510744
615569,161518
615569,1086568
615569,473191
615569,275455
615569,1101440
615569,1257468
615569,1170504
615569,550861
615569,701593
615569,516449
159098,820610
159098,626203
159098,45012
159098,500018
159098,720906
159098,478156
159098,1242987
159098,1153439
159098,529951
159098,1300474
159098,645906
159098,753317
159098,947843
159098,1340782
159098,774135
128194,311851
128194,840189
128194,1295368
128194,1585441
311851,330558
311851,1047713
311851,33426
311851,298944
311851,700648
311851,469373
311851,727837
311851,1302482
311851,1097833
311851,168838
311851,410789
311851,281424
311851,130556
311851,752171
311851,708579
311851,300970
311851,238907
311851,353307
840189,795822
840189,1582841
840189,1581291
840189,1225276
840189,1016909
840189,864877
840189,1043923
840189,260677
840189,442287
840189,357461
840189,840198
840189,206143
840189,791927
840189,882003
840189,1559944
840189,371970
840189,841027
1295368,430978
1295368,1565057
1295368,129273
1295368,202548
1295368,429933
1295368,1502891
1295368,1084598
1295368,1001115
1295368,1465435
1295368,927836
1295368,1066447
1295368,320017
1295368,797425
1295368,291076
1295368,668366
1295368,1169690
1295368,889572
1295368,1250059
1295368,546241
1295368,451911
1585441,1296060
1585441,1288670
1585441,57953
1585441,1473259
1585441,522804
1585441,1509646
1585441,957010
1585441,1549608
1585441,800882
1585441,1001907
1585441,1010045
1585441,1016611
1585441,335732
1585441,721304
1585441,91095
1585441,1483601
1585441,175458
420794,1381777
420794,406295
420794,1292614
420794,1183094
1381777,1398597
1381777,1148058
1381777,1055995
