node1,node2
275,300307
275,1282787
275,1123357
275,198561
275,541437
275,662548
275,1080671
58341,575549
58341,98863
58341,471254
194846,1138493
194846,525041
194846,790399
194846,1560613
194846,1253529
194846,382724
194846,390983
194846,1557910
194846,778619
214708,1058140
214708,1518575
214708,1244175
214708,1035952
214708,506547
214708,1557910
214708,1456079
214708,28813
214708,1100731
338137,1326822
338137,863998
338137,590246
338137,349986
338137,31566
338137,736769
338137,968394
338137,1098477
471254,423179
675137,165793
675137,945033
675137,164863
675137,724732
675137,1019001
675137,813579
675137,514404
675137,699201
1349605,849784
1349605,1295999
1349605,1223005
1349605,601677
1349605,979765
1349605,1293357
1349605,1450931
1349605,259816
1349605,1264937
1349605,778808
1349605,528517
1349605,1008445
1349605,333213
1349605,628814
728,110113
728,1001931
728,1097199
728,805491
728,837108
728,351736
728,435262
728,868574
728,329030
341626,109443
341626,80533
341626,1302402
341626,1452189
341626,89380
341626,1270460
341626,827209
341626,863998
550951,9218
550951,1401524
550951,330752
550951,229877
550951,1295679
550951,291094
550951,1280763
550951,1483628
550951,1127550
550951,835174
550951,122259
550951,1153376
550951,102647
550951,1062145
550951,1441410
550951,570348
550951,1297273
550951,526741
550951,617591
550951,1072498
550951,806300
550951,1015952
550951,1249504
744577,22867
744577,280289
876522,1263076
876522,1175274
876522,267767
876522,388267
876522,858189
876522,1265711
876522,706355
876522,551517
964328,1225469
964328,1025950
991291,1365441
991291,1153376
991291,9218
991291,1072498
991291,465471
991291,574656
991291,1372958
991291,291094
991291,122259
991291,1441410
991291,772390
991291,1582719
991291,526741
991291,166486
991291,726480
991291,1015952
991291,649626
991291,8692
991291,1457353
991291,736671
991291,853692
991291,216681
991291,393508
1019001,31566
1019001,1006458
1019001,1247964
1019001,677152
1019001,61114
1019001,504096
1019001,166228
1117006,697949
1117006,1124423
1117006,1445015
1117006,175433
1117006,961686
1505796,1505796
1505796,602157
1505796,1417186
1505796,714780
958,659702
958,380769
958,978318
958,627422
481969,1191514
481969,1290290
481969,154709
481969,897348
481969,766820
481969,1178409
481969,1223005
481969,1411981
481969,778808
481969,661039
481969,476514
481969,1515359
481969,337896
481969,952991
481969,499533
834191,1041540
834191,509360
834191,1068873
834191,190971
960955,419624
960955,1319330
960955,1095919
960955,253390
1411697,40761
1411697,428992
1411697,85182
1534,278611
1534,1440452
1534,937573
62893,1104588
62893,907828
62893,690928
62893,100198
62893,1153735
916102,1021749
916102,749101
916102,349488
916102,1262902
916102,310170
916102,1410152
916102,219505
1051536,890502
1589,800148
801369,1334122
801369,209932
801369,1364549
801369,1238307
801369,1580878
801369,713426
801369,1033464
1677,496716
1677,506914
242356,624191
242356,393823
242356,176665
