node1,node2,network
1110,1148869,0
1110,305959,0
1110,643444,0
1110,518683,0
77742,50329,0
486543,71147,0
486543,255571,0
486543,416126,0
486543,1099750,0
486543,134549,0
1056717,1450897,0
1056717,1319768,0
1056717,1519498,0
1056717,1207324,0
1216765,435965,0
1216765,1538368,0
1216765,450237,0
1216765,1570634,0
1197,1226348,0
1197,1148646,0
1197,1521623,0
1197,792951,0
330558,1368531,0
330558,1496246,0
330558,1042997,0
330558,1412656,0
709062,1351840,0
709062,512097,0
709062,733228,0
709062,183368,0
709062,77686,0
709062,1419451,0
709062,246654,0
709062,204906,0
709062,598288,0
709062,264496,0
709062,1200643,0
803811,490956,0
803811,1031404,0
803811,174520,0
1398597,1010045,0
1398597,834825,0
1398597,736319,0
1398597,553053,0
1335,1339474,0
1335,804991,0
1335,1499403,0
1335,580906,0
1335,1341525,0
1335,736671,0
1335,499454,0
1335,443390,0
1335,781666,0
1335,567054,0
1335,284135,0
1335,976963,0
1335,1046888,0
1335,625243,0
1335,247934,0
1335,1413579,0
1335,395566,0
1335,474656,0
1335,815213,0
1335,290801,0
1335,746130,0
1335,485354,0
1335,46494,0
1335,612565,0
1335,535428,0
1335,175513,0
1335,996197,0
1335,75936,0
1335,503051,0
1335,820906,0
1335,226854,0
1335,248505,0
1335,1292886,0
1335,588861,0
111490,1379246,0
111490,1292886,0
111490,1413579,0
111490,1388111,0
111490,266195,0
111490,368163,0
111490,256671,0
111490,733816,0
111490,1129772,0
111490,535428,0
111490,1422026,0
111490,1551084,0
111490,265970,0
111490,1482802,0
111490,240621,0
111490,820906,0
111490,1203522,0
111490,592526,0
111490,247934,0
111490,277913,0
111490,290801,0
111490,395566,0
111490,1486568,0
111490,269784,0
111490,1499403,0
111490,134231,0
111490,1341525,0
111490,11854,0
111490,536119,0
111490,962111,0
111490,1025998,0
111490,1396273,0
111490,485354,0
111490,1338486,0
111490,804991,0
111490,736671,0
111490,1053503,0
111490,675035,0
117223,516803,0
117223,1359217,0
117223,448071,0
117223,1537917,0
