node1,node2,weight
275,58341,2
275,194846,4
275,214708,5
275,338137,1
275,471254,13
275,675137,3
275,1349605,1
728,341626,1
728,550951,1
728,744577,1
728,876522,2
728,964328,1
728,991291,2
728,1019001,121
728,1117006,1
728,1505796,1
958,481969,22
958,834191,1
958,960955,33
958,1411697,2
1534,62893,2
1534,916102,1
1534,1051536,2
1589,801369,33
1677,242356,6
1695,219505,2
1695,1419615,1
1720,29270,4
1720,189019,2
1720,505627,1
1720,905498,1
1720,1137982,1
1720,1276154,2
1930,152643,2
1930,320803,2
1985,1020342,5
2237,569305,6
2237,720388,1
2237,937070,2
2237,1254924,1
2237,1422026,1
2848,319468,2
2848,467895,1
2848,1406780,1
3223,1031707,1
3223,1108453,3
3539,1346486,1
3896,988613,1
4112,655586,4
4112,1031219,3
4776,680467,1
4776,1244175,1
5090,162353,6
5090,563685,2
5090,1058144,2
5090,1087389,1
5129,1227391,1
5241,100492,1
5241,297078,1
5241,1154208,1
5285,1053558,1
5488,957023,6
5614,228754,1
5614,867304,1
5614,968047,2
5614,1129833,2
5614,1556398,4
5691,686288,1
5738,9218,1
5738,920870,1
5738,958443,1
5901,244165,1
5901,1439672,1
5912,3539,1
5912,345174,1
5912,523201,1
5912,566294,25
5912,834480,8
5912,933728,11
5912,944881,6
5912,991541,5
5912,1302208,9
6257,1297273,1
6288,5738,3
6288,9218,12
6288,12345,5
6288,16842,3
6288,23665,3
6288,30338,1
6288,62237,5
6288,88371,12
6288,167183,2
6288,203754,3
6288,247517,1
6288,265690,2
6288,276316,2
6288,288856,2
6288,317273,1
6288,348620,2
6288,349748,3
6288,378685,2
6288,379958,1
6288,385167,2
6288,399167,1
6288,408227,3
6288,422918,4
6288,450691,1
6288,457073,4
6288,463792,1
6288,500739,8
6288,523921,1
6288,548930,1
6288,555264,5
6288,566064,3
6288,609152,2
6288,610222,2
6288,617591,3
6288,654815,3
6288,672543,3
6288,719200,1
6288,726305,4
6288,753897,3
6288,762585,2
6288,859848,1
6288,894343,1
6288,896597,1
6288,916025,2
6288,949803,2
6288,952991,1
6288,963499,4
6288,965653,21
6288,965981,4
6288,968047,1
6288,969132,4
6288,1003887,3
6288,1011493,6
6288,1016346,3
6288,1022971,3
6288,1048985,2
6288,1056033,2
6288,1061591,1
6288,1067123,1
6288,1087541,1
6288,1102087,5
6288,1104850,3
6288,1114526,2
6288,1119946,1
6288,1144898,4
6288,1156818,3
6288,1166535,1
6288,1168101,1
6288,1183297,4
6288,1194469,1
6288,1205191,2
6288,1210344,5
6288,1244245,11
6288,1249504,5
6288,1264937,2
6288,1271696,4
6288,1281698,1
6288,1282055,1
6288,1307154,2
6288,1336126,3
6288,1336732,2
6288,1342039,3
6288,1364549,4
6288,1374575,2
6288,1391141,2
6288,1425976,1
6288,1432031,2
6288,1434743,2
6288,1440599,2
6288,1488582,3
6288,1496427,39
6288,1508488,1
6288,1510826,2
6288,1528338,3
6288,1533887,1
6288,1536310,1
6288,1580526,1
6288,1582719,2
6288,1582871,1
6288,1587776,2
6565,1154208,6
6565,1434353,1
6565,1466821,1
6603,182899,2
6603,298253,1
6603,299343,2
6603,411177,6
6603,506087,1
6603,525041,2
6603,570348,2
6603,651661,2
6603,687217,5
6603,796273,2
6603,809581,2
6603,858021,2
6603,1264088,2
6603,1354518,4
6603,1523498,2
6714,226450,8
6716,329030,1
6716,461774,2
6716,474956,1
6716,574541,2
6716,1315662,1
7511,55136,1
