node1,node2
16,293
16,197
16,57
16,382
16,32
16,186
16,415
16,464
16,7
16,218
16,486
16,393
16,316
16,278
16,420
16,176
16,304
16,177
16,379
16,92
16,359
16,479
16,443
16,34
16,451
16,13
16,432
16,426
16,49
16,462
16,329
16,427
16,345
16,102
16,366
16,292
16,167
16,173
16,295
293,255
293,236
197,367
197,2
57,474
57,236
382,85
382,414
32,342
32,236
186,342
186,236
415,255
415,414
464,367
464,131
7,421
7,85
218,367
218,421
486,367
486,447
393,367
393,285
316,285
316,236
278,2
278,447
420,255
420,2
176,236
176,31
304,367
304,342
177,131
177,22
379,367
379,236
92,11
92,414
359,255
359,474
479,367
479,285
443,12
443,236
34,342
34,12
451,131
451,414
13,180
13,85
432,367
432,236
426,342
426,421
49,180
49,2
462,421
462,12
329,367
329,180
427,367
427,131
345,255
345,11
102,236
102,447
366,308
366,12
292,421
292,414
167,342
167,236
173,342
173,31
295,85
295,31
367,383
367,444
367,195
367,166
367,190
367,15
367,411
367,273
367,70
367,424
367,499
367,348
367,448
367,212
367,299
367,272
367,388
367,132
367,310
367,350
367,402
367,403
367,413
367,434
367,43
367,10
367,287
367,398
367,456
367,368
367,18
367,187
367,496
367,201
367,498
367,377
367,435
367,77
367,185
367,315
367,230
367,126
367,122
367,196
367,469
367,317
367,395
367,357
367,274
367,362
367,331
367,494
367,387
367,485
367,221
367,439
367,313
367,127
367,269
367,309
367,399
367,280
367,416
367,72
367,45
383,255
383,308
444,85
444,31
195,131
195,326
166,342
166,2
190,255
190,326
15,11
15,2
411,342
411,236
273,255
273,308
70,236
70,414
424,76
424,11
499,308
499,236
348,255
348,285
448,131
448,85
212,308
212,414
299,342
299,447
272,255
272,31
388,2
388,414
132,342
132,421
310,255
310,308
350,11
350,308
402,342
402,285
403,342
403,308
413,2
413,85
434,131
434,2
43,255
43,85
10,342
10,414
287,2
287,236
398,342
398,285
456,131
456,285
368,2
368,308
18,255
18,326
187,421
187,447
496,326
496,180
201,255
201,85
498,342
498,2
377,131
377,414
435,76
435,2
77,326
77,447
185,76
185,12
315,447
315,31
230,342
230,308
126,76
126,11
122,447
122,31
196,421
196,447
469,76
469,31
317,447
317,31
395,255
395,421
357,255
357,76
274,474
274,11
362,11
362,2
331,11
331,421
494,255
494,421
387,255
387,2
485,342
485,11
221,180
221,474
439,342
439,255
313,342
313,308
127,76
127,236
269,342
269,255
309,76
309,236
399,180
399,421
280,326
280,2
416,76
416,236
72,342
72,255
45,131
45,11
495,156
495,139
495,275
495,79
495,182
495,89
495,268
495,239
156,119
156,400
156,369
156,118
139,371
139,332
139,283
139,369
275,188
275,183
275,204
275,78
275,445
79,44
79,51
79,62
79,314
79,438
182,20
182,100
182,483
182,445
182,107
89,146
89,425
89,363
89,107
89,36
268,51
268,112
268,445
268,472
268,107
239,237
239,338
239,41
239,354
322,241
322,9
322,251
322,73
322,216
322,202
322,476
322,358
322,134
322,178
322,290
322,365
322,159
322,175
322,240
241,129
241,91
241,311
9,22
9,397
9,59
251,286
251,129
251,397
73,242
73,104
73,41
216,22
216,46
216,144
202,148
202,19
202,6
476,147
476,22
476,129
358,19
358,455
358,22
134,104
134,369
134,311
178,397
178,46
178,6
290,397
290,455
290,55
365,104
365,95
365,55
159,470
159,242
159,455
175,270
175,470
175,311
240,148
240,337
240,19
342,141
342,214
342,4
342,165
342,457
342,149
342,124
342,492
342,66
342,446
342,235
342,266
342,417
342,271
342,346
342,467
342,164
342,321
342,0
342,408
342,478
342,452
141,76
141,421
214,255
214,180
4,421
4,31
165,255
165,131
457,131
457,308
149,180
149,474
124,2
124,447
492,326
492,2
66,421
66,85
446,474
446,285
235,131
235,326
266,255
266,308
417,85
417,31
271,414
271,236
346,326
346,2
467,308
467,421
164,255
164,131
321,285
321,414
0,326
0,2
408,255
408,236
478,474
478,421
452,236
452,421
255,334
255,396
255,477
255,288
255,356
255,94
255,5
255,482
255,125
255,406
255,347
255,86
255,491
255,260
255,468
255,160
255,116
255,191
255,252
255,484
334,285
334,2
396,285
396,236
477,2
477,421
288,11
288,85
356,308
356,12
94,308
94,236
5,11
5,236
482,180
482,414
125,180
125,236
406,76
406,308
347,285
347,236
86,2
86,236
491,308
491,447
260,11
260,421
468,285
468,236
160,180
160,414
116,236
116,12
191,326
191,2
252,2
252,31
484,180
484,236
147,140
147,471
147,207
147,257
147,298
147,392
147,246
147,217
147,37
147,351
147,352
147,152
147,454
147,170
140,59
140,455
140,311
471,242
471,397
471,59
207,46
207,91
207,337
257,270
257,397
257,95
298,148
298,14
298,242
392,470
392,59
392,123
246,337
246,123
246,311
217,397
217,91
217,59
37,270
37,55
37,374
351,22
351,129
351,374
352,429
352,55
352,6
152,91
152,19
152,6
454,429
454,12
454,55
170,14
170,12
170,318
131,264
131,192
131,209
131,63
131,323
131,419
264,308
264,421
192,180
192,414
209,326
209,180
63,326
63,308
323,308
323,85
419,11
419,2
19,480
19,88
19,179
19,339
19,253
19,302
19,423
19,211
19,305
19,39
19,54
19,475
455,405
455,409
455,360
455,460
455,244
455,364
455,305
455,282
22,405
22,56
22,277
22,344
22,96
22,333
22,493
22,189
22,475
22,289
22,302
326,407
326,35
326,203
326,412
326,33
326,442
407,285
407,2
35,2
35,236
203,474
203,285
412,236
412,421
33,285
33,11
442,11
442,421
405,337
405,144
56,129
56,59
56,374
277,286
277,46
277,311
344,286
344,104
344,242
96,397
96,429
96,55
333,270
333,318
333,374
493,14
493,429
493,91
189,129
189,470
189,123
475,14
475,142
289,270
289,91
289,311
302,311
302,296
146,29
146,231
146,238
146,422
146,115
146,42
29,465
29,82
29,208
29,458
29,84
231,483
231,143
231,445
231,465
231,250
238,44
238,101
238,229
238,283
238,48
422,44
422,353
422,82
422,99
422,250
115,208
115,226
115,250
115,17
115,229
42,51
42,353
42,458
42,17
42,198
270,282
270,265
270,67
270,437
270,97
270,71
282,129
282,46
265,46
265,296
265,374
67,46
67,318
67,296
437,129
437,311
437,429
97,12
97,374
97,6
71,470
71,91
71,242
76,410
76,262
76,303
76,281
76,390
76,490
76,488
76,453
76,206
76,121
410,285
410,308
262,474
262,308
303,474
303,31
281,236
281,85
390,180
390,285
490,474
490,285
488,308
488,31
453,474
453,308
206,2
206,236
121,2
121,11
180,199
180,343
180,401
180,430
180,373
180,306
199,236
199,414
343,308
343,447
401,2
401,85
430,2
430,421
373,85
373,12
306,2
306,414
474,459
474,428
474,108
474,256
474,349
474,450
474,335
474,461
459,11
459,2
428,308
428,414
108,285
108,2
256,308
256,85
349,11
349,236
450,421
450,414
335,447
335,85
461,308
461,447
119,135
119,169
119,258
119,220
119,223
119,58
119,224
119,157
135,332
135,95
135,229
135,363
169,440
169,68
169,371
169,137
258,113
258,354
258,200
258,466
220,338
220,142
220,371
220,107
223,234
223,118
223,371
223,400
58,237
58,354
58,95
58,440
224,112
224,208
224,78
224,363
157,234
157,200
157,150
157,95
286,248
286,481
286,276
286,364
286,244
286,205
286,449
286,179
286,249
248,14
248,242
248,337
481,148
481,429
481,59
276,148
276,104
276,242
364,311
364,296
244,46
244,144
205,148
205,104
205,242
449,470
449,318
449,337
179,14
179,318
249,46
249,59
249,6
285,151
285,431
285,215
285,120
285,336
285,473
151,308
151,421
431,2
431,421
215,308
215,85
120,2
120,236
336,11
336,31
473,2
473,12
148,480
148,213
148,232
148,463
148,211
148,39
480,296
480,6
213,470
213,337
213,55
232,142
232,429
232,123
463,14
463,104
463,6
211,318
211,144
39,59
39,55
93,118
93,142
93,234
93,130
93,113
118,171
118,81
118,378
118,65
118,301
118,319
118,193
142,61
142,25
142,294
142,60
142,300
142,489
234,181
234,61
234,341
234,60
234,294
234,225
130,376
130,386
130,184
130,489
130,145
130,193
130,389
130,87
113,181
113,117
113,279
113,222
113,291
113,193
113,247
113,297
188,111
188,219
188,98
188,245
188,26
188,330
188,225
111,51
111,62
111,250
111,110
111,99
219,20
219,353
219,100
219,172
219,438
98,332
98,369
98,440
98,41
245,20
245,128
245,458
245,425
245,110
26,233
26,68
26,466
26,150
330,363
330,36
330,17
330,107
330,472
225,332
225,369
225,250
371,181
371,145
371,90
371,263
371,87
332,418
332,90
332,168
332,378
332,375
283,341
283,1
283,247
283,138
283,114
283,267
369,61
369,81
369,90
369,375
369,263
400,81
400,297
400,389
400,376
400,133
400,23
400,193
254,144
254,374
254,242
254,123
144,487
144,117
144,339
144,360
144,460
144,385
144,423
144,307
374,320
374,136
374,404
374,117
374,360
374,370
374,436
242,136
242,385
242,370
242,441
242,83
123,300
123,436
123,433
123,381
123,253
123,307
465,105
465,69
465,243
465,28
465,38
465,204
82,74
82,48
82,267
82,80
82,27
208,52
208,38
208,193
208,36
208,158
458,226
458,114
458,48
458,158
84,53
84,353
84,78
84,143
84,17
31,391
31,261
31,325
31,324
30,236
30,421
30,11
236,325
236,384
421,340
421,361
421,261
421,50
421,64
421,325
421,284
421,384
11,340
11,64
11,284
11,50
2,340
2,3
2,261
2,324
2,8
129,404
129,300
129,259
129,441
129,320
129,319
129,381
129,339
397,21
397,381
397,54
397,88
447,384
447,328
447,50
447,162
237,489
237,23
237,65
237,291
237,25
237,60
237,90
237,294
354,133
354,376
354,247
354,489
354,163
354,386
354,375
95,109
95,301
95,163
95,168
95,228
440,61
440,247
440,418
440,65
440,153
440,184
372,55
372,91
372,318
372,337
55,194
55,409
55,83
55,174
91,227
91,381
91,54
318,21
318,259
318,460
318,83
337,487
337,228
337,385
181,466
181,229
466,378
466,60
466,65
466,87
466,222
466,184
229,105
229,28
229,263
229,222
414,380
414,3
414,324
414,8
414,162
414,391
12,328
12,136
12,361
12,404
12,380
12,391
487,59
487,470
59,423
59,227
59,433
470,305
470,253
470,117
470,174
470,355
470,423
279,338
279,101
279,394
279,150
222,103
222,150
291,112
291,338
