node1,node2,network
416,354,0
416,433,0
416,364,0
416,189,0
416,142,0
416,447,0
416,376,0
416,464,0
416,334,0
416,283,0
416,486,0
416,112,0
416,20,0
416,278,0
416,14,0
416,146,0
416,224,0
416,177,0
416,16,0
416,285,0
416,131,0
416,103,0
416,443,0
416,110,0
416,389,0
416,188,0
416,179,0
416,426,0
416,455,0
416,59,0
416,111,0
416,148,0
416,107,0
416,255,0
416,51,0
416,6,0
416,332,0
416,12,0
416,157,0
354,295,0
354,407,0
433,329,0
433,382,0
364,18,0
364,407,0
189,271,0
189,362,0
142,384,0
142,407,0
447,384,0
447,407,0
376,295,0
376,362,0
464,329,0
464,485,0
334,315,0
334,271,0
283,329,0
283,315,0
486,329,0
486,77,0
112,329,0
112,410,0
20,410,0
20,407,0
278,382,0
278,77,0
14,295,0
14,382,0
146,407,0
146,64,0
224,329,0
224,384,0
177,485,0
177,43,0
16,329,0
16,407,0
285,252,0
285,362,0
131,295,0
131,18,0
103,329,0
103,410,0
443,448,0
443,407,0
110,384,0
110,448,0
389,485,0
389,362,0
188,173,0
188,271,0
179,329,0
179,407,0
426,384,0
426,315,0
455,173,0
455,382,0
59,315,0
59,448,0
111,329,0
111,173,0
148,329,0
148,485,0
107,295,0
107,252,0
255,407,0
255,77,0
51,432,0
51,448,0
6,315,0
6,362,0
332,384,0
332,407,0
12,384,0
12,64,0
157,271,0
157,64,0
329,383,0
329,488,0
329,150,0
329,22,0
329,342,0
329,438,0
329,40,0
329,296,0
329,83,0
329,93,0
329,499,0
329,348,0
329,102,0
329,495,0
329,299,0
329,272,0
329,286,0
329,421,0
329,11,0
329,249,0
329,100,0
329,403,0
329,413,0
329,434,0
329,248,0
329,144,0
329,208,0
329,398,0
329,26,0
329,487,0
329,230,0
329,270,0
329,496,0
329,113,0
329,498,0
329,314,0
329,130,0
329,414,0
329,95,0
329,330,0
329,308,0
329,126,0
329,474,0
329,394,0
329,469,0
329,317,0
329,395,0
329,357,0
329,105,0
329,200,0
329,122,0
329,494,0
329,17,0
329,2,0
329,470,0
329,439,0
329,365,0
329,55,0
329,269,0
329,104,0
329,227,0
329,41,0
329,236,0
329,458,0
329,216,0
383,295,0
383,432,0
488,271,0
488,64,0
150,485,0
150,325,0
22,384,0
22,382,0
342,295,0
342,325,0
438,252,0
438,382,0
40,384,0
40,407,0
296,295,0
296,432,0
83,407,0
83,362,0
93,8,0
93,252,0
499,432,0
499,407,0
348,295,0
348,410,0
102,485,0
102,271,0
495,432,0
495,362,0
299,384,0
299,77,0
272,295,0
272,64,0
286,382,0
286,362,0
421,384,0
421,315,0
11,295,0
11,432,0
249,252,0
249,432,0
100,384,0
100,410,0
403,384,0
403,432,0
413,382,0
413,271,0
434,485,0
434,382,0
248,295,0
248,271,0
144,384,0
144,362,0
208,382,0
208,407,0
398,384,0
398,410,0
26,485,0
26,410,0
487,382,0
487,432,0
230,295,0
230,325,0
270,315,0
270,77,0
496,325,0
496,173,0
113,295,0
113,271,0
498,384,0
498,382,0
314,485,0
314,362,0
130,8,0
130,382,0
414,325,0
414,77,0
95,8,0
95,448,0
330,77,0
330,64,0
308,384,0
308,432,0
126,8,0
126,252,0
474,77,0
474,64,0
394,315,0
394,77,0
469,8,0
469,64,0
317,77,0
317,64,0
395,295,0
395,315,0
357,295,0
357,8,0
105,18,0
105,252,0
200,252,0
200,382,0
122,252,0
122,315,0
494,295,0
494,315,0
17,295,0
17,382,0
2,384,0
2,252,0
470,173,0
470,18,0
439,384,0
439,295,0
365,384,0
365,432,0
55,8,0
55,407,0
269,384,0
269,295,0
104,8,0
104,407,0
227,173,0
227,315,0
41,325,0
41,382,0
236,8,0
236,407,0
458,384,0
458,295,0
216,485,0
216,252,0
197,156,0
197,139,0
197,54,0
197,3,0
197,37,0
197,1,0
197,97,0
197,312,0
156,328,0
156,108,0
156,484,0
156,4,0
139,477,0
139,141,0
139,218,0
139,484,0
54,190,0
54,350,0
54,204,0
54,430,0
54,292,0
3,10,0
3,368,0
3,435,0
3,280,0
3,287,0
37,196,0
37,304,0
37,442,0
37,292,0
37,452,0
1,468,0
1,206,0
1,149,0
1,452,0
1,168,0
97,368,0
97,324,0
97,292,0
97,186,0
97,452,0
312,45,0
312,34,0
312,379,0
312,124,0
284,241,0
284,211,0
284,327,0
284,358,0
284,294,0
284,25,0
284,316,0
284,244,0
284,246,0
284,178,0
284,290,0
284,81,0
284,282,0
284,481,0
284,240,0
241,5,0
241,451,0
241,125,0
211,43,0
211,165,0
211,203,0
327,356,0
327,5,0
327,165,0
358,164,0
358,462,0
358,379,0
294,43,0
294,359,0
294,411,0
25,50,0
25,7,0
25,49,0
316,377,0
316,43,0
316,5,0
244,7,0
244,201,0
244,43,0
246,462,0
246,484,0
246,125,0
178,165,0
178,359,0
178,49,0
290,165,0
290,201,0
290,303,0
81,462,0
81,66,0
81,303,0
282,57,0
282,164,0
282,201,0
481,399,0
