node1,node2,network
16,293,0
16,197,0
16,57,0
16,382,0
16,32,0
16,186,0
16,415,0
16,464,0
16,7,0
16,218,0
16,486,0
16,393,0
16,316,0
16,278,0
16,420,0
16,176,0
16,304,0
16,177,0
16,379,0
16,92,0
16,359,0
16,479,0
16,443,0
16,34,0
16,451,0
16,13,0
16,432,0
16,426,0
16,49,0
16,462,0
16,329,0
16,427,0
16,345,0
16,102,0
16,366,0
16,292,0
16,167,0
16,173,0
16,295,0
293,255,0
293,236,0
197,367,0
197,2,0
57,474,0
57,236,0
382,85,0
382,414,0
32,342,0
32,236,0
186,342,0
186,236,0
415,255,0
415,414,0
464,367,0
464,131,0
7,421,0
7,85,0
218,367,0
218,421,0
486,367,0
486,447,0
393,367,0
393,285,0
316,285,0
316,236,0
278,2,0
278,447,0
420,255,0
420,2,0
176,236,0
176,31,0
304,367,0
304,342,0
177,131,0
177,22,0
379,367,0
379,236,0
92,11,0
92,414,0
359,255,0
359,474,0
479,367,0
479,285,0
443,12,0
443,236,0
34,342,0
34,12,0
451,131,0
451,414,0
13,180,0
13,85,0
432,367,0
432,236,0
426,342,0
426,421,0
49,180,0
49,2,0
462,421,0
462,12,0
329,367,0
329,180,0
427,367,0
427,131,0
345,255,0
345,11,0
102,236,0
102,447,0
366,308,0
366,12,0
292,421,0
292,414,0
167,342,0
167,236,0
173,342,0
173,31,0
295,85,0
295,31,0
367,383,0
367,444,0
367,195,0
367,166,0
367,190,0
367,15,0
367,411,0
367,273,0
367,70,0
367,424,0
367,499,0
367,348,0
367,448,0
367,212,0
367,299,0
367,272,0
367,388,0
367,132,0
367,310,0
367,350,0
367,402,0
367,403,0
367,413,0
367,434,0
367,43,0
367,10,0
367,287,0
367,398,0
367,456,0
367,368,0
367,18,0
367,187,0
367,496,0
367,201,0
367,498,0
367,377,0
367,435,0
367,77,0
367,185,0
367,315,0
367,230,0
367,126,0
367,122,0
367,196,0
367,469,0
367,317,0
367,395,0
367,357,0
367,274,0
367,362,0
367,331,0
367,494,0
367,387,0
367,485,0
367,221,0
367,439,0
367,313,0
367,127,0
367,269,0
367,309,0
367,399,0
367,280,0
367,416,0
367,72,0
367,45,0
383,255,0
383,308,0
444,85,0
444,31,0
195,131,0
195,326,0
166,342,0
166,2,0
190,255,0
190,326,0
15,11,0
15,2,0
411,342,0
411,236,0
273,255,0
273,308,0
70,236,0
70,414,0
424,76,0
424,11,0
499,308,0
499,236,0
348,255,0
348,285,0
448,131,0
448,85,0
212,308,0
212,414,0
299,342,0
299,447,0
272,255,0
272,31,0
388,2,0
388,414,0
132,342,0
132,421,0
310,255,0
310,308,0
350,11,0
350,308,0
402,342,0
402,285,0
403,342,0
403,308,0
413,2,0
413,85,0
434,131,0
434,2,0
43,255,0
43,85,0
10,342,0
10,414,0
287,2,0
287,236,0
398,342,0
398,285,0
456,131,0
456,285,0
368,2,0
368,308,0
18,255,0
18,326,0
187,421,0
187,447,0
496,326,0
496,180,0
201,255,0
201,85,0
498,342,0
498,2,0
377,131,0
377,414,0
435,76,0
435,2,0
77,326,0
77,447,0
185,76,0
185,12,0
315,447,0
315,31,0
230,342,0
230,308,0
126,76,0
126,11,0
122,447,0
122,31,0
196,421,0
196,447,0
469,76,0
469,31,0
317,447,0
317,31,0
395,255,0
395,421,0
357,255,0
357,76,0
274,474,0
274,11,0
362,11,0
362,2,0
331,11,0
331,421,0
494,255,0
494,421,0
387,255,0
387,2,0
485,342,0
485,11,0
221,180,0
221,474,0
439,342,0
439,255,0
313,342,0
313,308,0
127,76,0
127,236,0
269,342,0
269,255,0
309,76,0
309,236,0
399,180,0
399,421,0
280,326,0
280,2,0
416,76,0
416,236,0
72,342,0
72,255,0
45,131,0
45,11,0
495,156,0
495,139,0
495,275,0
495,79,0
495,182,0
495,89,0
495,268,0
495,239,0
156,119,0
156,400,0
156,369,0
156,118,0
139,371,0
139,332,0
139,283,0
139,369,0
275,188,0
275,183,0
275,204,0
275,78,0
275,445,0
79,44,0
79,51,0
79,62,0
79,314,0
79,438,0
182,20,0
182,100,0
182,483,0
182,445,0
182,107,0
89,146,0
89,425,0
89,363,0
89,107,0
89,36,0
268,51,0
268,112,0
268,445,0
268,472,0
268,107,0
239,237,0
239,338,0
239,41,0
239,354,0
322,241,0
322,9,0
322,251,0
322,73,0
322,216,0
322,202,0
322,476,0
322,358,0
322,134,0
322,178,0
322,290,0
322,365,0
322,159,0
322,175,0
322,240,0
241,129,0
241,91,0
241,311,0
9,22,0
9,397,0
9,59,0
251,286,0
251,129,0
251,397,0
73,242,0
73,104,0
73,41,0
216,22,0
216,46,0
216,144,0
202,148,0
202,19,0
202,6,0
476,147,0
476,22,0
476,129,0
358,19,0
358,455,0
358,22,0
134,104,0
134,369,0
134,311,0
178,397,0
178,46,0
178,6,0
290,397,0
290,455,0
290,55,0
365,104,0
365,95,0
365,55,0
159,470,0
159,242,0
159,455,0
175,270,0
175,470,0
175,311,0
240,148,0
240,337,0
240,19,0
342,141,0
342,214,0
342,4,0
342,165,0
342,457,0
342,149,0
342,124,0
342,492,0
342,66,0
342,446,0
342,235,0
342,266,0
342,417,0
342,271,0
342,346,0
342,467,0
342,164,0
342,321,0
342,0,0
342,408,0
342,478,0
342,452,0
141,76,0
141,421,0
214,255,0
214,180,0
4,421,0
4,31,0
165,255,0
165,131,0
457,131,0
457,308,0
149,180,0
149,474,0
124,2,0
124,447,0
492,326,0
492,2,0
66,421,0
66,85,0
