node1,node2,network
76,367,0
76,14,0
76,308,0
76,16,0
76,270,0
76,474,0
76,438,0
76,6,0
76,85,0
76,131,0
76,11,0
76,285,0
76,286,0
76,342,0
76,19,0
76,421,0
76,414,0
76,180,0
76,470,0
76,236,0
76,2,0
76,338,0
76,146,0
76,234,0
76,322,0
76,229,0
76,429,0
76,95,0
76,455,0
76,255,0
76,318,0
76,17,0
76,100,0
76,354,0
76,465,0
76,440,0
76,188,0
76,46,0
76,101,0
367,129,0
367,2,0
367,14,0
367,308,0
367,16,0
367,285,0
367,474,0
367,342,0
367,438,0
367,421,0
367,234,0
367,286,0
367,236,0
367,414,0
367,470,0
367,103,0
367,112,0
367,180,0
367,455,0
367,85,0
367,22,0
367,146,0
367,131,0
367,100,0
367,363,0
367,440,0
367,229,0
367,429,0
367,19,0
367,11,0
367,237,0
367,95,0
367,270,0
367,322,0
367,6,0
367,296,0
367,318,0
367,397,0
367,255,0
367,354,0
367,374,0
367,17,0
367,137,0
367,68,0
367,101,0
367,46,0
367,188,0
367,150,0
367,465,0
367,326,0
367,130,0
367,314,0
367,483,0
367,143,0
367,55,0
367,337,0
367,371,0
367,147,0
367,31,0
367,12,0
367,338,0
367,99,0
367,445,0
367,425,0
367,233,0
367,400,0
367,59,0
367,495,0
367,183,0
367,119,0
367,394,0
367,41,0
367,161,0
367,104,0
367,208,0
14,2,0
14,414,0
14,342,0
14,180,0
14,308,0
14,16,0
14,17,0
14,236,0
14,285,0
14,95,0
14,322,0
14,421,0
14,100,0
308,2,0
308,285,0
308,270,0
308,470,0
308,131,0
308,455,0
308,236,0
308,318,0
308,414,0
308,429,0
308,440,0
308,474,0
308,16,0
308,6,0
308,421,0
308,180,0
308,11,0
308,342,0
308,234,0
308,146,0
308,85,0
308,101,0
308,322,0
308,374,0
308,17,0
308,438,0
308,255,0
308,338,0
308,95,0
308,229,0
308,19,0
308,354,0
308,100,0
308,46,0
308,465,0
308,99,0
308,112,0
308,286,0
308,188,0
308,397,0
308,147,0
16,2,0
16,180,0
16,470,0
16,342,0
16,85,0
16,95,0
16,296,0
16,131,0
16,236,0
16,255,0
16,414,0
16,322,0
16,229,0
16,474,0
16,188,0
16,438,0
16,285,0
16,6,0
16,17,0
16,455,0
16,421,0
16,19,0
16,11,0
16,429,0
16,100,0
16,46,0
16,338,0
16,270,0
16,101,0
16,465,0
16,234,0
16,440,0
16,286,0
