node1,node2,network
0,3,0
0,5,0
0,6,0
0,7,0
0,9,0
0,12,0
0,15,0
0,16,0
0,22,0
0,23,0
0,57,0
0,8,0
0,44,0
0,14,0
0,49,0
0,32,0
0,19,0
0,10,0
0,11,0
0,65,0
0,2,0
0,40,0
0,74,0
0,42,0
0,38,0
0,21,0
0,34,0
0,89,0
0,37,0
0,24,0
0,97,0
0,51,0
0,100,0
0,47,0
0,112,0
0,52,0
0,71,0
0,46,0
0,87,0
3,1,0
3,2,0
3,5,0
3,6,0
3,7,0
3,8,0
3,12,0
3,14,0
3,15,0
3,32,0
3,42,0
3,44,0
3,65,0
3,19,0
3,11,0
3,103,0
3,92,0
3,10,0
3,37,0
3,22,0
3,95,0
3,74,0
3,23,0
3,100,0
3,185,0
3,52,0
3,21,0
3,34,0
3,49,0
3,57,0
3,30,0
3,89,0
3,9,0
3,38,0
3,16,0
3,115,0
3,97,0
3,102,0
3,24,0
3,47,0
3,201,0
3,51,0
3,54,0
3,45,0
3,87,0
3,46,0
3,71,0
3,36,0
3,112,0
3,82,0
3,130,0
3,124,0
3,33,0
3,53,0
3,62,0
3,207,0
3,105,0
3,29,0
3,118,0
3,64,0
3,40,0
3,18,0
3,73,0
3,70,0
3,56,0
3,63,0
3,50,0
3,27,0
3,48,0
3,221,0
3,98,0
3,41,0
3,121,0
3,104,0
3,4,0
4,59,0
4,69,0
4,78,0
4,110,0
4,168,0
4,155,0
4,128,0
5,2,0
5,19,0
5,14,0
5,10,0
5,6,0
5,7,0
5,51,0
5,65,0
5,8,0
5,89,0
5,38,0
5,32,0
5,100,0
6,2,0
6,8,0
6,9,0
6,11,0
6,23,0
6,37,0
6,65,0
6,97,0
6,19,0
6,34,0
6,52,0
6,12,0
6,7,0
6,16,0
6,32,0
6,10,0
6,57,0
6,14,0
6,42,0
6,74,0
6,22,0
6,87,0
6,38,0
6,201,0
6,51,0
6,15,0
6,24,0
6,40,0
6,89,0
6,21,0
6,49,0
6,47,0
6,100,0
6,46,0
6,112,0
6,18,0
6,92,0
6,44,0
6,71,0
6,102,0
6,29,0
7,2,0
7,10,0
7,11,0
7,14,0
7,22,0
7,89,0
7,115,0
7,23,0
7,65,0
7,24,0
7,19,0
7,38,0
7,21,0
7,12,0
7,71,0
7,15,0
7,8,0
7,16,0
7,51,0
7,37,0
7,32,0
7,49,0
7,57,0
7,34,0
7,100,0
7,46,0
7,40,0
7,9,0
7,87,0
7,112,0
7,42,0
7,52,0
7,44,0
7,201,0
7,97,0
7,74,0
7,47,0
7,29,0
7,30,0
7,92,0
7,103,0
7,18,0
9,8,0
9,14,0
9,10,0
9,2,0
9,19,0
9,32,0
9,22,0
9,100,0
9,11,0
9,38,0
9,44,0
12,2,0
12,14,0
12,8,0
12,10,0
12,37,0
12,24,0
12,23,0
12,57,0
12,32,0
12,65,0
12,22,0
12,19,0
12,34,0
12,15,0
12,42,0
