node1,node2
0,215
0,289
0,89
0,290
0,95
0,116
1,471
1,372
1,199
1,234
1,310
1,115
499,386
499,472
499,106
499,473
499,408
499,463
2,384
2,313
2,124
2,303
2,350
2,295
2,343
2,335
498,486
498,46
498,398
498,193
498,177
498,84
3,242
3,413
3,398
3,297
3,307
3,211
497,103
497,260
497,68
497,348
497,225
497,133
4,183
4,466
4,91
4,100
4,12
367,329
367,173
367,382
367,271
367,252
367,407
367,384
367,315
367,410
5,118
5,142
5,322
5,371
5,414
11,432
11,252
11,295
11,324
11,315
11,396
11,149
11,427
272,143
272,401
272,262
272,253
272,195
272,394
61,51
61,475
61,194
61,261
61,469
61,52
6,456
6,174
6,485
6,48
6,251
6,203
6,399
16,271
16,362
16,284
16,13
16,313
16,424
16,252
16,350
7,429
7,354
7,85
7,466
7,474
458,29
458,307
458,477
458,43
458,220
458,165
458,70
8,233
8,326
8,20
8,17
8,55
63,330
63,426
63,113
63,60
63,193
63,205
329,414
329,421
229,165
229,197
229,451
229,478
229,417
229,428
229,206
9,289
9,260
9,428
9,275
9,170
9,449
10,298
10,245
10,352
10,209
10,268
10,441
172,187
172,239
172,83
172,199
172,168
172,408
12,328
12,472
12,396
12,186
12,266
12,306
443,473
443,46
443,434
443,103
443,394
443,289
296,212
296,284
296,334
296,88
296,358
296,422
296,108
14,141
14,399
14,376
14,430
14,191
14,331
14,284
408,286
408,179
408,467
408,461
197,144
197,234
197,447
197,142
13,474
13,137
13,118
13,161
15,82
15,381
15,265
15,336
15,357
15,327
279,160
279,67
279,480
279,128
279,102
279,157
236,432
236,252
236,491
236,366
236,362
236,324
236,335
236,92
17,127
17,312
17,355
17,28
17,125
17,482
44,191
44,40
44,181
44,307
44,316
44,420
18,237
18,59
18,142
18,85
18,107
19,424
19,75
19,206
19,185
19,451
19,281
19,349
431,189
431,174
431,71
431,152
431,155
431,240
20,335
20,485
20,303
20,88
20,221
20,120
466,165
466,304
466,190
466,205
466,186
80,215
80,39
80,121
80,348
80,439
80,400
21,321
21,147
21,259
21,258
21,146
21,73
22,121
22,73
22,484
22,446
22,275
22,89
22,50
328,142
328,440
328,104
328,308
23,95
23,25
23,46
23,241
23,266
23,38
358,174
358,361
358,259
358,162
358,145
24,461
24,288
24,160
24,198
24,156
24,227
25,146
25,302
25,263
25,320
25,247
354,349
354,415
354,158
354,423
354,176
354,253
26,455
26,260
26,470
26,213
26,302
26,420
27,214
27,113
27,193
27,256
27,97
27,365
28,400
28,235
28,65
28,42
28,99
29,52
29,250
29,126
29,207
29,216
30,210
30,235
30,251
30,231
30,211
30,152
31,287
31,396
31,439
31,45
31,138
31,166
31,228
32,404
32,224
32,380
32,187
32,376
32,375
33,100
33,222
33,115
33,357
33,135
33,387
34,255
34,113
34,455
34,200
34,445
284,445
284,55
35,387
35,472
35,128
35,188
35,143
35,53
36,297
36,346
36,494
36,181
36,134
36,73
286,66
286,390
286,265
286,344
286,274
286,240
195,397
195,228
195,301
195,224
195,299
37,235
37,294
37,318
37,189
37,480
37,488
38,82
38,163
38,445
38,425
38,294
349,400
349,342
349,465
39,401
39,84
39,257
39,244
39,429
40,211
40,47
40,419
40,89
40,341
41,448
41,446
41,226
41,125
41,404
41,430
41,162
42,435
42,54
42,223
42,351
42,294
342,407
342,411
342,292
342,201
342,366
342,218
342,484
43,129
43,183
43,285
43,188
193,383
193,163
193,133
45,255
45,150
45,112
45,118
46,412
46,64
46,473
46,206
47,233
47,353
47,237
47,224
47,73
48,433
48,492
48,260
48,402
48,114
49,59
49,104
49,332
49,101
49,308
406,493
406,404
406,176
406,434
406,489
406,135
50,308
50,270
50,363
50,78
51,293
51,370
51,360
51,72
51,418
101,185
101,321
101,450
101,153
101,430
101,413
52,117
52,244
52,301
52,153
241,93
241,436
241,163
241,487
241,115
53,441
53,106
53,167
53,117
53,490
54,453
54,323
54,259
54,155
54,340
55,484
55,412
55,117
55,106
55,108
56,223
56,169
56,461
56,157
56,187
56,227
369,448
369,126
369,185
369,442
369,186
369,304
369,176
57,104
57,144
57,332
57,112
57,119
58,468
58,96
58,147
58,351
58,88
58,364
266,472
266,422
266,277
266,202
59,243
59,393
59,477
59,225
59,454
60,395
60,122
60,67
60,246
60,150
62,460
62,297
62,256
62,110
62,187
62,319
454,135
454,351
454,65
454,401
454,187
180,407
180,173
180,125
180,485
180,271
180,482
180,292
180,127
64,242
64,397
64,394
64,183
65,215
65,293
65,489
65,253
66,148
66,142
66,318
66,129
67,345
67,134
67,481
67,344
438,306
438,81
438,427
438,317
438,190
438,368
438,209
68,151
68,201
68,274
68,273
68,102
68,196
69,282
69,199
69,251
69,167
69,78
69,487
70,99
70,129
70,326
70,100
71,375
71,135
71,299
71,337
71,106
330,465
330,198
330,86
330,176
330,469
72,268
72,81
72,102
72,184
72,107
465,343
465,165
465,206
465,444
465,324
73,469
73,194
74,398
74,223
74,211
74,386
74,167
74,323
75,489
75,439
75,152
75,126
75,434
76,416
76,185
76,271
76,393
76,192
76,432
76,120
76,331
77,161
77,314
77,495
77,326
77,78
78,478
78,435
78,380
78,206
429,396
429,231
429,108
429,84
429,368
79,184
79,278
79,239
79,405
79,340
79,275
481,232
481,213
481,381
481,461
481,147
189,439
189,198
189,264
189,289
81,202
81,425
81,223
81,319
169,90
169,320
169,471
169,105
169,364
82,268
82,239
82,352
82,210
83,118
83,394
83,323
83,202
83,495
84,405
84,383
84,436
474,382
474,362
474,410
474,384
474,151
474,448
85,416
85,166
85,190
85,382
85,280
85,343
86,220
86,392
86,338
86,152
86,317
87,365
87,333
87,179
87,147
87,178
87,436
88,244
88,473
88,277
423,223
423,492
423,243
423,182
423,121
89,138
89,475
89,459
268,188
268,105
268,321
393,118
393,332
393,237
90,191
90,278
90,336
90,305
90,187
91,418
91,105
91,281
91,390
91,419
91,340
92,255
92,363
92,337
92,371
93,476
93,243
93,263
93,258
93,221
131,173
131,366
131,416
131,185
131,384
131,432
131,186
131,287
94,140
94,404
94,277
94,114
94,345
94,214
138,461
138,283
138,374
138,293
381,249
