node1,node2
0,395
0,1
0,492
0,266
0,358
0,29
1,158
1,27
1,238
1,215
1,28
499,275
499,117
499,453
499,160
499,317
499,498
2,11
2,131
2,16
2,421
2,308
2,180
2,367
2,285
498,288
498,105
498,364
498,481
498,32
3,365
3,163
3,181
3,358
3,468
3,90
497,207
497,357
497,420
497,266
497,320
497,109
4,427
4,417
4,165
4,70
4,43
367,308
367,236
367,180
367,131
367,11
367,474
367,285
367,76
5,77
5,324
5,57
5,13
5,124
11,131
11,16
11,474
11,85
11,180
11,421
272,263
272,75
272,261
272,293
272,87
272,460
61,230
61,10
61,139
61,376
61,35
61,471
6,78
6,394
6,183
6,332
6,130
6,147
6,99
16,131
16,255
16,85
16,285
16,76
16,474
7,359
7,192
7,165
7,430
7,396
458,99
458,188
458,20
458,19
458,101
458,429
458,229
8,485
8,280
8,43
8,165
8,89
63,468
63,82
63,357
63,253
63,299
63,418
329,252
329,315
329,384
229,22
229,100
229,12
229,129
229,483
229,326
9,227
9,351
9,176
9,156
9,249
9,269
10,316
10,276
10,310
10,88
10,175
172,207
172,389
172,476
172,405
172,174
172,25
12,429
12,19
12,337
12,322
12,250
12,137
443,293
443,265
443,224
443,176
443,152
443,391
296,337
296,112
296,161
296,22
296,31
296,119
296,311
14,465
14,59
14,19
14,369
14,483
14,107
14,148
408,383
408,71
408,365
408,487
408,426
408,128
197,430
197,280
197,427
197,151
197,34
13,292
13,477
13,281
13,201
15,496
15,21
15,490
15,317
15,278
15,168
279,214
279,259
279,211
279,305
279,155
279,128
236,308
236,414
236,76
236,421
236,342
236,180
236,99
17,394
17,20
17,429
17,208
17,78
17,338
17,31
44,114
44,174
44,198
44,263
44,211
44,58
18,411
18,328
18,484
18,192
18,165
19,445
19,91
19,208
19,123
431,235
431,62
431,333
431,94
431,449
431,434
20,101
20,107
20,338
20,110
20,237
466,113
466,148
466,455
466,495
466,394
466,99
466,286
80,365
80,323
80,481
80,345
80,256
80,154
21,24
21,409
21,351
21,26
21,352
22,354
22,137
22,46
22,112
22,150
328,125
328,324
328,377
328,218
23,30
23,135
23,152
23,301
23,29
23,24
358,213
358,420
358,380
358,460
24,241
24,139
24,210
24,406
25,299
25,340
25,260
25,339
25,158
354,495
354,465
354,150
354,112
354,318
354,144
26,298
26,376
26,460
26,312
26,441
27,299
27,39
27,446
27,84
27,428
28,404
28,240
28,175
28,380
28,69
29,275
29,86
29,493
29,48
30,446
30,205
30,58
30,261
30,388
31,250
31,286
31,425
31,270
31,59
32,378
32,423
32,297
32,98
32,361
33,73
33,240
33,204
33,79
33,463
33,341
34,325
34,45
34,359
34,141
284,196
284,203
284,399
284,92
284,212
35,228
35,297
35,265
35,93
35,154
36,162
36,221
36,267
36,290
36,42
36,380
286,100
286,371
286,400
286,374
286,68
195,361
195,409
195,347
195,52
195,360
195,60
37,305
37,347
37,422
37,389
37,376
37,245
38,493
38,187
38,246
38,276
38,156
38,241
349,306
349,124
349,313
349,424
349,396
39,83
39,437
39,128
39,310
39,348
40,138
40,299
40,79
40,69
40,472
40,168
41,369
41,400
41,438
41,338
41,146
41,371
41,270
42,479
42,277
42,486
42,133
42,178
342,414
342,76
342,474
342,308
342,285
342,255
342,130
43,356
43,411
43,292
193,126
193,403
193,136
193,463
193,268
193,184
45,280
45,49
45,417
45,92
46,283
46,314
46,234
46,113
46,233
46,144
47,453
47,353
47,426
47,138
47,294
47,260
48,376
48,327
48,409
48,435
48,345
49,77
49,201
49,325
49,462
406,364
406,435
406,264
406,490
406,388
50,390
50,359
50,313
50,66
50,331
51,258
51,471
51,391
51,246
51,383
51,389
101,107
101,429
101,465
101,400
101,455
52,160
52,323
52,346
52,73
52,171
241,243
241,74
241,222
241,175
53,386
53,220
53,187
53,418
53,276
53,375
54,385
54,473
54,67
54,434
54,346
54,387
55,107
55,237
55,242
55,447
55,183
55,148
55,425
56,488
56,290
56,199
56,224
56,256
56,187
369,144
369,400
369,118
369,495
369,146
57,64
57,186
57,306
57,280
58,457
58,479
58,89
58,475
266,309
266,222
266,117
266,214
59,118
59,103
59,371
59,234
59,146
60,138
60,402
60,81
60,247
60,167
62,98
62,168
62,170
62,275
62,419
454,381
454,83
454,434
454,312
454,69
454,111
180,255
180,414
180,421
180,76
64,206
64,368
64,444
64,324
65,441
65,339
65,392
65,446
65,71
65,247
66,415
66,273
66,196
66,451
67,353
67,225
67,404
67,219
67,275
438,113
438,188
438,270
438,118
438,250
438,110
68,110
68,283
68,147
68,130
68,91
68,270
69,232
69,248
69,433
70,379
70,491
70,201
70,192
71,372
71,301
71,346
71,202
330,460
330,276
330,230
330,89
330,334
330,191
72,228
72,248
72,428
72,235
72,178
72,413
465,326
465,147
465,143
465,371
73,211
73,204
73,268
73,320
74,122
74,264
74,217
74,471
74,307
75,232
75,391
75,87
75,355
75,94
76,85
76,474
76,131
77,206
77,350
77,186
78,445
78,425
78,429
78,113
78,104
429,326
429,283
79,351
79,321
79,198
79,126
481,348
481,372
481,428
481,176
189,227
189,253
189,294
189,154
189,487
189,409
81,243
81,84
81,288
81,381
81,226
169,268
169,351
169,261
169,323
169,467
169,361
82,391
82,251
82,162
82,265
82,226
83,97
83,476
83,392
83,116
84,419
84,245
84,122
84,490
474,85
474,255
474,421
85,131
85,421
85,414
85,255
86,138
86,468
86,191
86,347
86,140
87,290
87,472
87,422
87,341
88,480
88,158
88,175
88,259
88,344
423,219
423,476
423,136
423,373
423,365
89,225
89,128
89,348
268,262
268,334
268,222
393,452
393,335
393,478
393,411
393,359
90,404
90,114
90,243
90,265
90,216
91,200
91,318
91,425
91,397
91,483
92,417
92,430
92,280
93,228
93,159
93,121
93,230
93,492
131,414
131,285
94,457
94,232
94,96
94,294
138,490
138,323
381,434
381,317
381,450
381,345
95,237
95,137
95,150
95,129
95,183
95,119
95,270
96,365
96,267
96,364
96,434
96,294
97,152
97,467
97,336
97,117
97,269
98,475
98,461
98,420
98,300
451,127
451,124
451,206
451,390
99,371
99,470
99,447
100,104
100,242
100,425
100,455
100,234
102,319
102,157
102,353
102,156
102,488
102,307
103,233
103,394
103,326
103,397
103,129
103,113
124,356
124,366
104,322
104,119
104,314
104,374
104,318
105,158
105,109
105,232
105,413
105,459
106,289
106,254
106,219
106,231
106,156
106,264
164,274
164,281
164,303
164,382
164,271
107,338
107,447
107,137
269,441
269,278
269,224
269,290
108,190
108,411
108,366
108,343
108,287
109,204
109,420
109,441
109,372
110,233
110,237
110,137
110,322
318,200
318,123
318,363
318,143
281,127
281,303
281,212
111,153
111,238
111,139
111,426
111,372
112,188
112,314
112,374
112,161
113,150
113,483
422,216
422,114
422,179
422,319
114,202
114,227
114,117
115,194
115,253
115,352
115,496
115,402
115,439
390,462
390,415
390,273
116,168
116,353
116,232
116,132
116,215
117,291
117,487
118,143
118,495
118,148
118,250
119,208
119,148
119,183
119,374
120,415
120,185
120,313
120,482
120,478
162,459
162,133
162,419
162,492
121,202
121,289
121,227
121,163
121,312
122,317
122,490
122,258
122,389
129,495
129,237
129,363
129,188
185,456
185,452
185,304
185,379
123,374
123,440
123,147
123,455
123,400
400,146
400,137
125,350
125,203
125,343
125,416
126,450
126,198
126,246
126,487
183,144
183,234
183,308
292,430
292,448
292,432
127,484
127,166
127,190
128,353
128,336
130,208
130,337
130,142
130,397
132,364
132,155
132,282
132,336
132,403
133,375
133,179
133,339
133,471
366,412
366,415
366,166
134,178
134,254
134,340
134,191
134,167
134,352
482,306
482,206
482,274
482,362
135,261
135,435
135,428
135,355
135,433
136,258
136,475
136,159
136,376
137,425
