node1,node2
255,367
255,110
255,337
255,421
255,414
255,229
255,180
255,419
255,397
255,338
255,234
255,22
255,342
255,131
255,85
255,371
255,146
255,474
255,143
255,93
255,188
255,139
255,156
255,398
255,65
255,303
255,290
255,50
255,327
255,351
255,57
255,105
255,365
255,372
255,294
255,375
255,443
255,487
255,493
367,31
367,2
367,110
367,337
367,421
367,414
367,11
367,180
367,419
367,308
367,397
367,22
367,109
367,25
367,285
367,400
367,35
367,392
367,458
367,113
367,314
367,394
367,425
367,16
367,336
367,103
367,72
367,37
367,361
367,318
367,130
367,256
367,157
367,53
367,376
367,232
367,187
367,264
367,52
367,203
367,205
367,242
367,209
367,168
367,483
367,240
367,248
367,71
367,278
367,254
367,300
367,39
367,321
367,323
367,8
367,327
367,74
367,346
367,353
367,403
367,360
367,149
367,365
367,368
367,387
367,62
367,396
367,416
367,424
367,153
367,461
367,40
367,469
367,484
367,499
110,2
110,22
110,83
110,473
110,69
110,124
337,2
337,76
337,440
337,1
337,285
337,343
337,176
337,114
337,315
337,49
337,197
337,273
337,486
421,2
421,11
421,229
421,326
421,131
421,371
421,28
421,250
421,12
421,113
421,20
421,16
421,24
421,19
421,445
421,82
421,237
421,117
421,183
421,470
421,122
421,345
421,125
421,162
421,179
421,219
421,398
421,21
421,298
421,304
421,92
421,70
421,364
421,32
421,373
421,375
421,273
421,439
421,448
421,415
421,456
421,413
414,2
414,236
414,326
414,308
414,342
414,440
414,101
414,392
414,374
414,129
414,429
414,332
414,78
414,296
414,340
414,59
414,95
414,237
414,183
414,0
414,130
414,157
414,9
414,224
414,161
414,159
414,194
414,170
414,187
414,211
414,226
414,151
414,259
414,295
414,173
414,260
414,341
414,344
414,360
414,320
414,195
414,253
414,121
414,498
229,11
229,236
229,1
229,30
229,233
229,435
229,287
229,147
229,161
229,243
229,281
229,265
229,460
180,2
180,440
180,371
180,400
180,257
180,148
180,93
180,116
180,247
180,63
180,194
180,182
180,206
180,213
180,244
180,295
180,221
180,450
419,236
419,466
397,2
397,338
397,311
397,101
397,97
397,363
397,59
397,95
397,139
397,91
397,163
397,242
397,266
397,185
397,64
397,468
397,478
338,326
338,342
338,438
338,123
338,474
338,455
338,135
338,202
338,430
338,483
338,325
338,387
338,389
338,29
338,280
234,2
234,308
234,455
234,177
234,301
234,313
22,55
22,425
22,270
22,19
22,435
22,133
22,189
22,349
342,12
342,41
342,374
342,354
342,61
342,257
342,237
342,345
342,306
342,67
342,52
342,202
342,259
342,4
342,305
342,329
342,310
342,13
131,236
131,85
131,438
131,392
131,146
131,363
131,322
131,354
131,30
131,119
131,115
131,187
131,227
131,155
131,301
131,4
131,344
131,437
131,459
85,236
85,458
85,465
85,425
85,495
