node1,node2
267,56
267,205
267,406
267,109
267,497
267,26
267,462
267,48
267,52
267,391
267,422
267,84
267,303
267,177
267,308
267,180
267,172
267,451
267,374
267,468
267,426
267,135
267,234
267,60
267,4
267,445
267,343
267,63
267,183
267,379
267,16
267,68
267,95
267,295
267,467
267,80
267,141
267,301
267,186
56,211
56,336
56,205
56,406
56,109
56,497
56,15
56,462
56,48
56,281
56,52
56,84
56,79
56,482
56,58
56,437
56,353
56,376
56,370
56,85
56,130
56,395
56,40
56,438
56,67
56,181
56,386
56,463
56,465
56,296
56,475
56,345
56,169
56,182
56,452
56,100
56,242
56,237
56,321
56,363
56,199
56,150
56,29
56,262
56,399
56,412
56,496
56,400
56,440
56,223
56,375
56,239
56,285
56,218
56,219
56,183
56,366
56,447
56,306
56,413
56,480
56,105
56,95
56,433
56,90
56,258
56,404
56,484
56,112
56,110
56,498
56,275
56,33
56,352
56,249
205,336
205,84
205,163
205,454
205,268
205,51
406,336
406,313
406,191
406,25
406,58
406,108
406,326
406,392
406,401
406,380
406,377
406,154
406,393
109,336
109,15
109,26
109,11
109,177
109,180
109,171
109,424
109,3
109,85
109,227
109,438
109,214
109,238
109,94
109,22
109,41
109,315
109,483
109,129
109,473
109,210
109,476
109,189
109,341
109,39
109,60
109,91
109,140
109,175
109,120
109,432
109,372
109,287
109,203
109,80
109,154
109,157
109,166
109,77
109,474
109,318
497,336
497,369
497,11
497,281
497,303
497,191
497,362
497,376
497,481
497,427
497,196
497,228
497,434
497,64
497,347
497,487
497,201
497,41
497,483
497,439
497,475
497,169
497,471
497,381
497,111
497,415
497,270
497,446
497,242
497,8
497,361
497,118
497,460
497,97
497,43
497,383
497,128
497,17
497,480
497,252
497,340
497,193
497,495
497,298
26,15
26,369
26,25
26,70
26,335
26,232
26,28
26,365
26,111
26,346
26,491
26,1
26,274
462,336
462,191
462,180
462,437
462,387
462,430
462,468
462,418
462,289
462,146
462,270
462,24
462,197
462,44
462,428
462,97
462,327
462,350
48,369
48,192
52,336
52,391
52,407
52,362
52,307
52,411
52,487
52,201
52,135
52,30
52,310
52,150
52,292
52,57
52,240
52,464
52,220
391,11
391,303
391,443
391,195
391,451
391,45
391,283
391,92
391,431
391,399
391,153
391,90
391,435
391,414
391,161
422,336
422,281
422,45
422,356
422,254
422,264
84,88
84,40
84,76
84,238
84,232
84,190
84,316
84,224
303,3
303,478
303,481
303,107
303,145
303,387
303,41
303,210
303,119
303,429
303,321
303,92
303,460
303,50
303,106
303,344
303,82
303,132
177,369
177,308
177,443
177,376
177,172
177,411
177,87
177,107
177,70
177,212
177,55
177,242
177,257
177,124
177,254
177,50
177,17
177,65
177,14
308,369
308,370
308,86
308,40
308,477
308,61
308,152
308,27
308,439
308,30
308,457
308,89
308,460
308,351
308,151
308,63
308,402
308,269
180,441
180,473
180,486
180,401
180,272
180,466
172,11
172,411
172,317
172,261
172,410
172,361
172,71
172,142
172,492
172,35
451,482
451,13
451,212
451,335
451,226
451,147
451,190
451,423
451,221
451,31
451,461
451,225
451,168
451,37
451,42
451,68
451,456
451,133
451,178
451,458
451,248
451,329
451,162
451,408
374,171
374,107
374,6
374,146
374,149
374,485
374,188
374,295
374,442
374,20
374,10
468,407
468,399
468,200
426,3
426,230
426,471
426,124
426,367
426,160
426,405
135,86
135,379
135,499
234,87
234,41
234,126
234,288
60,368
60,250
4,403
4,342
4,366
4,248
4,174
445,8
445,254
343,25
343,81
63,41
183,191
183,75
379,370
16,15
16,230
68,268
68,456
68,215
95,313
295,91
295,359
467,278
467,91
467,233
467,329
80,369
141,15
141,226
301,437
301,274
301,354
186,11
186,72
211,313
211,441
211,286
211,145
211,296
211,368
211,134
211,74
211,97
313,336
313,407
313,482
313,81
313,230
313,472
313,427
313,181
313,477
313,210
313,345
313,381
313,229
313,96
313,326
313,29
313,417
313,91
313,43
313,432
313,203
313,101
313,104
441,25
441,130
441,138
441,6
441,49
441,452
441,485
441,18
286,15
286,81
286,454
286,356
286,333
286,325
286,35
286,338
145,362
145,27
145,310
296,76
296,459
296,440
296,349
296,202
296,413
368,424
368,238
368,455
134,387
134,324
134,128
74,15
74,438
74,350
336,15
336,369
336,281
336,79
336,482
336,171
336,25
336,3
336,81
336,88
336,138
336,419
336,328
