node1,node2
76,367
76,483
76,250
76,342
76,308
76,22
76,11
76,254
76,19
76,458
76,40
76,400
76,131
76,474
76,414
76,237
76,99
76,255
76,394
76,93
76,161
76,139
76,156
76,163
76,344
76,303
76,198
76,213
76,327
76,204
76,218
76,89
76,7
76,372
76,116
76,77
76,443
76,487
76,493
367,445
367,2
367,483
367,250
367,342
367,308
367,16
367,11
367,254
367,421
367,19
367,400
367,69
367,210
367,85
367,55
367,35
367,118
367,283
367,12
367,123
367,104
367,142
367,285
367,494
367,314
367,190
367,42
367,105
367,137
367,374
367,481
367,5
367,154
367,199
367,373
367,187
367,226
367,244
367,203
367,261
367,286
367,209
367,217
367,371
367,240
367,248
367,10
367,278
367,60
367,225
367,320
367,321
367,323
367,29
367,327
367,79
367,346
367,353
367,355
367,360
367,361
367,7
367,368
367,149
367,316
367,403
367,416
367,424
367,66
367,437
367,300
367,469
367,484
367,499
483,2
483,400
483,83
483,205
483,181
483,57
250,2
250,180
250,32
250,147
250,85
250,359
250,4
250,33
250,271
250,476
250,49
250,127
250,172
342,2
342,16
342,22
342,6
342,474
342,237
342,337
342,234
342,465
342,12
342,130
342,285
342,52
342,100
342,332
342,495
342,438
342,117
342,129
342,208
342,122
342,258
342,125
342,173
342,179
342,219
342,163
342,297
342,298
342,304
342,315
342,336
342,364
342,175
342,186
342,77
342,127
342,439
342,448
342,450
342,456
342,87
308,2
308,236
308,6
308,421
308,131
308,32
308,363
308,118
308,119
308,110
308,229
308,455
308,68
308,95
308,51
308,146
308,397
308,438
308,129
308,109
308,374
308,5
308,15
308,102
308,311
308,159
308,106
308,170
308,187
308,211
308,72
308,196
308,259
308,295
308,92
308,339
308,341
308,426
308,360
308,392
308,441
308,158
308,357
308,498
22,16
22,236
22,147
22,1
22,103
22,422
22,126
22,440
22,311
22,243
22,13
22,265
22,460
11,2
11,32
11,237
11,55
11,48
11,242
11,93
11,43
11,275
11,182
11,106
11,195
11,206
11,88
11,269
11,295
11,370
11,267
254,236
254,369
19,2
19,458
19,322
19,363
19,47
19,107
19,146
19,397
19,139
19,188
19,65
19,286
19,396
19,334
19,9
19,468
19,478
458,6
458,131
458,326
458,338
458,255
458,97
458,114
458,202
458,215
458,371
458,325
458,149
458,375
458,385
458,490
40,2
40,421
40,97
40,177
40,176
40,313
400,200
400,142
400,447
400,100
400,422
400,133
400,90
400,23
131,465
131,41
131,119
131,59
131,61
131,48
131,438
131,258
131,71
131,81
131,244
131,202
131,259
131,260
131,389
131,329
131,174
131,419
474,236
474,414
474,326
474,118
474,99
474,107
474,183
474,59
474,1
474,144
474,134
474,187
474,227
474,84
474,176
474,260
474,426
474,452
474,459
414,236
414,283
414,150
414,142
414,466
414,14
414,185
414,74
414,109
414,188
414,193
414,230
414,259
414,277
414,288
414,213
414,433
414,491
237,354
237,122
237,157
237,271
237,431
237,141
99,6
99,107
99,96
99,140
99,132
99,72
99,262
99,302
99,347
99,386
255,210
255,62
255,144
255,103
255,53
255,189
255,133
255,454
255,220
255,239
255,238
255,34
255,26
255,319
255,305
255,89
255,410
255,280
255,395
255,435
255,345
255,430
255,471
255,480
394,337
394,59
394,24
394,182
394,166
394,135
394,251
394,372
394,340
394,405
394,37
93,322
93,371
93,290
161,465
