node1,node2
0,1
0,79
1,11
2,11
2,4
2,76
11,6
11,10
11,13
11,15
11,116
4,3
4,10
4,5
4,7
6,5
10,3
10,12
13,14
15,16
7,8
7,29
12,14
8,74
29,16
29,25
29,95
9,68
16,112
16,17
16,30
16,78
25,93
37,36
37,64
37,79
14,32
14,18
14,77
32,36
18,17
18,33
18,19
36,33
36,34
36,38
36,39
112,31
30,28
30,31
33,35
33,42
19,68
31,22
31,26
31,113
28,76
35,34
42,43
20,21
20,69
21,22
22,24
22,55
24,26
24,99
23,69
23,71
23,53
26,114
26,27
113,114
69,73
69,70
69,60
71,70
68,46
68,67
68,87
68,27
73,74
74,117
74,45
74,59
70,72
64,63
64,67
64,58
38,39
39,40
39,41
43,44
40,91
41,48
41,93
63,60
63,62
65,48
65,66
65,53
65,93
67,115
67,91
48,44
48,46
48,47
48,49
48,50
48,88
48,100
44,76
46,45
47,45
49,56
50,57
50,51
53,52
53,54
53,101
76,75
76,77
76,81
61,59
61,60
61,66
61,95
56,55
57,55
51,52
58,54
58,59
58,60
58,62
58,111
54,55
55,109
80,79
80,99
79,78
79,96
79,97
79,98
117,75
81,82
81,95
96,95
97,99
98,99
95,94
82,83
82,84
99,100
99,102
99,103
99,105
93,92
93,94
83,84
84,88
84,85
84,87
88,89
88,91
85,86
89,90
91,90
91,101
91,92
102,104
102,109
102,103
103,104
105,104
105,106
104,106
104,107
109,108
109,110
107,108
