node1,node2
0,1
0,2
0,6
0,11
0,12
0,15
0,18
0,19
0,29
0,33
0,35
0,38
0,39
0,50
0,61
0,62
0,65
0,67
0,68
0,71
0,73
0,83
0,84
0,85
0,86
0,88
0,92
0,93
0,94
0,101
0,103
0,112
0,78
0,36
0,57
0,43
0,69
0,13
0,5
0,44
0,51
1,51
1,19
1,3
2,19
2,101
6,33
6,101
6,51
6,11
6,12
6,99
6,50
6,58
6,68
11,8
11,12
11,19
11,20
11,29
11,33
11,35
11,36
11,43
11,44
11,49
11,51
11,54
11,56
11,57
11,60
11,61
11,62
11,64
11,66
11,68
11,70
11,76
11,85
11,87
11,88
11,93
11,103
11,101
11,69
11,78
11,5
11,13
12,5
12,8
12,13
12,14
12,15
12,17
12,18
12,19
12,28
12,29
12,31
12,33
12,35
12,38
12,41
12,43
12,44
12,46
12,51
12,52
12,53
12,56
12,60
12,61
12,62
12,65
12,68
12,69
12,73
12,77
12,84
12,87
12,88
12,92
12,93
12,96
12,97
12,101
12,103
12,108
12,115
12,57
12,40
12,54
12,78
12,36
13,35
13,19
13,101
13,29
13,78
13,38
13,33
13,57
13,62
13,91
13,64
15,51
15,21
15,29
15,62
15,47
15,83
15,70
15,108
18,103
18,51
18,29
18,62
18,88
18,77
18,32
18,61
18,47
19,17
19,20
19,23
19,24
19,28
19,29
19,33
19,36
19,39
19,43
19,44
19,51
19,52
19,53
19,54
19,60
19,62
19,64
19,65
19,66
19,67
19,69
19,73
19,82
19,83
19,84
19,86
19,87
19,91
19,93
19,97
19,101
19,106
19,109
19,78
19,40
19,92
19,57
19,38
19,35
29,25
29,28
29,33
29,37
29,38
29,44
29,46
29,49
29,51
29,56
29,60
29,61
29,62
29,66
29,68
29,70
29,71
29,73
29,79
29,85
29,88
29,91
29,92
29,93
29,100
29,101
29,103
29,104
29,107
29,5
29,57
29,35
29,36
29,54
29,40
29,43
29,78
29,69
33,35
33,38
33,51
33,62
33,67
33,68
33,101
33,43
33,5
33,40
33,57
33,92
33,36
35,8
35,9
35,38
35,43
35,44
35,46
35,49
35,51
35,56
35,61
35,62
35,64
35,69
35,70
35,74
35,83
35,85
35,86
35,87
35,93
35,101
35,54
35,40
35,92
35,57
35,36
35,5
38,44
38,62
38,57
38,93
38,101
38,51
38,69
38,78
39,32
39,51
39,55
39,62
39,46
44,62
44,78
44,51
44,63
44,64
46,51
46,47
46,62
46,55
46,45
46,70
46,3
50,76
50,62
50,96
51,43
51,49
51,52
51,56
51,60
51,61
51,62
51,64
51,65
51,66
51,67
51,69
51,70
51,72
51,77
51,85
51,88
51,89
51,92
51,94
51,97
51,101
51,103
51,105
51,108
51,54
51,78
51,93
51,5
51,36
51,40
53,101
53,62
53,32
53,42
53,61
53,60
53,107
61,67
62,4
62,7
62,10
62,14
62,16
62,17
62,31
62,43
62,49
62,63
62,65
62,66
62,67
62,69
62,70
62,71
62,73
62,76
62,84
62,88
62,92
62,93
62,94
62,101
62,109
62,54
62,40
62,78
62,36
62,64
64,43
64,101
64,36
64,40
64,5
65,60
65,101
65,7
67,41
67,101
67,74
67,22
67,80
68,20
68,81
68,22
68,56
68,72
69,54
69,43
69,36
70,43
70,56
70,76
70,20
71,101
83,101
83,104
83,115
84,80
84,106
84,47
84,20
84,109
84,99
84,116
85,10
85,43
85,111
85,9
86,101
86,105
86,106
87,27
87,110
88,90
88,10
88,63
92,101
92,43
92,36
93,43
93,101
93,78
93,54
94,101
94,102
100,82
100,81
101,54
101,66
101,74
101,40
101,43
101,5
101,36
101,78
103,47
112,14
112,110
112,75
112,4
115,111
43,49
43,56
43,78
43,36
43,57
43,5
43,40
43,26
20,32
20,45
20,52
20,4
20,74
36,30
36,54
49,41
54,57
54,40
56,30
56,109
56,66
57,78
60,97
60,32
66,99
5,78
5,40
9,77
10,28
10,58
14,98
16,25
16,30
16,82
28,32
31,113
52,79
52,102
77,89
23,104
23,90
24,90
107,59
107,114
3,55
25,90
79,34
79,22
104,48
78,75
89,58
95,75
81,110
80,111
80,26
22,113
26,113
26,27
45,113
111,58
117,75
30,99
98,113
