node1,node2
0,9
0,7
9,75
7,75
7,4
75,111
75,10
75,13
75,25
75,28
4,98
4,10
4,5
4,17
111,5
10,98
10,12
13,14
25,16
17,59
17,29
12,14
14,16
14,50
14,18
16,29
16,69
16,87
16,8
59,15
29,113
29,45
113,23
45,36
45,64
69,31
87,18
8,110
8,31
23,22
23,26
36,50
36,33
36,34
36,38
36,39
64,6
64,65
64,67
18,33
18,19
33,35
33,82
19,96
34,35
38,39
39,40
39,47
31,22
31,26
31,71
110,27
82,43
96,105
22,105
22,97
26,114
26,27
71,114
43,44
97,83
97,72
83,68
83,106
83,74
83,70
72,70
68,48
68,46
68,67
68,74
68,76
106,74
74,76
74,94
70,42
48,47
48,65
48,44
48,46
48,89
48,85
48,73
48,53
46,112
67,24
67,3
76,117
76,30
76,79
76,107
94,117
6,60
6,62
65,61
65,52
40,47
44,112
60,61
60,58
60,103
62,58
61,103
61,52
24,79
89,112
85,56
73,57
73,51
53,41
53,58
53,54
53,55
56,55
57,55
51,41
58,54
58,55
58,103
54,55
30,78
79,78
79,20
79,100
79,2
79,95
107,21
107,95
20,95
100,99
2,99
95,116
95,32
21,108
21,84
99,91
99,116
99,86
99,102
99,93
99,37
116,91
116,92
116,32
108,84
84,88
84,11
84,63
91,88
91,66
91,101
91,92
86,101
102,104
102,109
102,93
93,104
37,104
37,49
88,63
88,77
11,115
77,66
104,49
104,1
109,81
109,90
109,80
1,81
