node1,node2
12,1
12,2
1,11
2,11
2,57
11,6
11,10
11,51
11,15
11,116
57,3
57,10
57,13
57,7
6,13
10,3
10,16
51,95
15,58
7,8
7,29
16,95
95,58
95,32
95,18
58,29
58,112
58,17
58,30
8,9
29,25
29,37
25,24
37,36
37,64
112,14
17,18
30,28
30,14
24,22
24,26
36,32
36,33
36,34
36,74
36,39
64,63
64,65
64,67
18,33
18,99
33,104
33,42
99,20
34,104
74,39
39,19
39,41
14,22
14,26
14,113
28,27
42,5
20,21
22,21
22,23
26,114
26,27
113,114
5,62
23,69
23,71
69,68
69,73
69,48
69,70
71,70
68,92
68,46
68,67
68,48
68,43
73,48
48,43
48,117
70,72
92,41
92,65
92,62
92,46
92,47
92,49
92,50
92,54
46,45
67,80
67,115
43,75
43,77
43,101
43,81
117,75
63,60
63,4
65,61
65,66
19,41
62,45
60,61
60,79
60,59
4,79
61,59
61,66
80,101
47,45
49,56
50,76
50,38
54,52
54,79
54,53
54,78
56,78
76,78
38,52
79,53
79,78
79,59
53,78
77,44
101,44
101,96
101,97
101,98
101,91
81,82
81,91
96,91
97,55
98,55
91,93
91,94
82,83
82,84
55,0
55,93
55,100
55,102
55,103
55,105
93,0
93,31
93,94
83,84
84,88
84,85
84,87
0,88
0,90
0,40
0,31
100,40
102,35
102,109
102,103
103,35
105,35
105,106
88,87
88,89
85,86
89,90
35,106
35,107
109,108
109,110
109,111
107,108
