node1,node2
1110,569831
1110,206637
1110,974042
1110,1257035
569831,500514
569831,17290
569831,443209
569831,1533760
569831,1560836
569831,400872
569831,118515
569831,768561
569831,271604
569831,237500
569831,556970
569831,842292
569831,1105522
569831,1430205
206637,1061290
206637,54487
206637,597538
206637,212719
206637,1248676
206637,554817
206637,1107479
206637,388005
206637,1394813
206637,1130118
206637,1387473
206637,228511
206637,187118
206637,1152740
206637,982908
974042,819585
974042,770705
974042,57166
974042,895421
974042,515994
974042,904522
974042,1553849
974042,411730
974042,223058
974042,755272
974042,170479
1257035,1520430
1257035,825785
1257035,61169
1257035,403322
1257035,645906
1257035,756399
1257035,1123511
1257035,1520793
1257035,576402
1257035,1106081
1257035,1361101
1257035,901708
1257035,507675
1257035,263661
1257035,257926
1257035,506908
1257035,708128
1257035,628294
1257035,265993
1257035,701596
1257035,1024849
77742,256596
256596,24108
256596,985575
256596,1415077
256596,1518687
256596,1359119
256596,1261660
256596,799520
256596,37913
256596,379446
256596,307501
256596,855712
256596,1578829
256596,305077
256596,651434
256596,1058169
256596,247329
256596,1426512
256596,1018108
256596,1256461
256596,808486
256596,1078045
256596,1342732
256596,1473912
256596,118390
256596,513318
256596,882374
486543,277913
486543,1466107
486543,1191201
486543,1207294
486543,1239782
277913,1197
277913,204906
277913,561611
277913,15878
277913,1149851
277913,390846
277913,142897
277913,829446
277913,1278079
277913,512097
277913,1227000
277913,54714
277913,65082
277913,206143
277913,353808
277913,359170
277913,479778
277913,591707
277913,1154212
277913,1318400
277913,1465435
277913,1272676
277913,1443470
277913,1417442
277913,443212
277913,877172
277913,400682
277913,516164
277913,340878
277913,1527679
277913,1114915
277913,596779
277913,1378497
277913,1231448
277913,1419382
277913,811390
277913,816248
277913,1552731
277913,366345
277913,634332
277913,320914
277913,1011512
277913,1174591
277913,1247867
277913,285241
277913,1293271
277913,1170504
277913,460860
277913,1050473
277913,778008
277913,633566
277913,158261
277913,1417584
277913,1582171
277913,255444
277913,1355637
277913,1157542
277913,1258813
277913,707437
277913,477964
1466107,10332
1466107,680278
1466107,1042805
1466107,263574
1466107,90326
1466107,538591
1466107,783398
1466107,136776
