node1,node2,network
1110,77742,0
1110,486543,0
1110,1056717,0
1110,1216765,0
486543,146720,0
486543,462497,0
486543,718805,0
486543,903306,0
1056717,275698,0
1056717,1216765,0
1056717,101132,0
1216765,108609,0
1216765,150993,0
146720,462497,0
718805,903306,0
903306,10635,0
903306,483473,0
903306,962173,0
903306,1116760,0
903306,1129981,0
275698,140950,0
275698,707437,0
101132,288866,0
150993,986347,0
150993,77949,0
150993,545234,0
150993,919660,0
150993,816716,0
150993,746708,0
150993,1174129,0
150993,1551756,0
150993,1114475,0
150993,126402,0
1197,330558,0
1197,709062,0
1197,803811,0
1197,1398597,0
330558,782221,0
330558,932145,0
330558,1511928,0
709062,340815,0
709062,375910,0
709062,516288,0
709062,707456,0
709062,735348,0
709062,765885,0
709062,793756,0
709062,803811,0
709062,1272766,0
709062,1398597,0
803811,150032,0
1398597,913703,0
1398597,1504057,0
782221,95102,0
782221,464784,0
782221,1129419,0
782221,443209,0
782221,585749,0
782221,983102,0
782221,1299770,0
932145,1586327,0
932145,51347,0
932145,723653,0
932145,1106081,0
932145,120709,0
932145,124492,0
932145,266696,0
932145,1077703,0
932145,1518285,0
932145,785664,0
1511928,150032,0
340815,349794,0
340815,735348,0
375910,572548,0
375910,761895,0
375910,1213324,0
516288,79905,0
516288,119019,0
516288,999136,0
516288,1330719,0
516288,908063,0
735348,1272766,0
735348,695097,0
735348,1008634,0
735348,1059966,0
765885,694620,0
765885,341686,0
765885,793756,0
765885,1531248,0
765885,1254800,0
793756,1297647,0
793756,223925,0
1272766,130421,0
1272766,1012970,0
150032,338895,0
913703,850579,0
1504057,109817,0
1504057,307566,0
1504057,1438766,0
1504057,1559748,0
1335,1132391,0
1335,75936,0
1335,942836,0
1335,1093800,0
1335,1445323,0
1335,1154230,0
1335,804991,0
1335,479047,0
1335,459610,0
1335,750223,0
1335,1156662,0
1335,1025998,0
1335,223282,0
1335,436502,0
1335,1182355,0
1335,812127,0
1335,1413579,0
1335,414417,0
1335,1146144,0
1335,1438224,0
1335,693740,0
1335,1232791,0
1335,1131934,0
1335,11577,0
1335,1067247,0
1335,44319,0
1335,1176898,0
1335,1539280,0
1335,886616,0
1335,277913,0
1335,327514,0
1335,45245,0
1335,621969,0
1335,820906,0
1132391,1131934,0
1132391,1236499,0
1132391,257250,0
1132391,924378,0
1132391,1413209,0
1132391,29239,0
1132391,1209831,0
1132391,388315,0
1132391,1055302,0
1132391,1133462,0
1132391,77968,0
1132391,1413579,0
1132391,1365748,0
1132391,389079,0
75936,175513,0
75936,1422026,0
75936,1133386,0
75936,3504,0
75936,8055,0
75936,257250,0
75936,804991,0
75936,820906,0
75936,1073371,0
75936,277913,0
75936,137540,0
75936,248505,0
75936,470379,0
75936,264593,0
75936,257551,0
75936,1365748,0
75936,126389,0
75936,1579568,0
75936,264496,0
75936,693740,0
75936,1440786,0
75936,468232,0
75936,1009157,0
75936,1569935,0
75936,77968,0
75936,1459583,0
75936,580906,0
75936,1258429,0
75936,303542,0
75936,1396273,0
942836,554000,0
942836,880423,0
942836,67497,0
942836,1193048,0
942836,1482802,0
942836,330434,0
942836,1554289,0
942836,1511370,0
942836,776634,0
942836,1537917,0
942836,71442,0
942836,113517,0
942836,1355780,0
942836,1551084,0
942836,1191339,0
942836,1567862,0
942836,389079,0
942836,189685,0
942836,985552,0
1093800,297872,0
1093800,269784,0
1093800,1122008,0
1093800,744364,0
1093800,1151667,0
1093800,1156662,0
1093800,267335,0
1093800,1262495,0
1093800,111222,0
1093800,390983,0
1093800,156665,0
1093800,1073371,0
1093800,594918,0
1093800,827609,0
1093800,845849,0
1093800,693740,0
1093800,612565,0
1445323,1131934,0
1445323,1040099,0
1445323,1141728,0
1445323,945424,0
1445323,228289,0
1445323,694526,0
1445323,623579,0
1445323,72705,0
1445323,1182426,0
1445323,569305,0
1445323,498028,0
1445323,1469686,0
1445323,483084,0
1445323,395566,0
1445323,998190,0
1445323,899070,0
1154230,1058999,0
1154230,256578,0
1154230,536119,0
1154230,466587,0
1154230,52286,0
1154230,267955,0
1154230,368184,0
1154230,434010,0
1154230,403253,0
1154230,284135,0
1154230,77968,0
1154230,1397788,0
1154230,615569,0
1154230,995680,0
1154230,625243,0
1154230,1420488,0
1154230,189685,0
1154230,266195,0
1154230,588861,0
1154230,13475,0
1154230,614891,0
1154230,374336,0
1154230,1191201,0
1154230,1257035,0
804991,492364,0
804991,1058999,0
804991,98626,0
804991,231190,0
804991,761246,0
804991,226854,0
804991,512015,0
804991,3504,0
804991,989005,0
804991,1107620,0
804991,1350904,0
804991,288204,0
804991,1107024,0
804991,1499403,0
804991,625243,0
804991,140424,0
804991,1156662,0
804991,1396273,0
804991,1459583,0
804991,1379246,0
804991,71442,0
804991,1053503,0
804991,1518962,0
804991,1007004,0
804991,248505,0
804991,1387406,0
804991,768325,0
804991,517376,0
804991,962111,0
804991,10152,0
804991,1041796,0
804991,410266,0
804991,1262219,0
804991,474656,0
804991,1359217,0
804991,265970,0
804991,303837,0
804991,468232,0
804991,623579,0
804991,1420987,0
804991,929014,0
804991,1146144,0
804991,580906,0
804991,820906,0
804991,434348,0
804991,1356292,0
804991,235454,0
804991,611695,0
479047,996197,0
479047,1346236,0
479047,98626,0
479047,158297,0
479047,1338486,0
479047,1436707,0
479047,381315,0
479047,1496225,0
479047,379342,0
479047,592526,0
479047,1379246,0
479047,693740,0
479047,1107024,0
479047,33325,0
479047,1413318,0
479047,649512,0
479047,235454,0
479047,1531296,0
479047,1564452,0
479047,736671,0
479047,898518,0
479047,542410,0
479047,500779,0
479047,1197546,0
479047,64826,0
479047,604045,0
479047,410619,0
479047,1257035,0
479047,614891,0
479047,790701,0
479047,801705,0
459610,304303,0
459610,996197,0
459610,269784,0
459610,545075,0
459610,1122008,0
459610,1017907,0
459610,1203522,0
459610,395566,0
459610,516803,0
459610,1496225,0
459610,388315,0
459610,733816,0
459610,1046888,0
459610,1165757,0
459610,503051,0
459610,403253,0
459610,1499403,0
459610,693740,0
459610,1356292,0
459610,1397788,0
459610,581571,0
459610,923066,0
459610,1420317,0
459610,815213,0
459610,1358950,0
459610,1464746,0
459610,870678,0
459610,673976,0
459610,256671,0
459610,1482118,0
459610,787210,0
459610,580906,0
459610,732094,0
459610,790701,0
459610,325827,0
459610,256596,0
459610,1431269,0
459610,233012,0
459610,229637,0
459610,390983,0
459610,736671,0
459610,246288,0
459610,675367,0
459610,1292886,0
459610,567054,0
750223,492364,0
750223,1341525,0
750223,1133386,0
750223,84136,0
750223,1462731,0
750223,368163,0
750223,485354,0
750223,46494,0
750223,667166,0
750223,351154,0
750223,964323,0
750223,1129772,0
750223,1239782,0
750223,471134,0
750223,495689,0
750223,544269,0
750223,573034,0
750223,1359217,0
750223,572334,0
750223,1469686,0
750223,246288,0
750223,1360494,0
750223,1416131,0
1156662,761339,0
1156662,269784,0
1156662,163245,0
1156662,774135,0
1156662,368163,0
1156662,1496225,0
1156662,644322,0
1156662,1046888,0
1156662,668347,0
1156662,592526,0
1156662,1413579,0
1156662,474656,0
1156662,883275,0
1156662,140424,0
1156662,998190,0
1156662,1133462,0
1156662,216405,0
1156662,1463616,0
1156662,1508729,0
1156662,802680,0
1156662,755929,0
1156662,337779,0
1156662,700530,0
1156662,985600,0
1156662,1017970,0
1156662,950421,0
1156662,1191201,0
1156662,1420987,0
1156662,1440786,0
1156662,10152,0
1025998,134231,0
1025998,466123,0
1025998,16954,0
1025998,1554715,0
1025998,1542031,0
1025998,267955,0
1025998,290801,0
1025998,733816,0
1025998,791937,0
1025998,1482802,0
1025998,807154,0
1025998,535428,0
1025998,1585441,0
1025998,330434,0
1025998,1077760,0
1025998,1206395,0
1025998,77185,0
1025998,410266,0
1025998,807451,0
1025998,289128,0
1025998,870678,0
1025998,588861,0
1025998,1364337,0
1025998,1141728,0
1025998,13475,0
1025998,71442,0
1025998,1288149,0
1025998,580906,0
1025998,934838,0
1025998,623579,0
1025998,904284,0
223282,231190,0
223282,269784,0
223282,31656,0
223282,882422,0
223282,123372,0
223282,329307,0
223282,503051,0
223282,1305928,0
223282,962111,0
223282,159098,0
223282,1531296,0
223282,181697,0
223282,802252,0
223282,389079,0
223282,1543276,0
223282,246288,0
223282,1175615,0
223282,1017970,0
223282,214559,0
223282,264593,0
223282,1168858,0
436502,354616,0
436502,466123,0
436502,1338486,0
436502,612386,0
436502,123372,0
436502,976963,0
436502,1328043,0
436502,1542031,0
436502,59297,0
436502,438893,0
436502,567054,0
436502,807451,0
436502,540275,0
436502,1262495,0
436502,1034542,0
436502,999209,0
436502,1420987,0
436502,67497,0
436502,11854,0
436502,776634,0
436502,1339474,0
436502,1551084,0
436502,1464746,0
436502,736671,0
436502,618693,0
1182355,354616,0
1182355,420908,0
1182355,395566,0
1182355,273554,0
1182355,8055,0
1182355,989005,0
1182355,467052,0
1182355,461118,0
1182355,265970,0
1182355,319490,0
1182355,111222,0
1182355,1312166,0
1182355,611695,0
1182355,395722,0
1182355,1207294,0
1182355,671840,0
1182355,592526,0
1182355,1209831,0
1182355,169171,0
1182355,1339474,0
1182355,214559,0
812127,492364,0
812127,108110,0
812127,826959,0
812127,653544,0
812127,226854,0
812127,612565,0
812127,395566,0
812127,660301,0
812127,1496225,0
812127,104370,0
812127,1542031,0
812127,151451,0
812127,1234378,0
812127,169171,0
812127,1168858,0
812127,802680,0
812127,1129606,0
812127,80724,0
812127,32956,0
812127,118645,0
812127,699212,0
812127,802252,0
812127,608389,0
812127,1560630,0
812127,1543276,0
812127,1301553,0
812127,580906,0
812127,89941,0
1413579,1341525,0
1413579,3504,0
1413579,1487754,0
1413579,84136,0
1413579,1110503,0
1413579,485354,0
1413579,554000,0
1413579,1119176,0
1413579,667166,0
1413579,835818,0
1413579,1305928,0
1413579,59297,0
1413579,1223613,0
1413579,572334,0
1413579,1552800,0
1413579,10152,0
1413579,389055,0
1413579,323161,0
1413579,470379,0
1413579,124719,0
1413579,461118,0
1413579,457527,0
1413579,1292886,0
1413579,448071,0
1413579,148152,0
1413579,579622,0
1413579,923066,0
1413579,199766,0
1413579,1518962,0
1413579,126389,0
1413579,158850,0
1413579,152709,0
1413579,870785,0
1413579,802661,0
