node1,node2,network
1110,569831,0
1110,206637,0
1110,974042,0
1110,1257035,0
77742,457527,0
486543,277913,0
486543,1466107,0
486543,1191201,0
486543,1207294,0
486543,1239782,0
1056717,148152,0
1056717,96051,0
1056717,736671,0
1056717,798202,0
1216765,148152,0
1216765,446603,0
1216765,883275,0
1216765,492364,0
1197,709062,0
1197,277913,0
1197,448071,0
1197,794291,0
330558,1396273,0
330558,1041716,0
330558,540054,0
330558,1269219,0
709062,707456,0
709062,793756,0
709062,803811,0
709062,273554,0
709062,1129772,0
709062,756614,0
709062,236926,0
709062,248505,0
709062,699212,0
709062,468232,0
803811,150032,0
803811,122853,0
1398597,1504057,0
1398597,998190,0
1398597,1554715,0
1398597,1193048,0
1335,1543604,0
1335,25008,0
1335,816716,0
1335,1316177,0
1335,1570420,0
1335,1435105,0
1335,684135,0
1335,1082927,0
1335,1047579,0
1335,885182,0
1335,1095027,0
1335,332456,0
1335,914228,0
1335,244661,0
1335,1450618,0
1335,407126,0
1335,177745,0
1335,1325737,0
1335,44559,0
1335,480587,0
1335,570249,0
1335,915287,0
1335,965800,0
1335,1014627,0
1335,1220739,0
1335,650444,0
1335,908975,0
1335,585350,0
1335,365248,0
1335,1264584,0
1335,796378,0
1335,520381,0
1335,1341459,0
1335,1288223,0
111490,825785,0
111490,598288,0
111490,929020,0
111490,1200643,0
111490,1055008,0
111490,713816,0
111490,239911,0
111490,383037,0
111490,1553140,0
111490,1314242,0
111490,521542,0
111490,1544428,0
111490,589579,0
111490,1509646,0
111490,1133642,0
111490,260038,0
111490,259314,0
111490,1196070,0
111490,1554248,0
111490,146926,0
111490,710079,0
111490,42257,0
111490,1044647,0
111490,1517978,0
111490,1097764,0
111490,1380507,0
111490,255571,0
111490,936034,0
111490,138507,0
111490,1020721,0
111490,883537,0
111490,937164,0
111490,1451586,0
111490,516754,0
111490,1296060,0
111490,1045620,0
111490,889572,0
111490,889766,0
117223,139982,0
117223,965413,0
117223,1108561,0
117223,1476512,0
117223,510793,0
117223,1485512,0
117223,216315,0
117223,837084,0
117223,965237,0
117223,1410542,0
117223,1348680,0
117223,365820,0
117223,780283,0
117223,1049989,0
117223,268596,0
117223,1178696,0
117223,753909,0
117223,985592,0
117223,927287,0
117223,846651,0
117223,205109,0
117223,936335,0
117223,1016611,0
134231,435488,0
134231,1096597,0
134231,1190809,0
134231,1374231,0
134231,252524,0
134231,1252345,0
134231,1109315,0
134231,967495,0
134231,726967,0
134231,406292,0
134231,1586327,0
134231,933090,0
134231,1579375,0
134231,1336153,0
134231,977112,0
134231,649584,0
134231,747315,0
134231,1577781,0
134231,497819,0
134231,1252579,0
134231,557540,0
134231,770705,0
134231,905024,0
134231,1180298,0
134231,430097,0
134231,1035950,0
134231,985272,0
134231,1515452,0
134231,1385134,0
134231,1199879,0
134231,685005,0
134231,845786,0
134231,895421,0
134231,834726,0
134231,1152740,0
134231,1375222,0
134231,934658,0
134231,249392,0
134231,752254,0
134231,951215,0
134231,1274844,0
134231,1573631,0
134231,332177,0
134231,1421175,0
134231,1213324,0
134231,193668,0
297872,598288,0
297872,929020,0
297872,1442886,0
297872,1481666,0
297872,895421,0
297872,1534277,0
297872,170479,0
297872,870403,0
297872,419045,0
297872,918459,0
297872,1524124,0
297872,1587581,0
297872,1120250,0
297872,99000,0
297872,1478247,0
297872,1139755,0
297872,666320,0
297872,1357158,0
297872,594105,0
297872,961097,0
297872,302632,0
304303,150993,0
304303,304493,0
304303,455031,0
304303,488402,0
304303,905834,0
304303,1543604,0
304303,930937,0
304303,294827,0
304303,1208787,0
304303,369231,0
304303,1477747,0
304303,598995,0
304303,1567450,0
304303,509409,0
304303,305390,0
304303,301574,0
304303,1280452,0
304303,1454519,0
304303,1569023,0
304303,644695,0
364689,119560,0
364689,645906,0
364689,1200643,0
364689,429933,0
364689,923136,0
364689,775306,0
364689,1257759,0
364689,796947,0
364689,1560345,0
364689,169605,0
364689,606617,0
364689,584733,0
364689,790611,0
364689,1202753,0
364689,1474244,0
364689,1051038,0
364689,419226,0
443390,103873,0
443390,252524,0
443390,595272,0
443390,929020,0
443390,1095542,0
443390,1096597,0
443390,1316177,0
443390,178139,0
443390,692076,0
443390,1384461,0
443390,329853,0
443390,607492,0
443390,523488,0
443390,798682,0
443390,999136,0
443390,1351437,0
443390,752113,0
443390,1269539,0
443390,1352877,0
443390,1371972,0
443390,966705,0
443390,426775,0
