node1,node2,network
1110,77742,0
1110,486543,0
1110,1056717,0
1110,1216765,0
486543,146720,0
486543,462497,0
486543,718805,0
486543,903306,0
1056717,275698,0
1056717,1216765,0
1056717,101132,0
1216765,108609,0
1216765,150993,0
1197,330558,0
1197,709062,0
1197,803811,0
1197,1398597,0
330558,782221,0
330558,932145,0
330558,1511928,0
709062,340815,0
709062,375910,0
709062,516288,0
709062,707456,0
709062,735348,0
709062,765885,0
709062,793756,0
709062,803811,0
709062,1272766,0
709062,1398597,0
803811,150032,0
1398597,913703,0
1398597,1504057,0
1335,1132391,0
1335,75936,0
1335,942836,0
1335,937070,0
1335,1445323,0
1335,1154230,0
1335,804991,0
1335,479047,0
1335,459610,0
1335,934838,0
1335,1156662,0
1335,1025998,0
1335,223282,0
1335,1261231,0
1335,1182355,0
1335,812127,0
1335,1413579,0
1335,414417,0
1335,1146144,0
1335,798991,0
1335,693740,0
1335,1232791,0
1335,1131934,0
1335,11577,0
1335,1067247,0
1335,44319,0
1335,1176898,0
1335,1539280,0
1335,158297,0
1335,277913,0
1335,327514,0
1335,45245,0
1335,621969,0
1335,820906,0
111490,710986,0
111490,1009157,0
111490,443390,0
111490,1007004,0
111490,1129772,0
111490,1128462,0
111490,329731,0
111490,382836,0
111490,933901,0
111490,974891,0
111490,269784,0
111490,1388111,0
111490,402555,0
111490,604045,0
111490,675367,0
111490,274798,0
111490,1262495,0
111490,503051,0
111490,1131934,0
111490,974037,0
111490,902245,0
111490,1497061,0
111490,200352,0
111490,1254299,0
111490,883275,0
111490,736671,0
111490,596189,0
111490,923066,0
111490,1264013,0
111490,612565,0
111490,798202,0
111490,1376926,0
111490,1183717,0
111490,71442,0
111490,985600,0
111490,1451178,0
111490,612386,0
111490,1571053,0
117223,1176898,0
117223,1175615,0
117223,410619,0
117223,147066,0
117223,320116,0
117223,1105713,0
117223,1467392,0
117223,977278,0
117223,267335,0
117223,96051,0
117223,89941,0
117223,80724,0
117223,790701,0
117223,814762,0
117223,1306181,0
117223,1191476,0
117223,756614,0
117223,266195,0
117223,1341525,0
117223,612386,0
117223,1001931,0
117223,498159,0
117223,1123862,0
134231,998190,0
134231,1529281,0
134231,248616,0
134231,1107024,0
134231,1069393,0
134231,1264013,0
134231,1025998,0
134231,396554,0
134231,1234820,0
134231,1469991,0
134231,255925,0
134231,1193048,0
134231,1420987,0
134231,1129772,0
134231,494068,0
134231,1262495,0
134231,29239,0
134231,1345936,0
134231,732094,0
134231,1423895,0
134231,611695,0
134231,248505,0
134231,203903,0
134231,31656,0
134231,436502,0
134231,1580675,0
134231,91614,0
134231,700530,0
134231,1001133,0
134231,466123,0
134231,498028,0
134231,246654,0
134231,554000,0
134231,388315,0
134231,393000,0
134231,217709,0
134231,1397788,0
134231,1496225,0
134231,1177720,0
134231,1387977,0
134231,498159,0
134231,1041716,0
134231,467052,0
134231,1344369,0
134231,240621,0
134231,1487754,0
297872,826959,0
297872,470379,0
297872,1006458,0
297872,1550569,0
297872,115566,0
297872,1464968,0
297872,1092844,0
297872,937070,0
297872,199766,0
297872,1464746,0
297872,421088,0
297872,761246,0
297872,214559,0
297872,256671,0
297872,1497061,0
297872,223982,0
297872,140424,0
297872,1174918,0
297872,1209831,0
297872,11577,0
297872,303837,0
304303,516803,0
304303,156665,0
304303,1032096,0
304303,744364,0
304303,1449660,0
304303,1110503,0
304303,459610,0
304303,140424,0
304303,1254299,0
304303,118645,0
304303,675035,0
304303,269784,0
304303,612565,0
304303,791937,0
304303,216405,0
304303,246654,0
304303,1191090,0
304303,240621,0
304303,1543276,0
304303,256671,0
364689,965375,0
364689,1041716,0
364689,951149,0
364689,1236499,0
364689,649512,0
364689,1585441,0
364689,175513,0
364689,460372,0
364689,98626,0
364689,588611,0
364689,1486568,0
364689,1339474,0
364689,1376926,0
364689,945424,0
364689,500779,0
364689,729107,0
364689,1353435,0
443390,277913,0
443390,732094,0
443390,781666,0
443390,1551084,0
443390,1423895,0
443390,592095,0
443390,1074729,0
443390,1007050,0
443390,89941,0
443390,1069293,0
443390,471134,0
443390,989434,0
443390,135239,0
443390,437666,0
443390,1041716,0
443390,625619,0
443390,1543276,0
443390,1486568,0
443390,1067579,0
443390,274798,0
443390,1436707,0
443390,223982,0
443390,113517,0
443390,892560,0
443390,1269219,0
443390,616428,0
443390,420908,0
443390,1499403,0
443390,289128,0
443390,744364,0
443390,467052,0
443390,147066,0
492364,1558275,0
492364,161830,0
492364,30544,0
492364,396554,0
492364,787210,0
492364,804991,0
492364,934838,0
492364,1309629,0
492364,1396273,0
492364,310888,0
492364,13475,0
492364,880423,0
492364,1569935,0
492364,274798,0
492364,974037,0
492364,601057,0
492364,729107,0
492364,1133462,0
492364,290801,0
492364,1359217,0
492364,233012,0
492364,1344369,0
492364,812127,0
492364,495689,0
492364,1379246,0
492364,807451,0
492364,863340,0
492364,1203522,0
492364,457527,0
492364,1497061,0
492364,1127027,0
492364,337779,0
498159,1331361,0
498159,255925,0
498159,18384,0
498159,535428,0
498159,1227617,0
498159,1234820,0
498159,3504,0
498159,895302,0
498159,77185,0
498159,243249,0
498159,1135279,0
498159,592095,0
498159,288204,0
498159,396554,0
498159,1564334,0
498159,869232,0
498159,887150,0
498159,715923,0
498159,573034,0
498159,264593,0
498159,592526,0
498159,1001133,0
498159,200352,0
498159,437666,0
536082,181697,0
536082,1531685,0
536082,151470,0
536082,256596,0
536082,175513,0
536082,277913,0
536082,84136,0
536082,1295368,0
536082,766014,0
536082,798202,0
536082,330434,0
536082,1439847,0
536082,1388111,0
536082,1554715,0
536082,368163,0
536082,294612,0
536082,863929,0
536082,468232,0
536082,257250,0
536082,290801,0
536082,324877,0
536082,389055,0
536082,465256,0
536082,1364337,0
536082,156665,0
536082,974891,0
536082,52286,0
536082,354616,0
536082,438893,0
592095,402555,0
592095,844241,0
592095,991229,0
592095,806127,0
592095,1241472,0
592095,736047,0
592095,1151667,0
592095,815213,0
592095,1487754,0
592095,1107024,0
592095,1420987,0
592095,352613,0
592095,995680,0
592095,733816,0
592095,598113,0
592095,880423,0
592095,325827,0
761339,639151,0
761339,1554715,0
761339,736671,0
761339,319557,0
761339,1191201,0
761339,1439677,0
761339,1387406,0
761339,948985,0
761339,1235926,0
761339,1098361,0
761339,1053503,0
761339,1496225,0
761339,1257035,0
761339,980268,0
761339,1156662,0
761339,794291,0
761339,181697,0
761339,309584,0
761339,11854,0
761339,596189,0
761339,247934,0
761339,840189,0
761339,1365748,0
798202,823144,0
798202,1093800,0
798202,720915,0
798202,807451,0
798202,1556835,0
798202,284135,0
798202,406832,0
798202,410266,0
798202,1451178,0
798202,105520,0
798202,256671,0
798202,1503898,0
798202,3504,0
798202,156665,0
798202,1007050,0
798202,1236499,0
798202,151451,0
798202,623579,0
798202,256578,0
798202,567054,0
798202,1537917,0
798202,576934,0
798202,1396273,0
798202,820906,0
798202,67497,0
798202,806127,0
798202,854884,0
798202,585183,0
798202,303542,0
798202,1174918,0
798202,1420488,0
798202,113517,0
996197,11577,0
996197,459610,0
996197,1018063,0
996197,1063796,0
996197,1564334,0
996197,323161,0
996197,52286,0
996197,1305928,0
996197,175513,0
996197,981920,0
996197,466123,0
996197,156665,0
996197,392886,0
996197,479047,0
996197,1360494,0
996197,1439677,0
996197,264593,0
996197,123372,0
996197,305710,0
996197,1275398,0
996197,1110503,0
996197,289831,0
996197,337431,0
996197,135239,0
996197,854884,0
996197,273554,0
996197,1339675,0
996197,467052,0
996197,109085,0
996197,1451178,0
996197,726480,0
996197,1569935,0
996197,460372,0
996197,237628,0
1058999,1154230,0
1058999,1345936,0
1058999,1542031,0
1058999,811964,0
1058999,592526,0
1058999,900866,0
1058999,406832,0
1058999,804991,0
1058999,667166,0
1058999,776634,0
1058999,113517,0
1058999,33375,0
1058999,200352,0
1058999,781666,0
1058999,1067579,0
1058999,1567862,0
1058999,1093800,0
1058999,682442,0
1058999,1462731,0
1058999,267335,0
1058999,802661,0
1058999,1264895,0
1058999,1582514,0
1058999,236926,0
1058999,612565,0
1058999,126389,0
1058999,1364337,0
1058999,1331495,0
1058999,155987,0
1058999,1556835,0
1058999,374336,0
1114229,1585441,0
1114229,1122008,0
1114229,625619,0
1114229,713484,0
1114229,768325,0
1114229,571176,0
1114229,633173,0
1114229,1331495,0
1114229,1040099,0
1114229,1499403,0
1114229,588861,0
1114229,1094088,0
1127027,1128462,0
1127027,392886,0
1127027,591371,0
1127027,471134,0
1127027,1292614,0
1127027,54647,0
1127027,233012,0
1127027,406295,0
1127027,1182426,0
1127027,733816,0
1127027,1449660,0
1127027,1516993,0
1127027,1420488,0
1131934,1445323,0
1131934,820906,0
1131934,794291,0
1131934,1359217,0
1131934,1394242,0
1131934,1487754,0
1131934,474656,0
1131934,760090,0
1131934,1055302,0
1131934,1132391,0
1131934,1288149,0
1131934,1379246,0
1131934,1336679,0
1131934,951149,0
1131934,229637,0
1131934,368163,0
1131934,1129772,0
1131934,1123862,0
1131934,544269,0
1131934,1567862,0
1131934,1193048,0
1131934,892441,0
1131934,457527,0
1131934,89941,0
1131934,434010,0
1131934,216405,0
1219478,667166,0
1219478,214559,0
1219478,246162,0
1219478,1193048,0
1219478,101817,0
1219478,1201999,0
1219478,1345936,0
1219478,693740,0
1219478,434348,0
1219478,944246,0
1219478,210692,0
1219478,1007004,0
1219478,457693,0
1219478,998190,0
1219478,535428,0
1219478,18384,0
1219478,430618,0
1219478,1338486,0
1219478,1008718,0
1219478,673976,0
1344119,1026441,0
1344119,1055302,0
1344119,1359217,0
1344119,319490,0
1344119,1067683,0
1344119,1129772,0
1344119,1191476,0
1344119,1094088,0
1344119,1262219,0
1344119,1263341,0
1344119,71989,0
1344119,247934,0
1344119,33375,0
1344119,256671,0
1344119,531033,0
1344119,585183,0
1344119,774135,0
1344119,1223613,0
1344119,898518,0
1346236,421088,0
1346236,52286,0
1346236,1582514,0
1346236,1110503,0
1346236,823144,0
1346236,32956,0
1346236,101817,0
1346236,1449660,0
1346236,32102,0
1346236,109085,0
1346236,96051,0
1346236,1006458,0
1346236,694526,0
1346236,91614,0
1346236,1373851,0
1346236,389055,0
1346236,479047,0
1346236,1451178,0
1346236,675035,0
