node1,node2
1110,569831
1110,206637
1110,974042
1110,1257035
77742,457527
486543,277913
486543,1466107
486543,1191201
486543,1207294
486543,1239782
1056717,148152
1056717,96051
1056717,736671
1056717,798202
1216765,148152
1216765,446603
1216765,883275
1216765,492364
1197,709062
1197,277913
1197,448071
1197,794291
330558,1396273
330558,1041716
330558,540054
330558,1269219
709062,707456
709062,793756
709062,803811
709062,273554
709062,1129772
709062,756614
709062,236926
709062,248505
709062,699212
709062,468232
803811,150032
803811,122853
1398597,1504057
1398597,998190
1398597,1554715
1398597,1193048
1335,1543604
1335,25008
1335,816716
1335,1316177
1335,1570420
1335,1435105
1335,684135
1335,1082927
1335,1047579
1335,885182
1335,1095027
1335,332456
1335,914228
1335,244661
1335,1450618
1335,407126
1335,177745
1335,1325737
1335,44559
1335,480587
1335,570249
1335,915287
1335,965800
1335,1014627
1335,1220739
1335,650444
1335,908975
1335,585350
1335,365248
1335,1264584
1335,796378
1335,520381
1335,1341459
1335,1288223
111490,825785
111490,598288
111490,929020
111490,1200643
111490,1055008
111490,713816
111490,239911
111490,383037
111490,1553140
111490,1314242
111490,521542
111490,1544428
111490,589579
111490,1509646
111490,1133642
111490,260038
111490,259314
111490,1196070
111490,1554248
111490,146926
111490,710079
111490,42257
111490,1044647
111490,1517978
111490,1097764
111490,1380507
111490,255571
111490,936034
111490,138507
111490,1020721
111490,883537
111490,937164
111490,1451586
111490,516754
111490,1296060
111490,1045620
111490,889572
111490,889766
117223,139982
117223,965413
117223,1108561
117223,1476512
117223,510793
117223,1485512
117223,216315
117223,837084
117223,965237
117223,1410542
117223,1348680
117223,365820
117223,780283
117223,1049989
117223,268596
117223,1178696
117223,753909
117223,985592
117223,927287
117223,846651
117223,205109
117223,936335
117223,1016611
134231,435488
134231,1096597
134231,1190809
134231,1374231
134231,252524
134231,1252345
134231,1109315
134231,967495
134231,726967
134231,406292
134231,1586327
134231,933090
134231,1579375
134231,1336153
134231,977112
134231,649584
134231,747315
134231,1577781
134231,497819
134231,1252579
134231,557540
134231,770705
134231,905024
134231,1180298
134231,430097
134231,1035950
134231,985272
134231,1515452
134231,1385134
134231,1199879
