node1,node2,network
1110,77742,0
1110,486543,0
1110,1056717,0
1110,1216765,0
1197,330558,0
1197,709062,0
1197,803811,0
1197,1398597,0
1335,111490,0
1335,117223,0
1335,134231,0
1335,297872,0
1335,304303,0
1335,364689,0
1335,443390,0
1335,492364,0
1335,498159,0
1335,536082,0
1335,592095,0
1335,761339,0
1335,798202,0
1335,996197,0
1335,1058999,0
1335,1114229,0
1335,1127027,0
1335,1131934,0
1335,1219478,0
1335,1344119,0
1335,1346236,0
1335,1451863,0
1335,1538091,0
1335,1539280,0
1335,1543604,0
1366,77919,0
1366,98626,0
1366,107872,0
1366,108110,0
1366,175513,0
1366,231190,0
1366,269784,0
1366,274798,0
1366,354616,0
1366,396554,0
1366,466123,0
1366,545075,0
1366,826959,0
1366,944246,0
1366,1115669,0
1366,1178233,0
1366,1225712,0
1366,1341525,0
1366,1419451,0
1366,1436802,0
1366,1476360,0
1366,1546330,0
2079,833551,0
2079,972887,0
2079,979919,0
2079,1042195,0
2079,1365367,0
2237,53028,0
2237,364867,0
2237,402555,0
2237,518400,0
2237,569305,0
2237,720388,0
2237,886616,0
2237,923066,0
2237,937070,0
2237,1029248,0
2237,1109907,0
2237,1254924,0
2237,1338486,0
2237,1338500,0
2237,1359217,0
2237,1360494,0
2237,1422026,0
2237,1508729,0
2258,61507,0
2258,226854,0
2258,512015,0
2258,524970,0
2258,981920,0
2258,1341609,0
2418,809611,0
2418,1243575,0
2567,204906,0
2567,1264584,0
3172,223020,0
3172,384173,0
3172,966569,0
3258,171016,0
3258,196153,0
3258,410619,0
3258,612565,0
3258,974037,0
3258,974891,0
3258,1338486,0
3371,163245,0
3371,732530,0
3504,31656,0
3504,203903,0
3504,237628,0
3504,324818,0
3504,414940,0
3504,603121,0
3504,610383,0
3504,612386,0
3504,639151,0
3504,729107,0
3504,756614,0
3504,766014,0
3504,827436,0
3504,879829,0
3504,974314,0
3504,1040099,0
3504,1086186,0
3504,1152770,0
3504,1185022,0
3504,1203522,0
3504,1334845,0
3504,1436707,0
3504,1445323,0
3504,1475868,0
3504,1487754,0
3504,1550569,0
3504,1554715,0
3920,918409,0
3960,1298248,0
3960,1437531,0
4331,15540,0
4331,386457,0
4523,240621,0
4523,242972,0
4523,379762,0
4523,395566,0
4523,510268,0
4523,536119,0
4523,571176,0
4523,660301,0
4523,811964,0
4523,883311,0
4523,1041716,0
4523,1110503,0
4523,1265600,0
4523,1359505,0
4523,1416131,0
4523,1420488,0
4523,1469686,0
4623,381315,0
4623,411862,0
4623,1281651,0
5065,124932,0
5065,356232,0
5065,792483,0
5065,832191,0
5065,940630,0
5480,221575,0
5480,1218934,0
5480,1587482,0
5500,1148058,0
5500,1471142,0
5505,711771,0
5505,902192,0
5505,1535313,0
5666,1488778,0
6040,299453,0
6040,1497709,0
6067,422110,0
6356,789796,0
6356,959768,0
6356,1462731,0
6371,509274,0
6371,1074044,0
6410,334196,0
6410,1055995,0
6548,169956,0
6548,696251,0
6548,697815,0
6548,739293,0
6548,1061290,0
6548,1172504,0
6891,195925,0
6891,1452169,0
7454,93486,0
7479,188837,0
7479,986347,0
7534,213836,0
7534,368163,0
7534,374330,0
7534,433825,0
7534,785215,0
7534,848996,0
7534,859612,0
7534,879703,0
8055,52286,0
8055,123372,0
8055,269784,0
8055,516803,0
8055,989005,0
8055,1069293,0
8055,1132391,0
8055,1368815,0
8055,1372586,0
8055,1464968,0
8055,1496225,0
8055,1557440,0
8064,104370,0
8419,704681,0
8419,989325,0
8514,190662,0
8514,904822,0
8514,1296060,0
8739,552589,0
8953,658775,0
9133,160610,0
9133,870990,0
9133,1531045,0
9774,1402709,0
9965,143188,0
9965,1482525,0
10005,538873,0
10152,257250,0
10152,300943,0
10152,315216,0
10152,416771,0
10152,485354,0
10152,554000,0
10152,657503,0
10152,673976,0
10152,675367,0
10152,844241,0
10152,865481,0
10152,874903,0
10152,1151667,0
10152,1182355,0
10152,1191476,0
10152,1261231,0
10152,1317743,0
10152,1542031,0
10152,1552244,0
10332,121845,0
10332,229639,0
10332,337779,0
10332,567280,0
10332,799273,0
10568,216315,0
10568,384014,0
10635,561611,0
10635,890614,0
10635,903306,0
10635,975429,0
10635,1464591,0
10667,151451,0
10667,863340,0
10848,1107620,0
10922,378808,0
10922,706425,0
10922,1329771,0
10922,1482807,0
10929,803506,0
10929,949281,0
10929,1206274,0
11002,1340212,0
11042,492662,0
11042,1012053,0
11042,1294319,0
11058,71147,0
11058,917483,0
11058,1035950,0
11513,269357,0
11513,440942,0
11513,668204,0
11513,955862,0
11513,1320086,0
11513,1398398,0
11577,111490,0
11577,117223,0
11577,123372,0
11577,248616,0
11577,273738,0
11577,368184,0
11577,421806,0
11577,434010,0
11577,492364,0
11577,536082,0
11577,592095,0
11577,595922,0
11577,798202,0
11577,845849,0
11577,1119176,0
11577,1190809,0
11577,1191090,0
11577,1234378,0
11577,1234820,0
11577,1275398,0
11577,1322475,0
11577,1372586,0
11577,1420398,0
11577,1464968,0
11577,1539280,0
11577,1579360,0
11809,945292,0
11809,1129076,0
11809,1209831,0
11809,1350904,0
11809,1464657,0
11854,18384,0
11854,46494,0
11854,54647,0
11854,67497,0
11854,101567,0
11854,169171,0
11854,223779,0
11854,288204,0
11854,290801,0
11854,321789,0
11854,329307,0
11854,367777,0
11854,379342,0
11854,388315,0
11854,465256,0
11854,501804,0
11854,644322,0
11854,645879,0
11854,667166,0
11854,733816,0
11854,804991,0
11854,812127,0
11854,820906,0
11854,835818,0
11854,1007050,0
11854,1041796,0
11854,1046888,0
11854,1067579,0
11854,1071103,0
11854,1079399,0
11854,1128462,0
11854,1133619,0
11854,1165757,0
11854,1257495,0
11854,1306188,0
11854,1327980,0
11854,1439847,0
11854,1451178,0
11854,1580675,0
11883,1182355,0
11883,1270558,0
12413,943272,0
12539,67896,0
12539,1024457,0
12595,330843,0
12595,985444,0
12595,1007092,0
12595,1047713,0
12595,1499454,0
12595,1586327,0
12813,951964,0
12938,1560012,0
12990,194364,0
12990,500514,0
12990,886298,0
12990,1587220,0
13125,1152586,0
13475,242972,0
13475,256578,0
13475,395566,0
13475,503051,0
13475,571176,0
13475,653544,0
13475,948985,0
13475,1331495,0
13475,1416131,0
13475,1420488,0
13475,1457258,0
13500,1377649,0
13805,694835,0
13805,1263884,0
13877,141733,0
13877,403253,0
13877,744429,0
13877,1305928,0
13895,1395765,0
14218,355032,0
14382,339252,0
14382,885496,0
14471,830293,0
14489,42257,0
14889,33375,0
14889,1179312,0
14889,1585685,0
15086,1568049,0
15227,390983,0
15227,668347,0
15227,819585,0
15227,820610,0
15227,1227617,0
15247,174591,0
15247,1348680,0
15326,287917,0
15326,1068382,0
15336,294210,0
15355,72705,0
15355,75936,0
15355,114437,0
15355,265970,0
15355,284135,0
15355,351932,0
15355,438978,0
15355,592526,0
15355,734692,0
15355,768325,0
15355,791937,0
15355,1007004,0
15355,1034542,0
15355,1092844,0
15355,1193048,0
15355,1339675,0
15355,1379246,0
15355,1388111,0
15355,1396273,0
15355,1413579,0
15355,1482802,0
15355,1499403,0
15355,1503898,0
15355,1529281,0
15355,1556835,0
15355,1582514,0
15540,4331,0
15540,386457,0
15540,508619,0
15878,654846,0
15878,680278,0
15878,688393,0
15878,1337126,0
15878,1433912,0
15943,315498,0
15943,902553,0
16316,336954,0
16316,501804,0
16683,281210,0
16881,324553,0
16881,565880,0
16954,159098,0
16954,374025,0
16954,696681,0
16954,804991,0
16954,807154,0
16954,963571,0
16954,1042805,0
16954,1265595,0
16954,1309629,0
16954,1537917,0
16954,1565057,0
17290,526984,0
17290,755522,0
17290,1292994,0
18384,11854,0
18384,46494,0
18384,67497,0
18384,77968,0
18384,159098,0
18384,223779,0
18384,320116,0
18384,474656,0
18384,488965,0
18384,524970,0
18384,531033,0
18384,535428,0
18384,644322,0
18384,667166,0
18384,693740,0
18384,720696,0
18384,804991,0
18384,812127,0
18384,820906,0
18384,899070,0
18384,945424,0
18384,962111,0
18384,1007050,0
18384,1046888,0
18384,1067579,0
18384,1133619,0
18384,1301553,0
18384,1306188,0
18384,1356292,0
18384,1439847,0
18384,1585441,0
18454,705112,0
18623,209821,0
18623,771813,0
19134,271358,0
19134,1001989,0
19203,129838,0
19816,51347,0
19816,464821,0
19816,1002033,0
19897,675035,0
19897,713149,0
20064,205723,0
20064,772648,0
20064,1130402,0
20064,1270195,0
20064,1498751,0
20064,1541654,0
20400,116078,0
20400,1319493,0
20978,185770,0
20978,536204,0
20978,886349,0
20978,1009477,0
20989,191301,0
21054,45572,0
21054,558416,0
21054,1131934,0
21068,497819,0
21068,707540,0
21068,1332330,0
21549,740775,0
21549,755248,0
21549,1345941,0
21608,95102,0
21608,119470,0
21608,448198,0
21608,464784,0
21608,723653,0
21608,1052103,0
21608,1316873,0
21608,1560103,0
21687,635897,0
21687,1295328,0
21750,1518823,0
22028,22028,0
22028,1367178,0
22099,694526,0
22099,1154230,0
22291,366097,0
22291,1081880,0
22684,415362,0
22684,1318759,0
22980,80489,0
22980,245467,0
22980,599015,0
22980,750431,0
22980,1023230,0
22980,1207294,0
22980,1503077,0
23800,747083,0
23800,871002,0
23800,1366786,0
23839,974037,0
23970,320585,0
23970,466921,0
23970,655384,0
23970,898250,0
23970,1074044,0
23978,203843,0
24108,351154,0
24108,457527,0
24108,720915,0
24108,733816,0
24108,774135,0
24162,183405,0
24162,544230,0
24162,887651,0
24162,967762,0
24162,1330481,0
24553,136761,0
24553,188451,0
24553,419226,0
24553,773213,0
24553,1421085,0
24553,1439178,0
24553,1543807,0
24771,1406365,0
24926,297418,0
24926,552589,0
24926,620203,0
24926,1057202,0
24926,1483557,0
25008,1335,0
25008,454921,0
25008,798202,0
25008,1076656,0
25008,1127027,0
25008,1275398,0
25008,1363869,0
25008,1484194,0
25311,1445576,0
25311,1450618,0
25336,919574,0
25336,1423373,0
25646,468023,0
25646,1049380,0
25919,50510,0
26162,909898,0
26162,1437482,0
26927,55152,0
26927,269784,0
26927,356836,0
26927,826959,0
26927,1413209,0
26927,1503146,0
26940,1402063,0
27494,293149,0
27494,1477342,0
27960,365053,0
27960,1014934,0
27960,1162403,0
28548,393000,0
28548,395566,0
28548,496113,0
