node1,node2,network
275,214708,0
275,338137,0
275,471254,0
275,1349605,0
275,891601,0
275,619315,0
275,1401557,0
58341,801601,0
58341,719200,0
58341,211367,0
194846,592755,0
194846,1180571,0
194846,1369169,0
194846,651660,0
194846,1102889,0
194846,1464605,0
194846,859848,0
194846,424017,0
194846,152073,0
214708,261506,0
214708,925819,0
214708,1118503,0
214708,1349605,0
214708,1547708,0
214708,623910,0
214708,695864,0
214708,1047493,0
338137,214630,0
338137,625378,0
338137,925819,0
338137,1547708,0
338137,933638,0
338137,131417,0
338137,1554963,0
471254,467895,0
675137,50677,0
675137,382699,0
675137,545413,0
675137,835726,0
675137,801735,0
675137,1292886,0
675137,387647,0
675137,23665,0
1349605,189920,0
1349605,623910,0
1349605,668773,0
1349605,780364,0
1349605,957292,0
1349605,325154,0
1349605,511319,0
1349605,677152,0
1349605,1239206,0
1349605,1533665,0
1349605,1416410,0
1349605,647633,0
728,341626,0
728,550951,0
728,876522,0
728,991291,0
728,1019001,0
728,1505796,0
728,229569,0
728,291094,0
728,808664,0
341626,320803,0
341626,476514,0
341626,1505796,0
341626,1293387,0
341626,1465706,0
341626,143724,0
341626,1435652,0
550951,233590,0
550951,273838,0
550951,302030,0
550951,393459,0
550951,470130,0
550951,709237,0
550951,892881,0
550951,1019001,0
550951,1105225,0
550951,1117006,0
550951,1118724,0
550951,1544022,0
550951,1385087,0
550951,441727,0
550951,966368,0
550951,1352412,0
550951,902620,0
550951,632391,0
550951,1037435,0
550951,1216546,0
550951,1398219,0
550951,328376,0
744577,555264,0
744577,290580,0
876522,517622,0
876522,947573,0
876522,991291,0
876522,1343960,0
876522,1191514,0
876522,167183,0
876522,1089785,0
964328,874323,0
964328,54987,0
991291,71281,0
991291,407949,0
991291,481488,0
991291,554747,0
991291,759743,0
991291,806406,0
991291,883948,0
991291,1363155,0
991291,1247964,0
991291,1429633,0
991291,876624,0
991291,550695,0
991291,1104256,0
991291,172161,0
991291,358044,0
991291,692422,0
991291,34086,0
991291,1508102,0
991291,963541,0
991291,1309596,0
991291,835089,0
1019001,476514,0
1019001,943074,0
1019001,684060,0
1019001,1117006,0
1019001,1118724,0
1019001,1333513,0
1117006,1191514,0
1117006,450691,0
1117006,71456,0
1505796,1365434,0
958,481969,0
958,960955,0
958,1411697,0
958,392503,0
481969,243588,0
481969,350380,0
481969,425405,0
481969,59210,0
481969,114120,0
481969,668773,0
481969,834191,0
481969,960955,0
481969,978681,0
481969,1184341,0
481969,1226956,0
481969,1411697,0
481969,1463983,0
481969,1119206,0
834191,306555,0
834191,521837,0
834191,448169,0
960955,478414,0
960955,1025998,0
1411697,802252,0
1534,1064485,0
1534,1351032,0
1534,1043625,0
62893,393020,0
62893,132519,0
62893,47880,0
62893,1334538,0
62893,291094,0
916102,692290,0
916102,725508,0
916102,865299,0
916102,1123723,0
916102,1191343,0
916102,1264088,0
916102,1078351,0
1051536,695864,0
1589,1372958,0
801369,8692,0
801369,851299,0
801369,933024,0
801369,1587230,0
801369,154709,0
801369,1336126,0
801369,625487,0
1677,242356,0
1677,376723,0
242356,509888,0
242356,1063816,0
242356,1291845,0
242356,1329145,0
242356,1409945,0
242356,1485906,0
242356,1524655,0
242356,677152,0
242356,829046,0
242356,154780,0
242356,241567,0
1695,742089,0
1695,401818,0
1695,1191514,0
219505,108956,0
219505,428212,0
219505,742089,0
219505,856853,0
219505,1386523,0
219505,1063520,0
219505,858930,0
1419615,742089,0
1419615,1293357,0
1419615,770864,0
1720,505627,0
1720,1137982,0
1720,1276154,0
1720,1235071,0
1720,1334389,0
1720,1252174,0
1720,1313736,0
1720,290580,0
29270,951547,0
189019,905498,0
189019,1305752,0
505627,28236,0
505627,60832,0
505627,114310,0
505627,123550,0
505627,167891,0
505627,293920,0
505627,471404,0
505627,483997,0
505627,179604,0
505627,569291,0
505627,590246,0
505627,625171,0
505627,808377,0
505627,905498,0
505627,932801,0
505627,970910,0
505627,1266974,0
505627,1274934,0
505627,1276154,0
505627,1523287,0
505627,1560613,0
505627,1566441,0
505627,1536676,0
505627,378074,0
505627,744400,0
