node1,node2
275,58341
275,194846
275,214708
275,338137
275,471254
275,675137
275,1226956
58341,471254
58341,801601
194846,592755
194846,1131263
194846,1180571
194846,1369169
194846,651660
194846,1317025
194846,1464605
194846,965196
214708,434192
214708,1118503
214708,1533665
214708,623910
214708,963541
214708,240216
214708,835152
214708,356718
338137,625378
338137,811470
338137,890066
338137,1064151
338137,1483339
338137,735087
338137,1221531
675137,50677
675137,414497
675137,835726
675137,974118
675137,1470465
675137,1050633
675137,97672
1349605,1153376
1349605,616692
1349605,905220
1349605,1467275
1349605,423746
1349605,1564137
1349605,1432031
1349605,418953
1349605,1391141
1349605,12345
1349605,1404360
1349605,814185
1349605,920870
1349605,582182
728,341626
728,744577
728,876522
728,964328
728,1019001
728,1117006
728,1505796
728,1050633
728,1450792
341626,302030
341626,1117006
341626,1505796
341626,73539
341626,1096130
341626,1256486
341626,1378103
550951,9218
550951,122259
550951,189796
550951,501150
550951,915873
550951,1050699
550951,171462
550951,1215447
550951,1122202
550951,8692
550951,246452
550951,1168101
550951,519179
550951,1312458
550951,1545144
550951,299343
550951,247517
550951,288856
550951,88371
550951,631213
550951,1072189
550951,848139
550951,1376363
744577,1419994
876522,517622
876522,244973
876522,954288
876522,1006458
876522,842542
876522,697949
876522,1329145
964328,818723
991291,1336551
991291,849784
991291,814185
991291,924378
991291,1013486
991291,1338486
991291,515372
991291,1280479
991291,1252174
991291,1095393
991291,183775
991291,933638
991291,782618
991291,1312458
991291,144170
991291,451032
991291,255175
991291,1336126
991291,1067123
991291,1540292
991291,485405
991291,1432031
991291,204912
1019001,943074
1019001,1117006
1019001,1118724
1019001,31566
1019001,506298
1019001,585262
1019001,723611
1117006,436137
1117006,576763
1505796,175433
958,834191
958,960955
958,1411697
958,1041716
481969,229877
481969,1209267
481969,393823
481969,1508488
481969,1110503
481969,1536310
481969,566064
481969,877527
481969,376723
481969,649626
481969,794264
481969,736901
481969,1515359
481969,1015952
481969,310874
834191,306555
834191,521837
834191,600716
960955,478414
960955,1411697
960955,419925
1411697,340879
1534,62893
1534,916102
1534,1051536
62893,393020
62893,419142
62893,132519
62893,605240
916102,690907
916102,692290
916102,725508
916102,865299
916102,1137728
916102,958115
1589,801369
801369,851299
801369,900875
801369,933024
801369,1370500
801369,1587230
801369,359744
1677,681649
1677,437702
242356,568641
242356,1191343
242356,423746
242356,9218
242356,683269
242356,1053551
242356,194682
242356,269280
242356,899130
242356,126204
242356,882946
242356,1393614
1695,219505
1695,1419615
1695,849650
219505,428212
219505,574834
219505,856853
219505,1386523
219505,12677
219505,1494674
1419615,1284886
1419615,498016
