node1,node2
1110,77742
1110,486543
1110,746607
1110,919574
486543,146720
486543,462497
486543,718805
486543,903306
746607,148152
746607,275698
746607,919574
919574,108609
919574,148152
1197,330558
1197,709062
1197,803811
1197,1398597
330558,782221
330558,932145
330558,1511928
709062,340815
709062,375910
709062,516288
709062,707456
709062,735348
709062,765885
709062,793756
709062,803811
709062,1272766
709062,1398597
803811,150032
1398597,913703
1398597,1504057
1335,111490
1335,117223
1335,134231
1335,297872
1335,304303
1335,364689
1335,443390
1335,492364
1335,498159
1335,536082
1335,592095
1335,761339
1335,798202
1335,996197
1335,1058999
1335,1114229
1335,1127027
1335,1131934
1335,1219478
1335,1344119
1335,1346236
1335,1451863
1335,1538091
1335,1539280
1335,1543604
1335,25008
1335,52286
1335,814762
1335,177433
1335,1087507
1335,1119176
1335,1254299
1335,1316177
1335,1570420
111490,11577
111490,77686
111490,248616
111490,273738
111490,297872
111490,492364
111490,536082
111490,592095
111490,825785
111490,996197
111490,1146144
111490,1176618
111490,1204568
111490,1219478
111490,1223613
111490,1234378
111490,1234820
111490,1346236
111490,1464968
111490,134231
111490,443390
111490,516803
111490,598288
111490,710986
111490,761339
111490,776634
111490,798202
111490,845849
111490,929020
111490,1058999
111490,1131934
111490,1197546
111490,1200643
111490,1257035
111490,1005450
111490,1365748
111490,1496225
117223,11577
117223,139982
117223,304303
117223,592095
117223,710986
117223,761339
117223,996197
117223,1058999
117223,1131934
117223,1191090
117223,1207294
117223,1223613
117223,1234378
117223,1275398
117223,1372586
117223,134231
117223,536082
117223,1069293
117223,1146144
117223,1234820
117223,1538091
117223,1539280
134231,248616
134231,304303
134231,434010
134231,435488
134231,443390
134231,492364
134231,498159
134231,516803
134231,536082
134231,592095
134231,710986
134231,736047
134231,761339
134231,798202
134231,814762
134231,1519324
134231,962895
134231,996197
134231,1058999
134231,1087507
134231,1096597
134231,1111208
134231,1119176
134231,1131934
134231,1132391
134231,1146144
134231,1190809
134231,1197546
134231,1207294
134231,1223613
134231,1234378
134231,1234820
134231,1254299
134231,1346236
134231,1374231
134231,1496225
134231,1539280
134231,252524
134231,989005
134231,1252345
134231,1275398
134231,1365748
134231,1462731
297872,155987
297872,368184
297872,536082
297872,592095
297872,598288
297872,776634
297872,929020
297872,996197
297872,1017907
297872,1063796
297872,1204568
297872,1234820
297872,1346236
297872,1353435
297872,1442886
297872,1481666
297872,434010
297872,1069293
297872,1197546
304303,150993
304303,304493
304303,443390
304303,455031
304303,15227
304303,498159
304303,536082
304303,608389
304303,798202
304303,905834
304303,1058999
304303,1131934
304303,1254299
304303,1451863
304303,1538091
304303,1539280
304303,1543604
364689,119560
364689,248616
364689,434010
364689,498159
364689,645906
364689,761339
364689,1058999
364689,1131934
364689,1146144
364689,1200643
364689,1234820
364689,1346236
364689,1539280
364689,429933
364689,1197546
364689,1223613
443390,77686
443390,103873
443390,123372
443390,248616
443390,252524
443390,368184
443390,8055
443390,492364
443390,516803
443390,536082
443390,595272
443390,710986
443390,776634
443390,929020
443390,989005
443390,996197
443390,1095542
443390,1127027
443390,1234378
443390,1234820
443390,1496225
443390,1058999
443390,1096597
443390,1131934
443390,1191090
443390,1254299
443390,1257035
443390,1316177
443390,1484194
492364,11577
492364,248616
492364,256412
492364,273738
492364,368184
492364,434010
492364,516803
492364,536082
492364,592095
492364,595272
492364,761339
492364,798202
492364,996197
492364,1087507
492364,1114229
492364,1127027
492364,1131934
492364,1146144
492364,1219478
492364,1234378
492364,1234820
492364,1257035
492364,1346236
492364,1363869
492364,1365748
492364,1451863
492364,1484194
492364,1096597
492364,1119176
498159,52286
498159,77686
498159,155987
498159,248616
498159,536082
498159,710986
498159,996197
498159,1058999
498159,1131934
498159,1146144
498159,1223613
498159,1234820
498159,1451863
498159,1464968
498159,1538091
498159,1539280
498159,1197546
498159,1219478
498159,1234378
498159,1257035
498159,1496225
498159,1543604
536082,11577
536082,76812
536082,194966
536082,203385
536082,248616
536082,368184
536082,516803
536082,989005
536082,996197
536082,1077760
536082,1087507
536082,1131934
536082,1191090
536082,1204568
536082,1234820
536082,1316177
536082,1346236
536082,1464968
536082,1496225
