node1,node2
459,385
459,420
459,173
459,177
459,48
459,21
459,142
459,30
459,10
459,264
459,34
459,192
459,9
459,4
459,435
459,132
459,290
459,49
459,52
459,18
459,222
459,145
459,159
459,358
459,292
459,381
459,103
459,161
459,149
459,248
459,76
459,122
459,171
459,477
459,109
459,288
459,124
459,102
459,303
385,307
385,26
385,261
420,465
420,150
420,477
420,68
420,187
420,154
173,339
173,115
173,294
173,430
177,183
177,482
177,281
177,395
48,395
48,211
48,104
48,422
21,127
21,399
21,96
142,84
142,130
142,297
142,155
142,359
30,330
30,411
10,411
10,156
264,100
264,211
34,307
34,160
34,413
192,293
192,268
9,156
9,495
4,7
4,229
4,442
4,413
435,307
435,386
132,63
132,116
132,150
290,321
290,20
290,171
290,53
49,127
49,26
52,156
52,340
18,253
18,203
18,211
222,123
222,236
145,481
145,268
145,419
145,298
159,156
159,86
358,7
358,147
358,359
292,469
292,497
292,96
292,355
292,244
381,304
381,59
103,233
103,422
161,469
161,280
161,200
161,402
161,46
149,386
149,422
149,325
248,7
248,118
248,116
76,386
76,417
122,307
122,155
171,121
477,189
477,434
477,260
477,429
477,42
109,339
109,419
288,156
288,14
288,211
288,422
124,313
124,194
102,232
102,377
303,356
303,462
307,302
307,125
307,185
307,418
307,158
307,311
307,312
307,342
307,249
307,388
307,195
307,296
307,139
307,322
307,497
307,204
307,394
307,462
307,286
307,250
307,480
307,365
307,119
307,61
307,190
307,371
307,215
307,270
307,329
307,297
307,280
307,83
307,134
307,387
307,317
307,473
307,8
307,240
307,360
307,201
307,202
307,188
307,191
307,24
307,227
307,310
307,316
307,86
307,238
307,29
307,205
307,107
307,218
307,101
307,166
307,461
307,333
307,367
307,169
307,455
307,57
307,151
307,445
307,5
307,397
307,258
307,237
307,335
307,181
307,206
307,167
307,279
302,127
302,465
302,156
302,411
302,495
302,368
125,7
125,386
125,465
125,164
185,26
185,213
418,121
418,293
418,465
418,319
418,268
418,495
158,26
158,150
158,367
158,454
158,29
158,207
311,411
311,59
312,465
312,150
312,354
312,344
312,262
342,187
342,319
342,486
342,198
342,123
249,386
249,26
249,62
388,121
388,150
195,98
195,395
195,376
195,251
195,232
296,336
296,344
296,165
139,372
139,82
139,373
139,152
139,355
322,121
322,293
497,121
497,304
497,417
497,37
204,356
204,368
204,233
204,213
394,465
394,411
462,368
462,59
286,386
286,167
286,354
286,82
250,156
250,325
250,438
250,474
480,94
480,239
480,433
365,213
365,154
119,164
119,359
119,380
119,37
119,262
61,372
61,89
190,53
190,321
190,219
190,118
371,59
371,262
371,233
215,386
215,465
215,123
270,169
270,123
329,304
329,262
297,26
297,126
280,46
83,226
83,164
134,372
134,235
134,493
387,121
387,26
387,96
317,26
317,294
473,294
473,274
8,189
8,98
240,26
240,37
240,382
360,472
360,251
201,253
201,96
202,268
202,210
188,59
188,116
191,356
191,59
191,213
24,380
24,154
227,105
227,59
310,156
310,268
316,304
316,267
86,494
86,156
86,164
238,368
238,419
238,347
238,382
238,499
29,127
205,123
205,355
107,233
107,118
107,271
218,183
218,417
218,152
218,210
218,470
101,121
101,154
166,63
166,59
166,62
461,481
461,121
461,339
461,293
461,261
461,325
333,494
333,82
367,332
367,127
367,59
367,152
367,373
169,82
169,46
169,476
169,463
455,156
455,94
455,354
455,382
57,189
57,417
151,481
151,413
151,232
151,330
445,261
445,262
5,386
5,380
397,7
397,94
258,127
258,187
258,495
258,325
237,211
237,305
335,127
335,150
181,211
181,415
181,1
206,51
206,28
167,305
279,121
279,148
279,94
279,137
332,175
332,464
332,229
332,234
332,277
332,428
332,432
175,150
175,411
464,407
464,419
229,494
229,26
229,382
229,448
234,96
