node1,node2
0,13
0,17
0,93
0,139
0,156
0,273
0,281
0,303
0,92
0,237
0,327
0,68
0,340
0,474
0,365
0,372
0,64
0,375
0,443
0,487
0,493
0,218
0,446
0,289
0,80
0,347
0,246
0,296
0,423
0,421
0,167
0,321
0,462
0,84
0,261
0,136
0,358
0,379
0,419
13,3
13,10
13,311
17,2
17,14
17,84
17,313
17,27
17,89
93,12
93,21
93,224
93,290
139,15
139,54
139,378
139,55
156,55
156,115
156,238
156,46
273,6
273,418
273,74
281,9
281,128
281,285
281,112
281,158
303,314
303,38
92,38
92,495
237,24
237,115
327,3
327,382
327,63
68,23
68,42
340,495
340,40
474,49
474,181
474,357
474,63
365,3
365,19
372,332
372,155
372,14
64,172
64,297
64,462
64,51
375,6
375,10
443,495
443,326
487,33
487,460
487,115
493,11
493,463
218,270
218,42
218,71
218,334
446,495
446,144
289,49
289,113
289,158
80,37
80,190
80,74
80,52
80,234
347,32
347,65
246,60
246,46
296,37
296,346
296,114
296,359
296,73
423,19
423,46
423,414
421,49
421,121
421,155
167,19
167,44
321,3
321,112
462,255
84,16
84,1
84,86
84,118
84,165
261,12
261,71
136,495
136,130
136,115
136,46
358,458
358,271
379,100
379,219
419,22
419,205
3,20
3,25
3,35
3,39
3,66
3,72
3,77
3,119
3,141
3,143
3,154
3,164
3,186
3,187
3,190
3,197
3,203
3,205
3,209
3,217
3,240
3,248
3,257
3,278
3,283
3,300
3,320
3,323
3,322
3,285
3,346
3,353
3,355
3,360
3,361
3,368
3,387
3,338
3,403
3,416
3,424
3,188
3,452
3,242
3,469
3,484
3,499
3,144
3,345
3,393
3,8
3,475
3,163
3,247
3,282
3,26
3,477
3,110
3,198
3,169
3,490
3,445
3,390
3,50
3,471
3,122
3,404
3,304
3,268
3,335
3,451
3,341
20,6
20,2
20,495
20,38
20,40
20,48
25,49
25,19
25,2
25,53
35,10
35,147
39,255
39,23
39,2
39,41
39,42
39,40
66,10
66,14
66,110
66,185
66,393
66,430
72,38
72,65
77,2
77,14
77,36
77,103
77,168
119,27
119,41
119,228
119,269
119,11
141,19
141,10
141,286
143,255
143,14
154,369
154,55
154,465
154,82
154,100
164,70
164,103
164,325
186,109
186,30
186,245
186,78
186,52
187,255
187,23
190,255
190,32
190,44
190,102
197,22
197,48
197,60
197,147
203,2
203,38
205,48
205,65
209,19
209,451
209,36
209,30
217,495
217,414
217,426
217,104
240,425
240,239
240,59
248,147
248,89
257,53
257,158
257,87
257,102
257,168
278,109
278,111
283,51
283,172
283,433
283,121
300,65
300,168
300,60
320,19
320,2
320,11
323,198
323,11
322,32
322,168
285,10
285,356
346,73
353,207
353,53
355,109
355,29
355,408
360,255
360,10
360,74
361,10
361,224
368,224
368,34
387,16
387,369
338,10
338,102
338,97
403,58
403,82
416,33
416,74
424,42
424,95
188,65
188,155
452,22
452,65
452,147
242,87
242,89
469,28
469,65
484,495
484,42
499,32
499,483
144,18
144,495
144,53
345,48
345,71
345,235
345,97
345,420
393,6
8,11
8,52
475,60
475,121
475,481
163,15
163,44
163,78
163,95
163,124
247,255
247,89
282,332
282,65
282,286
26,270
26,255
26,12
26,23
26,311
26,414
477,18
477,30
110,200
110,6
110,65
110,78
110,245
198,30
198,73
198,267
198,287
169,495
169,425
169,36
169,97
490,16
490,44
445,270
445,63
445,100
445,314
390,311
390,168
50,19
50,87
471,49
471,425
122,6
122,27
122,40
122,414
404,115
404,135
304,6
304,14
268,115
268,69
268,348
335,62
335,183
451,135
341,255
341,149
341,425
341,496
200,83
200,374
200,181
200,272
200,317
200,81
200,208
83,14
83,38
374,56
374,71
181,18
181,10
181,97
181,244
272,74
272,121
317,6
317,286
81,2
81,425
81,51
81,142
208,15
208,89
208,98
270,31
270,86
270,176
270,194
270,210
270,7
270,201
270,398
270,410
270,357
270,170
270,279
31,9
31,70
31,56
31,109
31,2
31,396
86,65
176,19
176,42
194,44
194,100
194,105
194,155
194,69
210,27
210,65
7,2
7,158
201,10
201,82
398,6
398,21
410,37
410,112
410,74
357,49
170,255
170,32
170,65
170,330
279,56
279,456
279,97
279,112
6,28
6,429
6,114
6,117
6,466
6,125
6,162
6,179
6,219
6,297
6,298
6,336
6,364
6,123
6,373
6,439
6,448
6,450
6,456
6,394
6,314
6,455
6,378
6,381
6,133
6,349
6,271
6,256
6,485
6,459
6,370
6,146
6,233
6,310
6,315
28,332
28,2
28,38
28,29
28,33
429,70
429,101
429,21
429,87
114,63
114,73
114,174
114,298
114,55
117,63
117,97
117,34
466,22
466,19
125,2
125,63
162,100
162,34
179,37
179,54
179,52
219,24
219,42
219,118
219,73
297,47
297,19
297,2
297,53
298,311
298,150
336,19
336,458
364,312
364,344
123,495
123,14
123,87
373,19
373,32
439,2
439,38
448,2
448,37
450,10
450,235
456,59
